head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,What is the capital of Solomon Islands? Answer:,-0.00213623046875,-0.0390625,False,1,5.273117542266846,5.274237632751465,0.0011200904846191406,0.0004524307732935995,-7.62939453125e-05,-0.007892659826361484,-0.0234375,16,15,True
L0.H0,1,What is the capital of Vanuatu? Answer:,-0.001953125,-0.03125,False,1,4.8324384689331055,4.870871067047119,0.03843259811401367,0.0005767174297943711,-0.0001678466796875,-0.009760425909494233,-0.0234375,9,9,False
L0.H0,2,What is the capital of Tonga? Answer:,0.0054931640625,0.046875,False,1,4.811427116394043,4.775813102722168,-0.035614013671875,0.0005095388041809201,-2.3365020751953125e-05,-0.029643073200241985,-0.015625,122,124,False
L0.H0,3,What is the capital of Australia? Answer:,-0.001220703125,-0.015625,False,1,4.07849645614624,4.088428497314453,0.00993204116821289,0.00010069343261420727,1.33514404296875e-05,0.006597549481621112,0.0,29,29,False
L0.H0,4,What is the capital of New Zealand? Answer:,-0.0029296875,-0.015625,False,1,3.3936710357666016,3.418102264404297,0.024431228637695312,3.07094887830317e-06,1.9073486328125e-05,0.02176278563656148,0.015625,66,66,False
L0.H0,5,What is the capital of Papua New Guinea? Answer:,-0.00244140625,-0.015625,False,1,4.83553409576416,4.8501176834106445,0.014583587646484375,0.00014494097558781505,6.103515625e-05,0.02130492676431425,0.015625,42,42,False
L0.H0,6,What is the capital of Fiji? Answer:,-0.0029296875,-0.0078125,False,1,3.069650650024414,3.0726540088653564,0.003003358840942383,0.00015344565326813608,9.5367431640625e-07,0.0006523157208088715,0.0,31,31,False
L0.H1,0,What is the capital of Solomon Islands? Answer:,0.00152587890625,0.0234375,False,1,5.273117542266846,5.262364387512207,-0.010753154754638672,0.00017176466644741595,-6.866455078125e-05,-0.007103393843725336,0.0,16,16,False
L0.H1,1,What is the capital of Vanuatu? Answer:,-0.00152587890625,-0.015625,False,1,4.8324384689331055,4.8388285636901855,0.006390094757080078,5.008284642826766e-05,-0.0002288818359375,-0.013309671694764862,-0.015625,9,9,False
L0.H1,2,What is the capital of Tonga? Answer:,0.001953125,0.015625,False,1,4.811427116394043,4.799638748168945,-0.011788368225097656,0.00019574342877604067,4.76837158203125e-07,0.0006049606775559589,0.00390625,122,121,True
L0.H1,3,What is the capital of Australia? Answer:,-0.0015869140625,-0.0234375,False,1,4.07849645614624,4.096423149108887,0.017926692962646484,8.271192200481892e-05,-2.288818359375e-05,-0.011310084825636193,-0.0234375,29,29,False
L0.H1,4,What is the capital of New Zealand? Answer:,-0.0009765625,0.0078125,False,1,3.3936710357666016,3.3890738487243652,-0.004597187042236328,6.0689402744174004e-05,-2.288818359375e-05,-0.026115342763873776,-0.015625,66,67,False
L0.H1,5,What is the capital of Papua New Guinea? Answer:,0.0008544921875,0.0078125,False,1,4.83553409576416,4.823867321014404,-0.01166677474975586,8.554509258829057e-05,-5.53131103515625e-05,-0.019307589880159785,-0.015625,42,43,False
L0.H1,6,What is the capital of Fiji? Answer:,0.002197265625,0.0078125,False,1,3.069650650024414,3.0638511180877686,-0.005799531936645508,4.8526992031838745e-05,-2.86102294921875e-06,-0.0019569471624266144,0.0,31,31,False
L0.H2,0,What is the capital of Solomon Islands? Answer:,-0.0013427734375,-0.015625,False,1,5.273117542266846,5.270831108093262,-0.0022864341735839844,0.0005824543768540025,7.62939453125e-06,0.0007892659826361484,0.0,16,15,True
L0.H2,1,What is the capital of Vanuatu? Answer:,0.00079345703125,0.0078125,False,1,4.8324384689331055,4.830587387084961,-0.0018510818481445312,-9.604962542653084e-06,-0.000152587890625,-0.008873114463176575,-0.0078125,9,9,False
L0.H2,2,What is the capital of Tonga? Answer:,0.0,0.0,False,1,4.811427116394043,4.809664249420166,-0.0017628669738769531,8.080012048594654e-05,0.0,0.0,0.0,122,120,True
L0.H2,3,What is the capital of Australia? Answer:,-0.0015869140625,-0.015625,False,1,4.07849645614624,4.093982219696045,0.015485763549804688,0.0001746630878187716,9.5367431640625e-06,0.00471253534401508,0.0,29,29,False
L0.H2,4,What is the capital of New Zealand? Answer:,0.004638671875,0.0234375,False,1,3.3936710357666016,3.375474452972412,-0.018196582794189453,0.00012541351316031069,-8.58306884765625e-06,-0.009793253536452665,0.0,66,65,True
L0.H2,5,What is the capital of Papua New Guinea? Answer:,0.001708984375,0.015625,False,1,4.83553409576416,4.830840110778809,-0.0046939849853515625,0.00010582014510873705,4.38690185546875e-05,0.015312916111850865,0.0234375,42,42,False
L0.H2,6,What is the capital of Fiji? Answer:,0.007568359375,0.0390625,False,1,3.069650650024414,3.0363810062408447,-0.033269643783569336,0.00012611542479135096,-5.7220458984375e-06,-0.003913894324853229,0.015625,31,31,False
L0.H3,0,What is the capital of Solomon Islands? Answer:,0.0003662109375,0.0078125,False,1,5.273117542266846,5.2703423500061035,-0.0027751922607421875,0.00010411816765554249,-3.814697265625e-05,-0.003946329913180742,0.0,16,15,True
L0.H3,1,What is the capital of Vanuatu? Answer:,0.0009765625,0.0078125,False,1,4.8324384689331055,4.830255508422852,-0.0021829605102539062,2.5742047000676394e-06,-0.0001220703125,-0.00709849157054126,-0.0078125,9,9,False
L0.H3,2,What is the capital of Tonga? Answer:,0.00146484375,0.015625,False,1,4.811427116394043,4.802372455596924,-0.00905466079711914,0.00017477139772381634,1.430511474609375e-06,0.0018148820326678765,0.0078125,122,120,True
L0.H3,3,What is the capital of Australia? Answer:,0.0003662109375,0.0078125,False,1,4.07849645614624,4.076521873474121,-0.0019745826721191406,6.505326018668711e-05,5.7220458984375e-06,0.002827521206409048,0.0078125,29,29,False
L0.H3,4,What is the capital of New Zealand? Answer:,-0.001220703125,0.0,False,1,3.3936710357666016,3.393540620803833,-0.0001304149627685547,-0.0001167346490547061,3.337860107421875e-06,0.003808487486398259,0.0078125,66,66,False
L0.H3,5,What is the capital of Papua New Guinea? Answer:,0.0008544921875,0.0078125,False,1,4.83553409576416,4.83129358291626,-0.004240512847900391,7.316043775063008e-05,1.1444091796875e-05,0.0039946737683089215,0.0078125,42,42,False
L0.H3,6,What is the capital of Fiji? Answer:,0.001220703125,0.0078125,False,1,3.069650650024414,3.0624871253967285,-0.007163524627685547,-0.0001771150273270905,-6.67572021484375e-06,-0.0045662100456621,0.0,31,31,False
L0.H4,0,What is the capital of Solomon Islands? Answer:,-0.00048828125,-0.0078125,False,1,5.273117542266846,5.27497673034668,0.0018591880798339844,3.112397826043889e-05,-0.0001220703125,-0.012628255722178374,-0.015625,16,16,False
L0.H4,1,What is the capital of Vanuatu? Answer:,0.000732421875,0.0078125,False,1,4.8324384689331055,4.8274102210998535,-0.005028247833251953,8.412568422500044e-05,-0.000152587890625,-0.008873114463176575,-0.0078125,9,9,False
L0.H4,2,What is the capital of Tonga? Answer:,-0.0003662109375,0.0,False,1,4.811427116394043,4.810801982879639,-0.0006251335144042969,7.265155727509409e-05,1.430511474609375e-06,0.0018148820326678765,0.00390625,122,122,False
L0.H4,3,What is the capital of Australia? Answer:,0.0003662109375,0.0078125,False,1,4.07849645614624,4.077125549316406,-0.0013709068298339844,-3.847782500088215e-05,7.62939453125e-06,0.003770028275212064,0.0078125,29,29,False
L0.H4,4,What is the capital of New Zealand? Answer:,0.00146484375,0.0078125,False,1,3.3936710357666016,3.3883042335510254,-0.005366802215576172,-2.9816903406754136e-05,-1.0013580322265625e-05,-0.011425462459194777,-0.0078125,66,67,False
L0.H4,5,What is the capital of Papua New Guinea? Answer:,0.0008544921875,0.0078125,False,1,4.83553409576416,4.828800678253174,-0.006733417510986328,0.00016796393902041018,-1.1444091796875e-05,-0.0039946737683089215,0.0,42,42,False
L0.H4,6,What is the capital of Fiji? Answer:,0.00146484375,0.0078125,False,1,3.069650650024414,3.0631418228149414,-0.006508827209472656,-0.00016579052316956222,-5.7220458984375e-06,-0.003913894324853229,0.0,31,31,False
