head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,"In a medical context, the term for 'loss of smell' is '",-0.00244140625,0.0,False,1,2.845332622528076,2.853349447250366,0.008016824722290039,0.00012492877431213856
L0.H0,1,"In a medical context, the term for 'muscle pain' is '",0.0009765625,0.03125,False,1,4.157482147216797,4.132414817810059,-0.02506732940673828,0.0006421561120077968
L0.H0,2,"In a medical context, the term for 'shortness of breath' is '",-0.0078125,-0.015625,False,1,3.001142978668213,3.028759717941284,0.02761673927307129,0.0006611307617276907
L0.H0,3,"In a medical context, the term for 'ringing in the ears' is '",0.005859375,0.0390625,False,1,4.703211307525635,4.658497333526611,-0.04471397399902344,0.0004770969972014427
L0.H0,4,"In a medical context, the term for 'double vision' is '",-0.0009765625,0.0078125,False,1,5.004546165466309,5.008614540100098,0.0040683746337890625,0.00030246557435020804
L0.H0,5,"In a medical context, the term for 'low blood sugar' is '",-0.00390625,-0.015625,False,1,0.985553503036499,1.0027028322219849,0.01714932918548584,-0.0002036868827417493
L0.H0,6,"In a medical context, the term for 'difficulty swallowing' is '",0.0009765625,0.015625,False,1,3.8033342361450195,3.780214309692383,-0.02311992645263672,0.0005554735544137657
L0.H0,7,"In a medical context, the term for 'difficulty sleeping' is '",0.012451171875,0.0625,False,1,2.703627109527588,2.6570637226104736,-0.04656338691711426,0.0007032309076748788
L0.H0,8,"In a medical context, the term for 'blood in urine' is '",0.01123046875,0.03125,False,1,3.167022705078125,3.1072189807891846,-0.05980372428894043,0.0006354255601763725
L0.H0,9,"In a medical context, the term for 'swelling' is '",0.015869140625,0.1328125,False,1,4.558200836181641,4.490168571472168,-0.06803226470947266,0.0013521092478185892
L0.H0,10,"In a medical context, the term for 'coughing up blood' is '",0.0068359375,0.0390625,False,1,3.9189839363098145,3.8808953762054443,-0.03808856010437012,0.0003830239293165505
L0.H0,11,"In a medical context, the term for 'menstrual pain' is '",0.010498046875,0.0625,False,1,4.2623724937438965,4.199665069580078,-0.06270742416381836,0.0011258982121944427
L0.H0,12,"In a medical context, the term for 'joint pain' is '",0.006591796875,0.0546875,False,1,4.189785957336426,4.131222724914551,-0.058563232421875,0.0008379346691071987
L0.H0,13,"In a medical context, the term for 'dry mouth' is '",-0.000732421875,-0.0078125,False,1,3.8256688117980957,3.833564281463623,0.007895469665527344,0.0003154646838083863
L0.H0,14,"In a medical context, the term for 'loss of memory' is '",0.0087890625,0.046875,False,1,3.899641513824463,3.843153476715088,-0.056488037109375,0.0009322304977104068
L0.H0,15,"In a medical context, the term for 'bruise' is '",-0.00201416015625,-0.0078125,False,1,5.1534576416015625,5.136025428771973,-0.017432212829589844,0.0006213991437107325
L0.H0,16,"In a medical context, the term for 'sensitivity to light' is '",0.01708984375,0.125,False,1,2.040677785873413,1.9237054586410522,-0.11697232723236084,0.0013562528183683753
L0.H0,17,"In a medical context, the term for 'hair loss' is '",-0.001953125,0.0,False,1,2.4226863384246826,2.4292187690734863,0.006532430648803711,0.0005021436372771859
L0.H0,18,"In a medical context, the term for 'low blood pressure' is '",-0.004638671875,0.0,False,1,3.215179681777954,3.207235097885132,-0.007944583892822266,0.000334615062456578
L0.H0,19,"In a medical context, the term for 'inability to speak' is '",0.00048828125,0.03125,False,1,4.5139546394348145,4.498769283294678,-0.015185356140136719,0.0006730810273438692
L0.H0,20,"In a medical context, the term for 'stomach pain' is '",0.005859375,0.03125,False,1,2.8520588874816895,2.816990375518799,-0.035068511962890625,0.0006916857091709971
L0.H0,21,"In a medical context, the term for 'nerve pain' is '",0.003662109375,0.0390625,False,1,4.192523956298828,4.158720970153809,-0.03380298614501953,0.0007723216549493372
L0.H0,22,"In a medical context, the term for 'excessive sweating' is '",0.006591796875,0.0234375,False,1,3.9561660289764404,3.9324820041656494,-0.023684024810791016,0.0006015916587784886
L0.H0,23,"In a medical context, the term for 'dizziness or spinning sensation' is '",0.0078125,0.046875,False,1,2.625298023223877,2.5688881874084473,-0.05640983581542969,0.0003943582414649427
L0.H0,24,"In a medical context, the term for 'high blood pressure' is '",0.00146484375,0.03125,False,1,1.3687562942504883,1.3570342063903809,-0.011722087860107422,0.0002572527155280113
L0.H0,25,"In a medical context, the term for 'tiredness or lack of energy' is '",0.003173828125,0.015625,False,1,4.442798614501953,4.430854320526123,-0.011944293975830078,0.00047841574996709824
L0.H1,0,"In a medical context, the term for 'loss of smell' is '",-0.00048828125,-0.015625,False,1,2.845332622528076,2.855038642883301,0.00970602035522461,-0.000171524821780622
L0.H1,1,"In a medical context, the term for 'muscle pain' is '",-0.0018310546875,-0.0234375,False,1,4.157482147216797,4.166696548461914,0.009214401245117188,-5.294830771163106e-06
L0.H1,2,"In a medical context, the term for 'shortness of breath' is '",-0.00537109375,-0.03125,False,1,3.001142978668213,3.0311262607574463,0.0299832820892334,1.1836527846753597e-05
L0.H1,3,"In a medical context, the term for 'ringing in the ears' is '",-0.002685546875,-0.0234375,False,1,4.703211307525635,4.7221455574035645,0.018934249877929688,5.7887518778443336e-05
L0.H1,4,"In a medical context, the term for 'double vision' is '",-0.002197265625,-0.0234375,False,1,5.004546165466309,5.019412040710449,0.014865875244140625,0.00011675374844344333
L0.H1,5,"In a medical context, the term for 'low blood sugar' is '",0.00244140625,0.0,False,1,0.985553503036499,0.975736141204834,-0.009817361831665039,1.2715318007394671e-05
L0.H1,6,"In a medical context, the term for 'difficulty swallowing' is '",-0.006103515625,-0.03125,False,1,3.8033342361450195,3.8358826637268066,0.03254842758178711,0.00028115371242165565
L0.H1,7,"In a medical context, the term for 'difficulty sleeping' is '",-0.00390625,-0.015625,False,1,2.703627109527588,2.6962807178497314,-0.007346391677856445,5.80577107029967e-05
L0.H1,8,"In a medical context, the term for 'blood in urine' is '",0.001220703125,-0.0078125,False,1,3.167022705078125,3.161531448364258,-0.0054912567138671875,0.00010918756015598774
L0.H1,9,"In a medical context, the term for 'swelling' is '",0.0030517578125,0.015625,False,1,4.558200836181641,4.5445780754089355,-0.013622760772705078,8.885818533599377e-05
