head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,"Earth is a planet.
Sun is a",-0.00244140625,-0.046875,False,1,0.9316998720169067,0.9521725177764893,0.02047264575958252,-0.00015787399024702609,8.58306884765625e-06,0.012903225806451613,-0.03125,29,29,False
L0.H0,1,"Earth is a planet.
Cygnus X-1 is a",0.001953125,0.015625,False,1,4.00606632232666,4.002233505249023,-0.0038328170776367188,0.00018669344717636704,-1.2755393981933594e-05,-0.05037664783427495,-0.046875,204,208,False
L0.H0,2,"Earth is a planet.
Triton is a",-0.00390625,0.0,False,1,3.0459084510803223,3.0460257530212402,0.00011730194091796875,0.00021701233345083892,0.0040283203125,0.0234375,0.03125,2,2,False
L0.H0,3,"Earth is a planet.
Mars is a",0.0,0.0,False,1,2.3795838356018066,2.380527973175049,0.0009441375732421875,-0.00013037212193012238,-2.384185791015625e-07,-0.0008103727714748784,0.0,129,129,False
L0.H0,4,"Earth is a planet.
Milky Way is a",-0.003173828125,-0.015625,False,1,2.347846269607544,2.3643200397491455,0.016473770141601562,-4.50205261586234e-05,0.00048828125,0.0018148820326678765,-0.0078125,2,2,False
L0.H0,5,"Earth is a planet.
Sirius is a",0.0009765625,0.0,False,1,2.2075181007385254,2.2088770866394043,0.0013589859008789062,0.00017667157226242125,-5.0067901611328125e-06,-0.014103425117528543,-0.015625,89,92,False
L0.H0,6,"Earth is a planet.
Halley is a",-0.0008544921875,-0.0078125,False,1,5.3434271812438965,5.349576473236084,0.0061492919921875,3.795629891101271e-05,4.291534423828125e-06,0.005739795918367347,0.00390625,136,135,True
L0.H0,7,"Earth is a planet.
Andromeda is a",-0.000244140625,0.0,False,1,3.306943416595459,3.304387092590332,-0.002556324005126953,0.0002803310053423047,-6.103515625e-05,-0.0005617977528089888,0.0,2,2,False
L0.H0,8,"Earth is a planet.
Vega is a",-0.001708984375,-0.0078125,False,1,2.9660632610321045,2.981621742248535,0.015558481216430664,0.00017341511556878686,-0.0010986328125,-0.0043859649122807015,-0.0078125,2,2,False
L0.H0,9,"Earth is a planet.
Neptune is a",-0.00634765625,-0.015625,False,1,1.4589310884475708,1.4700021743774414,0.011071085929870605,4.876264574704692e-05,0.0001068115234375,0.020864381520119227,0.015625,6,6,False
L0.H0,10,"Earth is a planet.
Betelgeuse is a",0.00146484375,0.0078125,False,1,2.380758285522461,2.378253698348999,-0.002504587173461914,0.000109705506474711,-3.814697265625e-06,-0.0057553956834532375,0.0,58,58,False
L0.H0,11,"Earth is a planet.
Enceladus is a",0.00048828125,0.0,False,1,2.842893600463867,2.843262195587158,0.0003685951232910156,-2.829266304615885e-05,6.103515625e-05,0.0009881422924901185,0.0,2,2,False
L0.H0,12,"Earth is a planet.
Saturn is a",-0.001953125,-0.015625,False,1,2.010709285736084,2.019932508468628,0.009223222732543945,3.273546462878585e-05,-4.57763671875e-05,-0.003462204270051933,-0.015625,6,6,False
L0.H0,13,"Earth is a planet.
Phobos is a",-0.0029296875,-0.0078125,False,1,3.1943540573120117,3.1971654891967773,0.002811431884765625,0.0001554641203256324,0.0032958984375,0.015957446808510637,0.015625,2,2,False
L0.H0,14,"Earth is a planet.
Mercury is a",0.0,0.0,False,1,1.1486059427261353,1.1470955610275269,-0.0015103816986083984,0.00024395390937570482,-2.47955322265625e-05,-0.007462686567164179,-0.0078125,10,10,False
L0.H0,15,"Earth is a planet.
Regulus is a",-0.002197265625,-0.0078125,False,1,3.0374107360839844,3.0499684810638428,0.012557744979858398,9.980345203075558e-05,0.0001068115234375,0.0112,0.0078125,6,6,False
L0.H0,16,"Earth is a planet.
Deimos is a",-0.005126953125,-0.0234375,False,1,2.7552807331085205,2.7694411277770996,0.014160394668579102,0.00021595106227323413,0.004150390625,0.01864035087719298,0.0078125,2,2,False
L0.H0,17,"Earth is a planet.
Venus is a",0.00048828125,0.015625,False,1,2.188109874725342,2.1732373237609863,-0.014872550964355469,5.749607225880027e-06,-0.0001678466796875,-0.007060333761232349,0.0078125,3,3,False
L0.H0,18,"Earth is a planet.
Ganymede is a",-0.00244140625,-0.015625,False,1,2.5526793003082275,2.5608904361724854,0.008211135864257812,-3.977531014243141e-05,0.001953125,0.010716677829872739,0.0,2,2,False
L0.H0,19,"Earth is a planet.
Uranus is a",-0.00341796875,-0.015625,False,1,1.2364872694015503,1.246977686882019,0.01049041748046875,-9.235687321051955e-05,8.392333984375e-05,0.011287839917906618,0.0,4,4,False
L0.H0,20,"Earth is a planet.
Deneb is a",-0.00439453125,-0.0078125,False,1,2.5301902294158936,2.5448732376098633,0.014683008193969727,0.00012184091610834002,0.000457763671875,0.013876040703052728,0.015625,3,3,False
L0.H0,21,"Earth is a planet.
Callisto is a",-0.00146484375,-0.015625,False,1,2.023972272872925,2.034334182739258,0.010361909866333008,0.0004481450596358627,-4.1961669921875e-05,-0.009282700421940928,-0.0234375,11,12,False
L0.H0,22,"Earth is a planet.
Procyon is a",-0.002685546875,-0.0078125,False,1,3.240971565246582,3.238536834716797,-0.0024347305297851562,0.00016380471060983837,0.0001983642578125,0.016362492133417242,0.015625,6,6,False
L0.H0,23,"Earth is a planet.
Io is a",-0.00244140625,-0.0078125,False,1,2.676722526550293,2.6844003200531006,0.007677793502807617,-0.00032994768116623163,-5.7220458984375e-05,-0.013761467889908258,-0.015625,15,15,False
L0.H0,24,"Earth is a planet.
Arcturus is a",0.00048828125,0.0078125,False,1,2.375012159347534,2.3691282272338867,-0.005883932113647461,0.00014004485274199396,-4.00543212890625e-05,-0.014747191011235955,-0.0078125,19,19,False
