head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,What is the capital of the United States? Answer:,-0.0029296875,-0.03125,False,1,5.226317405700684,5.254877090454102,0.02855968475341797,0.00018920109141618013,-4.76837158203125e-06,-0.015186028853454821,-0.02734375,293,298,False
L0.H0,1,What is the capital of Canada? Answer:,0.0,-0.0078125,False,1,4.360671043395996,4.36817741394043,0.007506370544433594,9.950826643034816e-05,3.5762786865234375e-06,0.012594458438287154,0.00390625,208,208,False
L0.H0,2,What is the capital of Mexico? Answer:,0.0003662109375,0.0078125,False,1,4.692483425140381,4.689151287078857,-0.0033321380615234375,0.00017005164409056306,3.2186508178710938e-06,0.013975155279503106,0.01953125,297,295,True
L0.H0,3,What is the capital of Cuba? Answer:,0.00146484375,0.0078125,False,1,3.540142297744751,3.5325980186462402,-0.007544279098510742,0.00018296156486030668,-2.384185791015625e-07,-0.0044994375703037125,0.0,629,632,False
L0.H0,4,What is the capital of Guatemala? Answer:,-0.0006103515625,0.0,False,1,4.54641580581665,4.545294284820557,-0.00112152099609375,-1.2091615644749254e-05,1.049041748046875e-05,0.0053842388644150755,0.0078125,47,46,True
L0.H0,5,What is the capital of Panama? Answer:,-0.0029296875,-0.015625,False,1,2.978548765182495,2.9985666275024414,0.02001786231994629,3.430154174566269e-05,0.0,0.0,-0.01171875,1399,1404,False
L0.H0,6,What is the capital of Jamaica? Answer:,0.0008544921875,0.0078125,False,1,5.01780366897583,4.994177341461182,-0.023626327514648438,0.0008462859550490975,-0.000171661376953125,-0.04025044722719141,-0.0390625,24,24,False
L0.H0,7,What is the capital of Costa Rica? Answer:,0.00439453125,0.03125,False,1,2.3897781372070312,2.364314079284668,-0.02546405792236328,0.0004924774984829128,-4.9591064453125e-05,-0.046762589928057555,-0.0234375,41,42,False
L0.H0,8,What is the capital of Haiti? Answer:,-0.000732421875,-0.0078125,False,1,4.2439703941345215,4.252897262573242,0.008926868438720703,-1.0284182280884124e-05,-4.9591064453125e-05,-0.009708737864077669,-0.015625,22,23,False
L0.H0,9,What is the capital of Dominican Republic? Answer:,0.003173828125,0.015625,False,1,3.8996691703796387,3.8827009201049805,-0.016968250274658203,0.00022706224990542978,-1.9073486328125e-05,-0.012763241863433313,-0.0078125,55,56,False
