head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,"Habitat of camel is desert.
Habitat of dolphin is",0.000244140625,0.0,False,1,4.195052623748779,4.1908464431762695,-0.004206180572509766,-2.691504778340459e-05,9.5367431640625e-07,0.000851063829787234,0.0,75,75,False
L0.H0,1,"Habitat of camel is desert.
Habitat of tiger is",-0.002197265625,-0.0078125,False,1,4.245804786682129,4.257070541381836,0.011265754699707031,3.382662544026971e-05,3.4332275390625e-05,0.012413793103448275,0.015625,42,40,True
L0.H0,2,"Habitat of camel is desert.
Habitat of penguin is",-0.000732421875,-0.0078125,False,1,4.382117748260498,4.3837785720825195,0.0016608238220214844,3.195641329512e-05,-3.0517578125e-05,-0.004545454545454545,-0.0078125,21,21,False
L0.H0,3,"Habitat of camel is desert.
Habitat of pangolin is",0.00390625,0.0234375,False,1,3.6858508586883545,3.6587977409362793,-0.027053117752075195,0.00031909241806715727,-3.5762786865234375e-07,-0.03592814371257485,-0.0234375,1643,1660,False
L0.H0,4,"Habitat of camel is desert.
Habitat of polar bear is",-0.000732421875,-0.0078125,False,1,3.9218714237213135,3.925170660018921,0.003299236297607422,8.716870797798038e-05,9.1552734375e-05,0.002583979328165375,0.0,7,7,False
L0.H0,5,"Habitat of camel is desert.
Habitat of oyster is",0.00225830078125,0.0234375,False,1,5.113166809082031,5.104748249053955,-0.008418560028076172,0.0001811838592402637,5.340576171875e-05,0.005654281098546042,0.0078125,21,21,False
L0.H0,6,"Habitat of camel is desert.
Habitat of monkey is",-0.001953125,-0.0078125,False,1,4.07230281829834,4.0830583572387695,0.010755538940429688,0.00019941391656175256,9.5367431640625e-06,0.009157509157509158,0.0078125,70,69,True
L0.H0,7,"Habitat of camel is desert.
Habitat of octopus is",0.00146484375,0.015625,False,1,4.546576976776123,4.533943176269531,-0.012633800506591797,0.0001335364067927003,7.62939453125e-06,0.0013550135501355014,0.0078125,30,29,True
L0.H0,8,"Habitat of camel is desert.
Habitat of gorilla is",-0.000244140625,-0.0078125,False,1,4.306848049163818,4.312532424926758,0.005684375762939453,4.838808672502637e-05,6.9141387939453125e-06,0.014788373278939317,0.0078125,162,161,True
L0.H0,9,"Habitat of camel is desert.
Habitat of fish is",-0.000244140625,0.0,False,1,4.519855976104736,4.517355918884277,-0.0025000572204589844,8.069630712270737e-05,-1.239776611328125e-05,-0.009180790960451978,-0.0078125,66,66,False
L0.H0,10,"Habitat of camel is desert.
Habitat of tiger is",-0.0001220703125,0.0078125,False,1,4.245804786682129,4.248734474182129,0.0029296875,-3.144721267744899e-05,1.33514404296875e-05,0.006597549481621112,0.015625,52,52,False
L0.H0,11,"Habitat of camel is desert.
Habitat of salmon is",0.001220703125,0.015625,False,1,4.088439464569092,4.081682205200195,-0.006757259368896484,0.00024409464094787836,-5.14984130859375e-05,-0.013313609467455622,-0.0078125,30,30,False
L0.H0,12,"Habitat of camel is desert.
Habitat of elephant is",-0.002685546875,-0.015625,False,1,4.571380615234375,4.5885844230651855,0.017203807830810547,8.226488716900349e-05,5.7220458984375e-06,0.0019120458891013384,0.0,41,41,False
L0.H0,13,"Habitat of camel is desert.
Habitat of shrimp is",-0.0010986328125,-0.0234375,False,1,4.854670524597168,4.864313125610352,0.009642601013183594,5.414155020844191e-05,0.000274658203125,0.015557476231633534,0.0,8,8,False
L0.H0,14,"Habitat of camel is desert.
Habitat of hippo is",0.00042724609375,0.0,False,1,4.765849590301514,4.766811370849609,0.0009617805480957031,0.00012220090138725936,0.0003662109375,0.005119453924914676,0.0,3,3,False
L0.H0,15,"Habitat of camel is desert.
Habitat of crocodile is",-0.00042724609375,-0.0078125,False,1,4.7845354080200195,4.789379119873047,0.004843711853027344,0.00011673313565552235,7.62939453125e-05,0.00324254215304799,0.0,9,9,False
L0.H0,16,"Habitat of camel is desert.
Habitat of walrus is",0.0030517578125,0.03125,False,1,4.484274864196777,4.473174095153809,-0.01110076904296875,0.0001942976377904415,-0.00189208984375,-0.032460732984293195,-0.0234375,5,5,False
L0.H0,17,"Habitat of camel is desert.
Habitat of giraffe is",-0.0025634765625,-0.03125,False,1,4.589618682861328,4.600192070007324,0.010573387145996094,0.0001956235500983894,6.198883056640625e-06,0.008632138114209827,-0.00390625,120,119,True
L0.H0,18,"Habitat of camel is desert.
Habitat of jellyfish is",0.00341796875,0.0234375,False,1,4.272523880004883,4.2587480545043945,-0.013775825500488281,0.0002024042623816058,-0.00201416015625,-0.05238095238095238,-0.046875,5,5,False
L0.H0,19,"Habitat of camel is desert.
Habitat of zebra is",-0.0009765625,-0.0078125,False,1,4.196017265319824,4.2013840675354,0.005366802215576172,-9.658331691753119e-05,5.7220458984375e-05,0.01288659793814433,0.0078125,24,23,True
L0.H0,20,"Habitat of camel is desert.
Habitat of squid is",0.0025634765625,0.015625,False,1,4.21933650970459,4.207669734954834,-0.01166677474975586,5.6183867854997516e-05,-0.000823974609375,-0.034220532319391636,-0.03125,6,6,False
L0.H0,21,"Habitat of camel is desert.
Habitat of meerkat is",-0.001708984375,-0.0078125,False,1,4.555393218994141,4.557587623596191,0.0021944046020507812,0.00011342641664668918,2.6702880859375e-05,0.007551240560949299,0.0078125,32,32,False
L0.H0,22,"Habitat of camel is desert.
Habitat of trout is",0.00018310546875,0.0,False,1,5.181216239929199,5.181116104125977,-0.00010013580322265625,1.401767076458782e-05,-6.866455078125e-05,-0.005909389363099146,-0.0078125,19,19,False
L0.H0,23,"Habitat of camel is desert.
Habitat of woodpecker is",-0.0008544921875,-0.015625,False,1,4.048450946807861,4.050055027008057,0.0016040802001953125,0.00010383222252130508,1.9073486328125e-05,0.031821797931583136,0.01953125,122,120,True
L0.H0,24,"Habitat of camel is desert.
Habitat of whale is",0.000244140625,0.0078125,False,1,3.6218719482421875,3.617058277130127,-0.004813671112060547,-5.6753517128527164e-05,0.0002593994140625,0.016377649325626204,0.0234375,9,9,False
L0.H0,25,"Habitat of camel is desert.
Habitat of cheetah is",-0.007568359375,-0.0390625,False,1,4.075525760650635,4.110975742340088,0.035449981689453125,0.00025271298363804817,-4.76837158203125e-07,-0.001160092807424594,-0.015625,157,159,False
L0.H0,26,"Habitat of camel is desert.
Habitat of starfish is",0.0030517578125,0.0234375,False,1,4.212300777435303,4.1981329917907715,-0.01416778564453125,0.0001994578051380813,1.430511474609375e-05,0.00863060989643268,0.015625,58,57,True
L0.H0,27,"Habitat of camel is desert.
Habitat of chimpanzee is",-0.003173828125,-0.0234375,False,1,3.7201714515686035,3.7375922203063965,0.01742076873779297,0.0001386293733958155,-7.62939453125e-06,-0.0016488046166529267,-0.015625,21,21,False
L0.H0,28,"Habitat of camel is desert.
Habitat of beluga is",-0.00042724609375,-0.0078125,False,1,4.912934303283691,4.915968894958496,0.0030345916748046875,5.336778122000396e-05,-0.00042724609375,-0.004817618719889883,-0.0078125,1,1,False
