head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,The subject in the sentence 'Chef sleeps' is ',-0.005340576171875,-0.0703125,False,1,6.2601823806762695,6.302227973937988,0.04204559326171875,0.0015906802145764232
L0.H0,1,The subject in the sentence 'Baby sleeps' is ',-0.0068359375,-0.0703125,False,1,5.5353522300720215,5.59083366394043,0.0554814338684082,0.0007440258050337434
L0.H0,2,The subject in the sentence 'Girl sleeps' is ',0.002685546875,0.0078125,False,1,3.8507065773010254,3.8576207160949707,0.0069141387939453125,0.0003414905513636768
L0.H0,3,The subject in the sentence 'Dancer sleeps' is ',-0.004150390625,-0.0078125,False,1,4.683909893035889,4.7429070472717285,0.058997154235839844,0.0008111189818009734
L0.H0,4,The subject in the sentence 'Pilot sleeps' is ',-0.00360107421875,-0.0390625,False,1,5.91334342956543,5.9582414627075195,0.044898033142089844,0.000736442394554615
L0.H0,5,The subject in the sentence 'Teacher sleeps' is ',-0.0025634765625,-0.0078125,False,1,5.337976932525635,5.367462158203125,0.029485225677490234,0.00047317863209173083
L0.H0,6,The subject in the sentence 'Wind sleeps' is ',0.005126953125,0.0859375,False,1,5.493476867675781,5.471930503845215,-0.021546363830566406,0.0017451943131163716
L0.H0,7,The subject in the sentence 'Cat sleeps' is ',0.0020751953125,-0.0078125,False,1,4.930724620819092,4.951300621032715,0.020576000213623047,0.00046897248830646276
L0.H0,8,The subject in the sentence 'Bird sleeps' is ',0.001220703125,0.0,False,1,5.133038520812988,5.156321048736572,0.023282527923583984,0.0009334601345472038
L0.H0,9,The subject in the sentence 'Musician sleeps' is ',-0.00201416015625,-0.0390625,False,1,5.686338424682617,5.740623474121094,0.05428504943847656,0.0009500760352239013
L0.H0,10,The subject in the sentence 'Bee sleeps' is ',-0.0079345703125,-0.0546875,False,1,5.405467510223389,5.45607852935791,0.050611019134521484,0.0009964685887098312
L0.H0,11,The subject in the sentence 'Dog sleeps' is ',-0.0081787109375,-0.0625,False,1,4.555401802062988,4.638611793518066,0.08320999145507812,0.0008370343130081892
L0.H0,12,The subject in the sentence 'Baby sleeps' is ',-0.0068359375,-0.0703125,False,1,5.5353522300720215,5.59083366394043,0.0554814338684082,0.0007440258050337434
L0.H0,13,The subject in the sentence 'Writer sleeps' is ',-0.0089111328125,-0.1015625,False,1,5.557228088378906,5.64801025390625,0.09078216552734375,0.001168085727840662
L0.H0,14,The subject in the sentence 'Man sleeps' is ',-0.0025634765625,0.0,False,1,4.795360565185547,4.834781646728516,0.03942108154296875,0.001197785953991115
L0.H0,15,The subject in the sentence 'Student sleeps' is ',-0.0052490234375,-0.0390625,False,1,5.018143653869629,5.0851640701293945,0.06702041625976562,0.0010943547822535038
L0.H0,16,The subject in the sentence 'Lion sleeps' is ',-0.01220703125,-0.03125,False,1,4.403565883636475,4.456643104553223,0.05307722091674805,0.0012068815995007753
L0.H0,17,The subject in the sentence 'Driver sleeps' is ',-0.01025390625,-0.09375,False,1,5.428184986114502,5.510453224182129,0.08226823806762695,0.0009776637889444828
L0.H0,18,The subject in the sentence 'Boy sleeps' is ',-0.005615234375,-0.078125,False,1,5.0530853271484375,5.129485130310059,0.0763998031616211,0.0011406431440263987
L0.H0,19,The subject in the sentence 'Student sleeps' is ',-0.0052490234375,-0.0390625,False,1,5.018143653869629,5.0851640701293945,0.06702041625976562,0.0010943547822535038
L0.H0,20,The subject in the sentence 'Baby sleeps' is ',-0.0068359375,-0.0703125,False,1,5.5353522300720215,5.59083366394043,0.0554814338684082,0.0007440258050337434
L0.H0,21,The subject in the sentence 'Soldier sleeps' is ',-0.014892578125,-0.0625,False,1,3.770753860473633,3.8814239501953125,0.11067008972167969,0.0013539029750972986
L0.H0,22,The subject in the sentence 'Child sleeps' is ',-0.00146484375,0.0078125,False,1,4.934069633483887,4.9571146965026855,0.023045063018798828,0.0006395884556695819
L0.H0,23,The subject in the sentence 'Farmer sleeps' is ',0.001708984375,-0.0078125,False,1,4.984535217285156,5.00674295425415,0.02220773696899414,0.0010233039502054453
L0.H0,24,The subject in the sentence 'Owl sleeps' is ',-0.00054931640625,0.0078125,False,1,5.623900413513184,5.646482467651367,0.022582054138183594,0.0011402766685932875
L0.H0,25,The subject in the sentence 'Boy sleeps' is ',-0.005615234375,-0.078125,False,1,5.0530853271484375,5.129485130310059,0.0763998031616211,0.0011406431440263987
L0.H0,26,The subject in the sentence 'Woman sleeps' is ',-0.000732421875,-0.0078125,False,1,4.714092254638672,4.71602725982666,0.0019350051879882812,0.0007421699119731784
L0.H0,27,The subject in the sentence 'Frog sleeps' is ',-0.00433349609375,-0.0390625,False,1,5.516316890716553,5.565052509307861,0.048735618591308594,0.0009464710019528866
L0.H0,28,The subject in the sentence 'Clock sleeps' is ',0.0015869140625,0.0234375,False,1,5.675590515136719,5.681679725646973,0.006089210510253906,0.0008426283020526171
L0.H0,29,The subject in the sentence 'Girl sleeps' is ',0.002685546875,0.0078125,False,1,3.8507065773010254,3.8576207160949707,0.0069141387939453125,0.0003414905513636768
L0.H0,30,The subject in the sentence 'Teacher sleeps' is ',-0.0025634765625,-0.0078125,False,1,5.337976932525635,5.367462158203125,0.029485225677490234,0.00047317863209173083
L0.H0,31,The subject in the sentence 'Rabbit sleeps' is ',-0.0054931640625,-0.046875,False,1,5.561959743499756,5.602795124053955,0.04083538055419922,0.0008154161041602492
L0.H0,32,The subject in the sentence 'Dog sleeps' is ',-0.0108642578125,-0.0859375,False,1,4.537868499755859,4.638611793518066,0.10074329376220703,0.001046559540554881
L0.H0,33,The subject in the sentence 'Horse sleeps' is ',-0.0040283203125,-0.0390625,False,1,5.217199325561523,5.269301414489746,0.052102088928222656,0.0008497610688209534
L0.H0,34,The subject in the sentence 'Runner sleeps' is ',0.0008544921875,-0.015625,False,1,6.025269508361816,6.05745267868042,0.032183170318603516,0.0006585628725588322
L0.H0,35,The subject in the sentence 'Singer sleeps' is ',-0.009765625,-0.0859375,False,1,5.509455680847168,5.570174217224121,0.060718536376953125,0.0011364547535777092
L0.H0,36,The subject in the sentence 'Worker sleeps' is ',-0.0078125,-0.078125,False,1,5.692962646484375,5.749225616455078,0.056262969970703125,0.0011406594421714544
L0.H0,37,The subject in the sentence 'Athlete sleeps' is ',-0.0079345703125,-0.0546875,False,1,5.107928276062012,5.170994758605957,0.06306648254394531,0.0010264492593705654
L0.H0,38,The subject in the sentence 'Horse sleeps' is ',-0.0040283203125,-0.0390625,False,1,5.217199325561523,5.269301414489746,0.052102088928222656,0.0008497610688209534
L0.H0,39,The subject in the sentence 'Cat sleeps' is ',0.0035400390625,0.0,False,1,4.937984466552734,4.951300621032715,0.013316154479980469,0.0003894992405548692
L0.H0,40,The subject in the sentence 'Sun sleeps' is ',-0.000732421875,0.0,False,1,5.525429725646973,5.524698734283447,-0.0007309913635253906,0.0008060496766120195
L0.H0,41,The subject in the sentence 'Dog sleeps' is ',-0.0108642578125,-0.0859375,False,1,4.537868499755859,4.638611793518066,0.10074329376220703,0.001046559540554881
L0.H0,42,The subject in the sentence 'Painter sleeps' is ',0.00927734375,0.046875,False,1,4.6376752853393555,4.602099418640137,-0.03557586669921875,0.0007971238810569048
L0.H0,43,The subject in the sentence 'Artist sleeps' is ',-0.00341796875,-0.0234375,False,1,5.355546474456787,5.404293537139893,0.04874706268310547,0.0007190888281911612
L0.H0,44,The subject in the sentence 'Guard sleeps' is ',-0.00457763671875,-0.078125,False,1,5.801722526550293,5.846242904663086,0.04452037811279297,0.0009703413234092295
L0.H0,45,The subject in the sentence 'Bird sleeps' is ',0.0010986328125,0.0,False,1,5.141885757446289,5.156321048736572,0.014435291290283203,0.0007933700690045953
L0.H0,46,The subject in the sentence 'Player sleeps' is ',-0.01025390625,-0.109375,False,1,5.611950874328613,5.706756591796875,0.09480571746826172,0.0017108269967138767
L0.H0,47,The subject in the sentence 'Fish sleeps' is ',-0.0009765625,-0.015625,False,1,5.130298614501953,5.163361072540283,0.03306245803833008,0.0005358941853046417
