head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,The 1st Amendment protects freedom of,0.0,0.0,False,1,1.3784791231155396,1.3801915645599365,0.0017124414443969727,0.00019659883400890976,2.384185791015625e-07,0.058823529411764705,0.05859375,490,469,True
L0.H0,1,The 2nd Amendment protects the right to bear,0.0048828125,0.09375,False,1,0.43266403675079346,0.4036926329135895,-0.02897140383720398,0.00046713510528206825,0.0,0.0,0.02734375,3663,3513,True
L0.H0,2,The 13th Amendment abolished,-0.001953125,-0.03125,False,1,0.788386881351471,0.8010334968566895,0.012646615505218506,8.433045877609402e-05,1.1920928955078125e-07,0.02127659574468085,-0.0078125,597,599,False
L0.H0,3,The 15th Amendment protects the right to,-0.0009765625,-0.015625,False,1,2.575169086456299,2.594316244125366,0.019147157669067383,0.0001077114138752222,-0.000274658203125,-0.01791044776119403,-0.03125,4,4,False
L0.H0,4,The 6th Amendment guarantees a speedy,-0.072265625,-0.1875,False,1,1.3222651481628418,1.4136340618133545,0.0913689136505127,0.012370024807751179,0.0,0.0,-0.10986328125,5131,5368,False
L0.H0,5,The 26th Amendment lowered the voting,0.00244140625,0.09375,False,1,0.2752211093902588,0.25640150904655457,-0.018819600343704224,0.0003806825552601367,-1.1920928955078125e-07,-0.2,-0.046875,709,749,False
L0.H0,6,The 8th Amendment prohibits cruel and unusual,-0.0048828125,0.0625,False,1,0.6490283012390137,0.653203010559082,0.004174709320068359,0.00012269178114365786,-1.7881393432617188e-07,-0.15789473684210525,-0.12109375,271,297,False
L0.H0,7,The 10th Amendment reserves powers to the,0.0048828125,0.0625,False,1,2.5203661918640137,2.481250286102295,-0.03911590576171875,0.0008158794953487813,5.960464477539063e-08,0.07692307692307693,0.0625,2038,1880,True
L0.H0,8,The 14th Amendment's clause regarding due,0.00048828125,0.03125,False,1,0.0730660930275917,0.07093630731105804,-0.002129785716533661,-0.00017924138228408992,0.0,0.0,0.037109375,2461,2453,True
L0.H0,9,The 3rd Amendment prohibits the quartering of,0.005615234375,0.03125,False,1,2.2846760749816895,2.2594828605651855,-0.025193214416503906,0.0005719379987567663,0.0,0.0,-0.01171875,1279,1270,True
L0.H0,10,The 24th Amendment prohibited poll,-0.00537109375,-0.015625,False,1,0.9927761554718018,0.9996740221977234,0.006897866725921631,0.0005412657046690583,5.960464477539063e-08,0.3333333333333333,0.146484375,2588,2244,True
L0.H0,11,The 5th Amendment's clause regarding private,-0.00439453125,-0.015625,False,1,1.884568691253662,1.9099678993225098,0.025399208068847656,0.00031755396048538387,2.8848648071289062e-05,0.06659328563566318,0.0546875,84,78,True
L0.H0,12,The 14th Amendment guarantees equal,-0.00048828125,-0.015625,False,1,1.1906383037567139,1.1952717304229736,0.004633426666259766,-0.00017068447778001428,-1.1920928955078125e-07,-0.08,-0.1015625,883,944,False
L0.H0,13,The 6th Amendment's right to assistance of,-0.00048828125,-0.046875,False,1,0.31331542134284973,0.3171060085296631,0.0037905871868133545,9.940221207216382e-05,0.0,0.0,-0.1015625,5766,5925,False
L0.H0,14,The 25th Amendment governs presidential,0.023681640625,0.078125,False,1,3.0689005851745605,2.9884862899780273,-0.0804142951965332,0.0019582053646445274,-5.960464477539063e-08,-0.02857142857142857,0.0078125,2498,2505,False
