head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,The past tense of 'go' is ',0.0074462890625,0.125,False,1,4.714484214782715,4.6154327392578125,-0.09905147552490234,0.004787018988281488
L0.H0,1,The past tense of 'take' is ',0.018798828125,0.140625,False,1,3.200563430786133,3.085068702697754,-0.1154947280883789,0.004034087061882019
L0.H0,2,The past tense of 'write' is ',0.008056640625,0.0546875,False,1,3.764324903488159,3.6950602531433105,-0.06926465034484863,0.002360263140872121
L0.H0,3,The past tense of 'run' is ',-0.015380859375,-0.03125,False,1,3.721816062927246,3.7495994567871094,0.02778339385986328,0.006030017044395208
L0.H0,4,The past tense of 'build' is ',0.00634765625,0.03125,False,1,2.7288172245025635,2.729200601577759,0.0003833770751953125,0.0017056565266102552
L0.H0,5,The past tense of 'leave' is ',-0.0008544921875,0.0859375,False,1,5.423493385314941,5.332492828369141,-0.09100055694580078,0.006355889607220888
L0.H0,6,The past tense of 'pay' is ',-0.002197265625,0.03125,False,1,2.891585350036621,2.8990700244903564,0.0074846744537353516,0.0020135464146733284
L0.H0,7,The past tense of 'tell' is ',0.027587890625,0.296875,False,1,3.9470250606536865,3.6851935386657715,-0.26183152198791504,0.01284269243478775
L0.H0,8,The past tense of 'are' is ',0.001220703125,0.15625,False,1,3.350398302078247,3.2324912548065186,-0.11790704727172852,0.005015091970562935
L0.H0,9,The past tense of 'make' is ',0.011474609375,0.1484375,False,1,3.419703483581543,3.3282463550567627,-0.09145712852478027,0.004893606062978506
L0.H0,10,The past tense of 'am' is ',0.0079345703125,0.1640625,False,1,4.288043022155762,4.163435935974121,-0.12460708618164062,0.0039909775368869305
L0.H0,11,The past tense of 'draw' is ',0.009765625,0.125,False,1,3.9826574325561523,3.9101979732513428,-0.07245945930480957,0.0021613219287246466
L0.H0,12,The past tense of 'lead' is ',-0.00341796875,0.03125,True,2,3.077911376953125,3.0571744441986084,-0.0207369327545166,0.0017211365047842264
L0.H0,13,The past tense of 'answer' is ',-0.00701904296875,-0.0078125,True,2,5.164395332336426,5.0992536544799805,-0.06514167785644531,0.003799137193709612
L0.H0,14,The past tense of 'plan' is ',0.005859375,0.0859375,False,1,4.909015655517578,4.847524166107178,-0.06149148941040039,0.001958786277100444
