head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,Tottenham Hotspur is associated with which sports? Answer:,-0.0009765625,0.0,False,1,5.100890159606934,5.118875503540039,0.01798534393310547,0.000568029354326427,3.814697265625e-05,0.0024449877750611247,0.0078125,12,12,False
L0.H0,1,Los Angeles Lakers is associated with which sports? Answer:,0.0,0.015625,False,1,5.621204376220703,5.627123832702637,0.005919456481933594,0.0020877011120319366,0.0001678466796875,0.007982583454281567,0.0234375,7,7,False
L0.H0,2,New York Yankees is associated with which sports? Answer:,0.000244140625,-0.0234375,False,1,4.865543365478516,4.870400905609131,0.004857540130615234,0.0005870973691344261,-4.76837158203125e-07,-0.0029239766081871343,-0.02734375,389,392,False
L0.H0,3,Lewis Hamilton is associated with which sports? Answer:,0.002899169921875,0.0390625,False,1,6.235288143157959,6.239116668701172,0.0038285255432128906,0.00037774036172777414,-0.0003204345703125,-0.01430517711171662,-0.0234375,6,7,False
L0.H0,4,Liverpool is associated with which sports? Answer:,-0.00048828125,0.0078125,False,1,5.568408966064453,5.556178569793701,-0.012230396270751953,0.0009058174910023808,-6.103515625e-05,-0.004479283314669653,0.0078125,10,10,False
L0.H0,5,Chicago Bulls is associated with which sports? Answer:,0.0009765625,0.0078125,False,1,5.365927219390869,5.360602378845215,-0.005324840545654297,0.00012388464529067278,-3.0517578125e-05,-0.0013245033112582781,0.0,7,7,False
L0.H0,6,Boston Red Sox is associated with which sports? Answer:,-0.005859375,-0.03125,False,1,4.6031951904296875,4.630205154418945,0.027009963989257812,0.0004834092687815428,1.049041748046875e-05,0.009189640768588136,0.0,72,72,False
L0.H0,7,Tiger Woods is associated with which sports? Answer:,-0.006591796875,-0.046875,False,1,3.951789379119873,3.992037773132324,0.04024839401245117,0.001140476786531508,0.000225067138671875,0.046129788897576234,0.015625,15,15,False
L0.H0,8,Arsenal is associated with which sports? Answer:,-0.00048828125,0.0,False,1,5.5389509201049805,5.541974067687988,0.0030231475830078125,0.0004962182138115168,0.0003814697265625,0.03597122302158273,0.0390625,11,11,False
L0.H0,9,Golden State Warriors is associated with which sports? Answer:,0.0020751953125,0.0234375,False,1,5.195013999938965,5.171067237854004,-0.023946762084960938,0.0005456031067296863,-0.0001220703125,-0.0111731843575419,0.0,10,10,False
L0.H0,10,Los Angeles Dodgers is associated with which sports? Answer:,-0.00048828125,0.0078125,False,1,5.315765380859375,5.30637264251709,-0.009392738342285156,0.0003715292550623417,-4.57763671875e-05,-0.025945945945945945,-0.015625,63,64,False
L0.H0,11,Roger Federer is associated with which sports? Answer:,-0.006591796875,-0.015625,False,1,3.638153553009033,3.6509971618652344,0.012843608856201172,0.0009666375699453056,-0.00041961669921875,-0.04519309778142974,-0.046875,7,8,False
L0.H0,12,Chelsea is associated with which sports? Answer:,0.0048828125,0.0859375,False,1,5.592279434204102,5.529526710510254,-0.06275272369384766,0.0013546970440074801,-0.00048828125,-0.026755852842809364,0.015625,8,8,False
L0.H0,13,Boston Celtics is associated with which sports? Answer:,-0.0020751953125,-0.03125,False,1,5.135867118835449,5.165132999420166,0.029265880584716797,0.000333622214384377,-9.1552734375e-05,-0.0022205773501110288,-0.0234375,4,4,False
L0.H0,14,Chicago Cubs is associated with which sports? Answer:,-0.00347900390625,-0.0234375,False,1,5.484740257263184,5.485774993896484,0.0010347366333007812,0.00030884286388754845,-1.3113021850585938e-06,-0.009927797833935019,-0.00390625,586,590,False
L0.H0,15,Max Verstappen is associated with which sports? Answer:,-0.00341796875,-0.0234375,False,1,5.807475566864014,5.801421165466309,-0.006054401397705078,0.0012340396642684937,-0.000762939453125,-0.04145936981757877,-0.0390625,6,6,False
L0.H0,16,Manchester United is associated with which sports? Answer:,0.0,0.0078125,False,1,5.359967231750488,5.371645927429199,0.011678695678710938,0.00025436654686927795,0.00031280517578125,0.031906614785992216,0.0390625,10,10,False
L0.H0,17,Miami Heat is associated with which sports? Answer:,0.0018310546875,0.015625,False,1,5.4580864906311035,5.460251808166504,0.0021653175354003906,7.689197082072496e-05,0.0003814697265625,0.013812154696132596,0.015625,6,6,False
L0.H0,18,San Francisco Giants is associated with which sports? Answer:,-0.0001220703125,0.0,False,1,5.234020709991455,5.22003173828125,-0.013988971710205078,0.0006311553879640996,-2.765655517578125e-05,-0.046511627906976744,-0.046875,161,164,False
L0.H0,19,Rafael Nadal is associated with which sports? Answer:,0.00390625,0.03125,False,1,3.7217483520507812,3.6800036430358887,-0.04174470901489258,0.000986057915724814,5.7220458984375e-06,0.0015408320493066256,0.0234375,18,18,False
L0.H0,20,Barcelona is associated with which sports? Answer:,-0.00048828125,-0.0078125,False,1,5.571383476257324,5.571134090423584,-0.0002493858337402344,0.0002408947329968214,0.0,0.0,0.0,9,9,False
