head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,The chef prepared the meal. The meal was,-0.0006103515625,0.0,False,1,5.089188575744629,5.092258453369141,0.0030698776245117188,0.00010180845129070804,-3.5762786865234375e-07,-0.012345679012345678,-0.0078125,1319,1331,False
L0.H0,1,Wind blew the leaves. The leaves were,0.0057373046875,0.125,False,1,5.992740631103516,5.999781131744385,0.007040500640869141,0.005078956484794617,1.8477439880371094e-06,0.30097087378640774,0.265625,3748,3339,True
L0.H0,2,The doctor treated the patient. The patient was,-0.00341796875,-0.0703125,False,1,5.1679487228393555,5.187802314758301,0.019853591918945312,0.0006111887050792575,0.0002288818359375,0.015345268542199489,-0.0234375,13,13,False
L0.H0,3,The singer performed the song. The song was,0.003173828125,0.03125,False,1,4.354610443115234,4.3460259437561035,-0.00858449935913086,0.0005254899151623249,-7.271766662597656e-06,-0.04818325434439179,-0.0390625,282,288,False
L0.H0,4,The architect designed the villa. The villa was,0.001220703125,0.0,False,1,3.706223487854004,3.7083067893981934,0.002083301544189453,8.6012645624578e-05,0.0,0.0,-0.00390625,1490,1494,False
L0.H0,5,The editor checked the manuscript. The manuscript was,-0.02239990234375,-0.28125,True,4,3.7053065299987793,3.789172887802124,0.08386635780334473,0.0066269077360630035,1.1920928955078125e-07,0.037037037037037035,-0.0625,1521,1544,False
L0.H0,6,Police caught the thief. The thief was,-0.0008544921875,-0.015625,False,1,5.4312825202941895,5.44354772567749,0.012265205383300781,0.0005274061113595963,1.1920928955078125e-07,0.008620689655172414,0.0078125,2384,2394,False
L0.H0,7,The author wrote the novel. The novel was,0.00146484375,0.0234375,False,1,4.241884231567383,4.218335151672363,-0.02354907989501953,0.00045751791913062334,-7.152557373046875e-07,-0.041237113402061855,-0.02734375,1045,1063,False
L0.H0,8,The storm damaged the roof. The roof was,0.0047607421875,0.0625,False,1,5.085537433624268,5.055141448974609,-0.030395984649658203,0.0006836878601461649,-6.866455078125e-05,-0.007582139848357203,0.0078125,19,19,False
L0.H0,9,The photographer took the picture. The picture was,0.00390625,0.0234375,False,1,4.716752052307129,4.693262100219727,-0.023489952087402344,0.00033123738830909133,-3.6954879760742188e-06,-0.015121951219512195,-0.0078125,305,312,False
L0.H0,10,The mechanic fixed the car. The car was,-0.00189208984375,-0.03125,False,1,5.315192222595215,5.3352437019348145,0.02005147933959961,0.0002683625789359212,1.6093254089355469e-06,0.01929949964260186,0.0078125,738,734,True
