head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,What is the capital of Argentina? Answer:,0.00048828125,0.0,False,1,2.7852935791015625,2.7900381088256836,0.004744529724121094,-0.00014180928701534867,9.918212890625e-05,0.023985239852398525,0.0234375,12,11,True
L0.H0,1,What is the capital of Chile? Answer:,-0.00244140625,-0.0234375,False,1,3.1428728103637695,3.1716275215148926,0.028754711151123047,0.0002493953797966242,1.52587890625e-05,0.0029985007496251873,-0.015625,15,15,False
L0.H0,2,What is the capital of Peru? Answer:,-0.00048828125,0.0,False,1,3.770897388458252,3.760544776916504,-0.010352611541748047,0.0003432134399190545,-7.62939453125e-05,-0.016433853738701727,-0.015625,20,20,False
L0.H0,3,What is the capital of Colombia? Answer:,-0.00048828125,0.0,False,1,2.5757274627685547,2.5757174491882324,-1.0013580322265625e-05,-0.00041124082054011524,-1.1444091796875e-05,-0.0015511892450879006,0.0,10,9,True
L0.H0,4,What is the capital of Ecuador? Answer:,-0.00537109375,-0.0390625,False,1,2.7083330154418945,2.7546982765197754,0.04636526107788086,6.416067481040955e-05,9.918212890625e-05,0.029017857142857144,0.0,19,19,False
L0.H0,5,What is the capital of Bolivia? Answer:,0.002685546875,0.0234375,False,1,3.5788042545318604,3.5616276264190674,-0.01717662811279297,0.00014294779975898564,4.291534423828125e-06,0.007358953393295176,0.0234375,106,103,True
L0.H0,6,What is the capital of Uruguay? Answer:,-0.0029296875,-0.015625,False,1,2.6345458030700684,2.6542599201202393,0.0197141170501709,-1.9553786842152476e-05,4.57763671875e-05,0.010135135135135136,0.0,14,14,False
L0.H0,7,What is the capital of Paraguay? Answer:,-0.000244140625,0.0,False,1,3.4427032470703125,3.4396378993988037,-0.003065347671508789,0.0003748787275981158,4.291534423828125e-06,0.0195971692977681,0.01953125,222,219,True
L0.H0,8,What is the capital of Venezuela? Answer:,-0.0013427734375,-0.015625,False,1,4.902521133422852,4.919643878936768,0.017122745513916016,0.0003398149856366217,-7.152557373046875e-07,-0.002551020408163265,-0.01171875,261,261,False
L0.H0,9,What is the capital of Guyana? Answer:,0.001708984375,0.0078125,False,1,4.793046474456787,4.788083076477051,-0.004963397979736328,8.061130938585848e-05,3.814697265625e-06,0.0012515644555694619,0.0,36,36,False
L0.H0,10,What is the capital of Suriname? Answer:,-0.0023193359375,-0.015625,True,2,4.813132286071777,4.792044162750244,-0.021088123321533203,0.000251285353442654,3.5762786865234375e-07,0.0016703786191536749,0.00390625,328,325,True
L0.H1,0,What is the capital of Argentina? Answer:,-0.00244140625,-0.0078125,False,1,2.7852935791015625,2.798081159591675,0.012787580490112305,8.000503294169903e-05,4.57763671875e-05,0.01107011070110701,0.0078125,12,12,False
L0.H1,1,What is the capital of Chile? Answer:,0.000244140625,0.0,False,1,3.1428728103637695,3.1484105587005615,0.005537748336791992,7.375064888037741e-05,8.392333984375e-05,0.01649175412293853,0.015625,15,15,False
L0.H1,2,What is the capital of Peru? Answer:,-0.000732421875,-0.0078125,False,1,3.770897388458252,3.777879238128662,0.006981849670410156,3.140886838082224e-05,-7.62939453125e-06,-0.0016433853738701725,-0.0078125,20,21,False
L0.H1,3,What is the capital of Colombia? Answer:,0.0,0.0,False,1,2.5757274627685547,2.577831983566284,0.002104520797729492,-0.00012435959069989622,-6.103515625e-05,-0.008273009307135471,-0.0078125,10,10,False
