head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,Answer with a Chinese Hanzi. English: 'Horse' / Chinese: ',0.004638671875,0.0390625,False,1,5.4080047607421875,5.369826793670654,-0.0381779670715332,0.0006827955367043614
L0.H0,1,Answer with a Chinese Hanzi. English: 'Fish' / Chinese: ',0.0091552734375,0.0546875,False,1,5.084436893463135,5.019029140472412,-0.06540775299072266,0.0008750687120482326
L0.H0,2,Answer with a Chinese Hanzi. English: 'Door' / Chinese: ',-0.0020751953125,-0.0234375,False,1,4.609221458435059,4.600488185882568,-0.008733272552490234,0.0009217931074090302
L0.H0,3,Answer with a Chinese Hanzi. English: 'Plane' / Chinese: ',0.0025634765625,0.0625,False,1,6.199928283691406,6.163212776184082,-0.03671550750732422,0.0008831025334075093
L0.H0,4,Answer with a Chinese Hanzi. English: 'Year' / Chinese: ',-0.00048828125,0.0078125,False,1,5.18724250793457,5.157740116119385,-0.029502391815185547,0.0006649994174949825
L0.H0,5,Answer with a Chinese Hanzi. English: 'City' / Chinese: ',0.004638671875,0.0703125,False,1,4.755824565887451,4.692116737365723,-0.06370782852172852,0.000987841747701168
L0.H0,6,Answer with a Chinese Hanzi. English: 'Road' / Chinese: ',0.00927734375,0.03125,False,1,4.455606460571289,4.385425567626953,-0.07018089294433594,0.0012407655594870448
L0.H0,7,Answer with a Chinese Hanzi. English: 'Fire' / Chinese: ',0.015869140625,0.0703125,False,1,4.053000450134277,3.9506077766418457,-0.10239267349243164,0.0011279764585196972
L0.H0,8,Answer with a Chinese Hanzi. English: 'Time' / Chinese: ',0.00927734375,0.0546875,False,1,3.931260824203491,3.8376121520996094,-0.09364867210388184,0.0011085141450166702
L0.H0,9,Answer with a Chinese Hanzi. English: 'Friend' / Chinese: ',-0.00030517578125,-0.015625,False,1,5.258400917053223,5.245856285095215,-0.012544631958007812,0.0006837488617748022
L0.H0,10,Answer with a Chinese Hanzi. English: 'Today' / Chinese: ',0.015380859375,0.0625,False,1,4.307960033416748,4.214479923248291,-0.09348011016845703,0.0010789845837280154
L0.H0,11,Answer with a Chinese Hanzi. English: 'White' / Chinese: ',0.0057373046875,0.0546875,False,1,5.6616387367248535,5.6141510009765625,-0.047487735748291016,0.0008084141882136464
L0.H0,12,Answer with a Chinese Hanzi. English: 'Worker' / Chinese: ',-0.0126953125,-0.109375,False,1,5.024685859680176,5.112974166870117,0.0882883071899414,0.0013091271976009011
L0.H0,13,Answer with a Chinese Hanzi. English: 'Shop' / Chinese: ',0.001708984375,0.015625,False,1,5.433096408843994,5.402869701385498,-0.030226707458496094,0.0005427030846476555
L0.H0,14,Answer with a Chinese Hanzi. English: 'Earth' / Chinese: ',0.00250244140625,0.046875,False,1,5.46351432800293,5.448225975036621,-0.015288352966308594,0.0006639723433181643
L0.H0,15,Answer with a Chinese Hanzi. English: 'Dog' / Chinese: ',0.00347900390625,0.0546875,False,1,5.692129135131836,5.657170295715332,-0.034958839416503906,0.0007259346311911941
L0.H0,16,Answer with a Chinese Hanzi. English: 'Ten' / Chinese: ',0.00830078125,0.0390625,False,1,5.117440223693848,5.081413269042969,-0.036026954650878906,0.0008817206253297627
L0.H0,17,Answer with a Chinese Hanzi. English: 'Window' / Chinese: ',-0.000732421875,-0.0078125,False,1,4.434091567993164,4.430203437805176,-0.0038881301879882812,0.0003824708401225507
L0.H0,18,Answer with a Chinese Hanzi. English: 'Son' / Chinese: ',0.00286865234375,0.0390625,False,1,5.473519325256348,5.430264472961426,-0.043254852294921875,0.0007967044366523623
L0.H0,19,Answer with a Chinese Hanzi. English: 'Dragon' / Chinese: ',0.021728515625,0.125,False,1,4.542327880859375,4.406079292297363,-0.13624858856201172,0.0021190918050706387
L0.H0,20,Answer with a Chinese Hanzi. English: 'One' / Chinese: ',0.0025634765625,-0.0234375,False,1,4.979974269866943,4.967499732971191,-0.012474536895751953,0.00042222876800224185
L0.H0,21,Answer with a Chinese Hanzi. English: 'Head' / Chinese: ',0.0001220703125,-0.0234375,False,1,4.598180770874023,4.608456134796143,0.01027536392211914,0.00040486990474164486
L0.H0,22,Answer with a Chinese Hanzi. English: 'Sky' / Chinese: ',-0.0008544921875,-0.0078125,False,1,4.815954208374023,4.804652690887451,-0.011301517486572266,0.0005302960053086281
L0.H0,23,Answer with a Chinese Hanzi. English: 'Father' / Chinese: ',0.0048828125,0.015625,False,1,3.7855498790740967,3.737041473388672,-0.048508405685424805,0.0010051652789115906
L0.H0,24,Answer with a Chinese Hanzi. English: 'Big' / Chinese: ',0.00732421875,0.0390625,False,1,5.623261451721191,5.577652931213379,-0.0456085205078125,0.0007637920207343996
L0.H0,25,Answer with a Chinese Hanzi. English: 'Police' / Chinese: ',0.006591796875,0.0390625,False,1,4.694507598876953,4.654192924499512,-0.040314674377441406,0.000604141503572464
L0.H0,26,Answer with a Chinese Hanzi. English: 'Woman' / Chinese: ',0.004638671875,0.03125,False,1,4.399316310882568,4.357146739959717,-0.04216957092285156,0.0006139811594039202
L0.H0,27,Answer with a Chinese Hanzi. English: 'Two' / Chinese: ',-0.000244140625,-0.015625,False,1,5.0304107666015625,5.018342971801758,-0.012067794799804688,0.0008124749874696136
L0.H0,28,Answer with a Chinese Hanzi. English: 'New' / Chinese: ',0.00799560546875,0.0703125,False,1,5.521478652954102,5.473235607147217,-0.048243045806884766,0.0008428116561844945
L0.H0,29,Answer with a Chinese Hanzi. English: 'Bird' / Chinese: ',0.0106201171875,0.078125,False,1,5.248557090759277,5.1825079917907715,-0.06604909896850586,0.0009788577444851398
L0.H0,30,Answer with a Chinese Hanzi. English: 'Heart' / Chinese: ',0.0,0.0078125,False,1,4.879651069641113,4.8589324951171875,-0.02071857452392578,0.0007145584095269442
L0.H0,31,Answer with a Chinese Hanzi. English: 'Sugar' / Chinese: ',0.006591796875,0.0703125,False,1,5.120307922363281,5.074935436248779,-0.04537248611450195,0.0007749013602733612
L0.H0,32,Answer with a Chinese Hanzi. English: 'Good' / Chinese: ',0.0076904296875,0.0703125,False,1,5.735699653625488,5.701848983764648,-0.033850669860839844,0.0016248794272542
L0.H0,33,Answer with a Chinese Hanzi. English: 'Death' / Chinese: ',-0.0020751953125,-0.0390625,False,1,5.554300308227539,5.553791522979736,-0.0005087852478027344,0.000898680416867137
L0.H0,34,Answer with a Chinese Hanzi. English: 'World' / Chinese: ',0.016357421875,0.125,False,1,4.138623237609863,3.9953880310058594,-0.1432352066040039,0.0022935792803764343
L0.H0,35,Answer with a Chinese Hanzi. English: 'Eye' / Chinese: ',0.0091552734375,0.046875,False,1,5.140261650085449,5.096014976501465,-0.044246673583984375,0.0007290164940059185
L0.H0,36,Answer with a Chinese Hanzi. English: 'Water' / Chinese: ',0.005126953125,0.015625,False,1,3.918001413345337,3.872068166732788,-0.04593324661254883,0.000871980213560164
L0.H0,37,Answer with a Chinese Hanzi. English: 'Tea' / Chinese: ',0.002197265625,0.015625,False,1,5.7224531173706055,5.716357231140137,-0.00609588623046875,0.00042799999937415123
L0.H0,38,Answer with a Chinese Hanzi. English: 'Country' / Chinese: ',0.00927734375,0.0703125,False,1,5.097841262817383,5.0253095626831055,-0.07253170013427734,0.0011023650877177715
L0.H0,39,Answer with a Chinese Hanzi. English: 'Love' / Chinese: ',0.0123291015625,0.09375,False,1,5.281099319458008,5.214071273803711,-0.06702804565429688,0.0015609503025189042
L0.H0,40,Answer with a Chinese Hanzi. English: 'Life' / Chinese: ',0.018310546875,0.1484375,False,1,5.238519668579102,5.134644508361816,-0.10387516021728516,0.0021390931215137243
L0.H0,41,Answer with a Chinese Hanzi. English: 'Black' / Chinese: ',0.01220703125,0.078125,False,1,5.2985029220581055,5.211063385009766,-0.08743953704833984,0.0012712664902210236
L0.H0,42,Answer with a Chinese Hanzi. English: 'King' / Chinese: ',-0.00018310546875,-0.015625,False,1,5.549735069274902,5.541733741760254,-0.008001327514648438,0.0005630749510601163
