head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,The 1st Amendment protects freedom of,0.00732421875,0.046875,False,1,1.3784791231155396,1.3498483896255493,-0.028630733489990234,0.0006410274654626846
L0.H0,1,The 2nd Amendment protects the right to bear,0.0029296875,0.015625,False,1,0.43266403675079346,0.41617220640182495,-0.016491830348968506,0.0006935142446309328
L0.H0,2,The 13th Amendment abolished,0.00341796875,0.046875,False,1,0.788386881351471,0.7672873735427856,-0.021099507808685303,0.000531716039404273
L0.H0,3,The 15th Amendment protects the right to,0.0009765625,0.0,False,1,2.575169086456299,2.5788989067077637,0.0037298202514648438,0.0005174634279683232
L0.H0,4,The 6th Amendment guarantees a speedy,-0.144775390625,-0.34375,False,1,1.3222651481628418,1.4531584978103638,0.13089334964752197,0.049891211092472076
L0.H0,5,The 26th Amendment lowered the voting,0.00146484375,0.03125,False,1,0.2752211093902588,0.2641560137271881,-0.011065095663070679,0.0005370108992792666
L0.H0,6,The 8th Amendment prohibits cruel and unusual,0.00390625,0.09375,False,1,0.6490283012390137,0.6385497450828552,-0.010478556156158447,0.00021550808742176741
L0.H0,7,The 10th Amendment reserves powers to the,0.00634765625,0.03125,False,1,2.5203661918640137,2.49580717086792,-0.02455902099609375,0.0006813039071857929
L0.H0,8,The 14th Amendment's clause regarding due,-0.00048828125,-0.125,False,1,0.0730660930275917,0.07726841419935226,0.004202321171760559,0.00026916549541056156
L0.H0,9,The 3rd Amendment prohibits the quartering of,0.0087890625,0.03125,False,1,2.2846760749816895,2.2487714290618896,-0.035904645919799805,0.0011091982014477253
L0.H0,10,The 24th Amendment prohibited poll,-0.017578125,-0.015625,False,1,0.9927761554718018,1.0163495540618896,0.02357339859008789,0.0018263441743329167
L0.H0,11,The 5th Amendment's clause regarding private,-0.0068359375,-0.03125,False,1,1.884568691253662,1.921625018119812,0.0370563268661499,0.005718792788684368
L0.H0,12,The 14th Amendment guarantees equal,-0.00830078125,-0.015625,False,1,1.1906383037567139,1.2188410758972168,0.02820277214050293,0.0009201839566230774
