head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,What is the capital of Sudan? Answer:,0.00732421875,0.0390625,False,1,2.9811432361602783,2.9271929264068604,-0.05395030975341797,0.0014217880088835955
L0.H0,1,What is the capital of Zimbabwe? Answer:,-0.000244140625,0.0078125,False,1,3.7935118675231934,3.781442165374756,-0.0120697021484375,0.0011752070859074593
L0.H0,2,What is the capital of South Africa? Answer:,0.002685546875,0.046875,False,1,2.7662651538848877,2.7221758365631104,-0.044089317321777344,0.0013315635733306408
L0.H0,3,What is the capital of Uganda? Answer:,-0.006591796875,-0.03125,False,1,4.547748565673828,4.549290657043457,0.0015420913696289062,0.001562677905894816
L0.H0,4,What is the capital of Senegal? Answer:,-0.0048828125,-0.015625,False,1,2.9316840171813965,2.939084529876709,0.0074005126953125,0.0014820466749370098
L0.H0,5,What is the capital of Tanzania? Answer:,-0.0029296875,-0.015625,False,1,2.0048956871032715,2.0156614780426025,0.010765790939331055,0.0005073216743767262
L0.H0,6,What is the capital of Zambia? Answer:,0.007568359375,0.0546875,False,1,3.3324787616729736,3.2582898139953613,-0.0741889476776123,0.001998867141082883
L0.H0,7,What is the capital of Tunisia? Answer:,0.006591796875,0.0234375,False,1,4.17183780670166,4.126885890960693,-0.0449519157409668,0.001773713855072856
L0.H0,8,What is the capital of Ghana? Answer:,0.025390625,0.1328125,False,1,2.5180203914642334,2.3553667068481445,-0.16265368461608887,0.0031185345724225044
L0.H0,9,What is the capital of Algeria? Answer:,0.0166015625,0.0859375,False,1,3.1813113689422607,3.071735382080078,-0.10957598686218262,0.0027391240000724792
L0.H0,10,What is the capital of Nigeria? Answer:,-0.021728515625,-0.1015625,False,1,3.9424679279327393,4.023342609405518,0.08087468147277832,0.0018508281791582704
L0.H0,11,What is the capital of Ethiopia? Answer:,-0.013671875,-0.046875,False,1,2.974968910217285,3.0249834060668945,0.050014495849609375,0.0011613608803600073
L0.H0,12,What is the capital of Egypt? Answer:,0.001953125,0.0234375,False,1,3.6900362968444824,3.643139362335205,-0.046896934509277344,0.0014792464207857847
L0.H0,13,What is the capital of Angola? Answer:,-0.017578125,-0.0703125,False,1,3.976395845413208,4.000787258148193,0.02439141273498535,0.003476434387266636
L0.H0,14,What is the capital of Kenya? Answer:,-0.00390625,0.0078125,False,1,3.1070451736450195,3.1086883544921875,0.0016431808471679688,0.001122846850194037
L0.H0,15,What is the capital of Morocco? Answer:,0.002197265625,0.03125,False,1,3.792741537094116,3.760287046432495,-0.032454490661621094,0.0018759880913421512
L0.H1,0,What is the capital of Sudan? Answer:,0.0,-0.015625,False,1,2.9811432361602783,2.9860525131225586,0.0049092769622802734,-0.0001201613195007667
L0.H1,1,What is the capital of Zimbabwe? Answer:,0.015380859375,0.0546875,False,1,3.7935118675231934,3.721689462661743,-0.0718224048614502,0.001032707979902625
L0.H1,2,What is the capital of South Africa? Answer:,-0.009521484375,-0.0625,False,1,2.7662651538848877,2.8023059368133545,0.0360407829284668,0.0005222607869654894
L0.H1,3,What is the capital of Uganda? Answer:,-0.0003662109375,-0.0078125,False,1,4.547748565673828,4.553814888000488,0.006066322326660156,0.0003613969311118126
L0.H1,4,What is the capital of Senegal? Answer:,0.005859375,0.0234375,False,1,2.9316840171813965,2.903515100479126,-0.028168916702270508,0.0002640647580847144
L0.H1,5,What is the capital of Tanzania? Answer:,0.0029296875,0.0078125,False,1,2.0048956871032715,1.9865069389343262,-0.018388748168945312,0.0005542447324842215
L0.H1,6,What is the capital of Zambia? Answer:,0.007080078125,0.0234375,False,1,3.3324787616729736,3.3098349571228027,-0.0226438045501709,0.0006626046961173415
L0.H1,7,What is the capital of Tunisia? Answer:,-0.000244140625,-0.0078125,False,1,4.17183780670166,4.187227249145508,0.015389442443847656,0.0004033423028886318
L0.H1,8,What is the capital of Ghana? Answer:,0.001953125,0.0,False,1,2.5180203914642334,2.507134199142456,-0.010886192321777344,0.0004006720264442265
L0.H1,9,What is the capital of Algeria? Answer:,-0.00927734375,-0.0390625,False,1,3.1813113689422607,3.232147216796875,0.05083584785461426,0.000492727616801858
L0.H1,10,What is the capital of Nigeria? Answer:,0.00537109375,0.0078125,False,1,3.9424679279327393,3.9347047805786133,-0.0077631473541259766,0.00014016844215802848
L0.H1,11,What is the capital of Ethiopia? Answer:,0.0009765625,0.0,False,1,2.974968910217285,2.970928430557251,-0.00404047966003418,0.00012820871779695153
L0.H1,12,What is the capital of Egypt? Answer:,-0.003173828125,-0.0234375,False,1,3.6900362968444824,3.7044036388397217,0.014367341995239258,0.0002040357794612646
L0.H1,13,What is the capital of Angola? Answer:,0.01513671875,0.0703125,False,1,3.976395845413208,3.9138052463531494,-0.0625905990600586,0.0009992774575948715
L0.H1,14,What is the capital of Kenya? Answer:,0.00048828125,-0.0078125,False,1,3.1070451736450195,3.101699113845825,-0.005346059799194336,0.0001745854679029435
L0.H1,15,What is the capital of Morocco? Answer:,-0.001953125,-0.0234375,False,1,3.792741537094116,3.8096165657043457,0.016875028610229492,0.00019894569413736463
L0.H2,0,What is the capital of Sudan? Answer:,-0.02978515625,-0.078125,False,1,2.9811432361602783,3.1453418731689453,0.164198637008667,0.005081215873360634
L0.H2,1,What is the capital of Zimbabwe? Answer:,-0.045654296875,-0.171875,False,1,3.7935118675231934,4.0424699783325195,0.24895811080932617,0.009744510985910892
L0.H2,2,What is the capital of South Africa? Answer:,-0.013427734375,-0.09375,False,1,2.7662651538848877,2.880152940750122,0.11388778686523438,0.0038211471401154995
L0.H2,3,What is the capital of Uganda? Answer:,-0.0003662109375,0.0234375,False,1,4.547748565673828,4.538264274597168,-0.009484291076660156,0.0066065373830497265
L0.H2,4,What is the capital of Senegal? Answer:,-0.033203125,-0.1171875,False,1,2.9316840171813965,3.1108627319335938,0.17917871475219727,0.00678376154974103
L0.H2,5,What is the capital of Tanzania? Answer:,-0.076171875,-0.3671875,False,1,2.0048956871032715,2.4340872764587402,0.42919158935546875,0.01664533093571663
L0.H2,6,What is the capital of Zambia? Answer:,-0.025390625,-0.0859375,False,1,3.3324787616729736,3.430309772491455,0.09783101081848145,0.00446510361507535
L0.H2,7,What is the capital of Tunisia? Answer:,0.0,-0.0078125,False,1,4.17183780670166,4.196475982666016,0.02463817596435547,0.004972357302904129
L0.H2,8,What is the capital of Ghana? Answer:,-0.015625,-0.0703125,False,1,2.5180203914642334,2.6159310340881348,0.09791064262390137,0.002693507354706526
L0.H2,9,What is the capital of Algeria? Answer:,-0.008544921875,-0.0078125,False,1,3.1813113689422607,3.221740245819092,0.040428876876831055,0.003845169674605131
L0.H2,10,What is the capital of Nigeria? Answer:,-0.052978515625,-0.2734375,False,1,3.9424679279327393,4.172654628753662,0.23018670082092285,0.0119724590331316
L0.H2,11,What is the capital of Ethiopia? Answer:,-0.03955078125,-0.125,False,1,2.974968910217285,3.194674491882324,0.21970558166503906,0.0084624532610178
L0.H2,12,What is the capital of Egypt? Answer:,-0.020263671875,-0.0546875,False,1,3.6900362968444824,3.7933270931243896,0.10329079627990723,0.005030084401369095
L0.H2,13,What is the capital of Angola? Answer:,-0.068603515625,-0.3359375,False,1,3.976395845413208,4.194474697113037,0.2180788516998291,0.02589762955904007
L0.H2,14,What is the capital of Kenya? Answer:,-0.03271484375,-0.0859375,False,1,3.1070451736450195,3.273824691772461,0.1667795181274414,0.006956953555345535
L0.H2,15,What is the capital of Morocco? Answer:,-0.00244140625,-0.0625,False,1,3.792741537094116,3.934429168701172,0.14168763160705566,0.007432576268911362
L0.H3,0,What is the capital of Sudan? Answer:,0.00146484375,0.0078125,False,1,2.9811432361602783,2.968111991882324,-0.013031244277954102,0.0006332711782306433
L0.H3,1,What is the capital of Zimbabwe? Answer:,0.019775390625,0.09375,False,1,3.7935118675231934,3.6790647506713867,-0.11444711685180664,0.0015465053729712963
L0.H3,2,What is the capital of South Africa? Answer:,-0.0009765625,0.0,False,1,2.7662651538848877,2.766874074935913,0.0006089210510253906,0.00024167633091565222
L0.H3,3,What is the capital of Uganda? Answer:,0.0040283203125,0.0390625,False,1,4.547748565673828,4.515091896057129,-0.03265666961669922,0.000509353936649859
L0.H3,4,What is the capital of Senegal? Answer:,0.005859375,0.0234375,False,1,2.9316840171813965,2.893461227416992,-0.0382227897644043,0.0003941279137507081
L0.H3,5,What is the capital of Tanzania? Answer:,0.01025390625,0.078125,False,1,2.0048956871032715,1.9344463348388672,-0.0704493522644043,0.0012226960388943553
L0.H3,6,What is the capital of Zambia? Answer:,0.00537109375,0.0390625,False,1,3.3324787616729736,3.2762038707733154,-0.0562748908996582,0.0007587600266560912
L0.H3,7,What is the capital of Tunisia? Answer:,0.0107421875,0.0625,False,1,4.17183780670166,4.103951454162598,-0.0678863525390625,0.000895267934538424
L0.H3,8,What is the capital of Ghana? Answer:,0.02197265625,0.109375,False,1,2.5180203914642334,2.3806490898132324,-0.13737130165100098,0.0019467701204121113
L0.H3,9,What is the capital of Algeria? Answer:,0.0146484375,0.0703125,False,1,3.1813113689422607,3.094958543777466,-0.08635282516479492,0.0010815311688929796
L0.H3,10,What is the capital of Nigeria? Answer:,-0.003173828125,0.015625,False,1,3.9424679279327393,3.9165806770324707,-0.025887250900268555,0.0007014207658357918
L0.H3,11,What is the capital of Ethiopia? Answer:,0.0048828125,0.03125,False,1,2.974968910217285,2.9364001750946045,-0.038568735122680664,0.0002290208067279309
L0.H3,12,What is the capital of Egypt? Answer:,0.00390625,0.0234375,False,1,3.6900362968444824,3.662015438079834,-0.028020858764648438,0.0006874487735331059
L0.H3,13,What is the capital of Angola? Answer:,-0.006591796875,-0.015625,False,1,3.976395845413208,3.971806526184082,-0.0045893192291259766,0.0008001825772225857
L0.H3,14,What is the capital of Kenya? Answer:,0.005859375,0.0390625,False,1,3.1070451736450195,3.059788942337036,-0.0472562313079834,0.000736802292522043
L0.H3,15,What is the capital of Morocco? Answer:,0.0,0.03125,False,1,3.792741537094116,3.76434588432312,-0.028395652770996094,0.0005976615939289331
L0.H4,0,What is the capital of Sudan? Answer:,-0.00830078125,-0.0625,False,1,2.9811432361602783,3.0250775814056396,0.04393434524536133,0.0016440575709566474
L0.H4,1,What is the capital of Zimbabwe? Answer:,0.017333984375,0.0546875,False,1,3.7935118675231934,3.7146894931793213,-0.07882237434387207,0.0021304080728441477
L0.H4,2,What is the capital of South Africa? Answer:,-0.013427734375,-0.1328125,True,2,2.7662651538848877,2.8559298515319824,0.08966469764709473,0.0017631675582379103
L0.H4,3,What is the capital of Uganda? Answer:,0.0013427734375,0.0078125,False,1,4.547748565673828,4.54069709777832,-0.0070514678955078125,0.002205821219831705
L0.H4,4,What is the capital of Senegal? Answer:,-0.00439453125,-0.046875,False,1,2.9316840171813965,2.9712090492248535,0.03952503204345703,0.0011631581000983715
L0.H4,5,What is the capital of Tanzania? Answer:,0.01318359375,0.0703125,False,1,2.0048956871032715,1.9219251871109009,-0.0829704999923706,0.00199768110178411
L0.H4,6,What is the capital of Zambia? Answer:,0.028076171875,0.109375,False,1,3.3324787616729736,3.2014873027801514,-0.13099145889282227,0.004195143934339285
