head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,What is the capital of the United States? Answer:,0.00927734375,0.0703125,False,1,5.226317405700684,5.187519073486328,-0.03879833221435547,0.0014575622044503689
L0.H0,1,What is the capital of Canada? Answer:,0.0013427734375,0.0078125,False,1,4.360671043395996,4.345765113830566,-0.014905929565429688,0.001328113372437656
L0.H0,2,What is the capital of Mexico? Answer:,0.006103515625,0.0390625,False,1,4.692483425140381,4.6651082038879395,-0.027375221252441406,0.001987114315852523
L0.H0,3,What is the capital of Cuba? Answer:,-0.009033203125,-0.03125,False,1,3.540142297744751,3.568535804748535,0.02839350700378418,0.0023396851029247046
L0.H0,4,What is the capital of Guatemala? Answer:,0.0076904296875,0.0390625,False,1,4.54641580581665,4.494426250457764,-0.05198955535888672,0.00325417029671371
L0.H0,5,What is the capital of Panama? Answer:,0.00244140625,0.0234375,False,1,2.978548765182495,2.939394474029541,-0.0391542911529541,0.002087004017084837
L0.H0,6,What is the capital of Jamaica? Answer:,-0.0084228515625,-0.046875,False,1,5.01780366897583,5.003779411315918,-0.01402425765991211,0.003138425759971142
L0.H0,7,What is the capital of Costa Rica? Answer:,-0.0146484375,-0.0546875,False,1,2.3897781372070312,2.4590845108032227,0.0693063735961914,0.0012159297475591302
L0.H0,8,What is the capital of Haiti? Answer:,0.015380859375,0.0703125,False,1,4.2439703941345215,4.140695095062256,-0.10327529907226562,0.0022597808856517076
L0.H0,9,What is the capital of Dominican Republic? Answer:,0.012451171875,0.0546875,False,1,3.8996691703796387,3.852926254272461,-0.046742916107177734,0.0016153246397152543
L0.H0,10,What is the capital of Honduras? Answer:,-0.0029296875,-0.015625,False,1,3.598097085952759,3.6121816635131836,0.014084577560424805,0.0021365166176110506
L0.H0,11,What is the capital of El Salvador? Answer:,-0.013671875,-0.0234375,False,1,3.2070064544677734,3.2503414154052734,0.0433349609375,0.0020048008300364017
L0.H0,12,What is the capital of Nicaragua? Answer:,0.00537109375,0.0234375,False,1,2.970503807067871,2.9413015842437744,-0.02920222282409668,0.0015335248317569494
L0.H0,13,What is the capital of Belize? Answer:,0.0,0.0234375,False,1,1.9660775661468506,1.9427645206451416,-0.023313045501708984,0.0014907410368323326
L0.H0,14,What is the capital of Barbados? Answer:,0.00537109375,0.0625,False,1,4.974063396453857,4.898248672485352,-0.07581472396850586,0.002767744241282344
L0.H0,15,What is the capital of Trinidad and Tobago? Answer:,0.014892578125,0.0703125,False,1,4.459336280822754,4.364723205566406,-0.09461307525634766,0.004010485485196114
L0.H1,0,What is the capital of the United States? Answer:,-0.00390625,-0.046875,False,1,5.226317405700684,5.254551887512207,0.028234481811523438,0.00035678112180903554
L0.H1,1,What is the capital of Canada? Answer:,-0.0003662109375,-0.0078125,False,1,4.360671043395996,4.359094619750977,-0.0015764236450195312,0.00023132708156481385
L0.H1,2,What is the capital of Mexico? Answer:,-0.000244140625,-0.0078125,False,1,4.692483425140381,4.6966400146484375,0.004156589508056641,0.00017437490168958902
L0.H1,3,What is the capital of Cuba? Answer:,-0.004638671875,-0.0234375,False,1,3.540142297744751,3.555952548980713,0.015810251235961914,0.00016223479178734124
L0.H1,4,What is the capital of Guatemala? Answer:,-0.0074462890625,-0.046875,False,1,4.54641580581665,4.576338291168213,0.0299224853515625,0.0005615591071546078
L0.H1,5,What is the capital of Panama? Answer:,-0.005859375,-0.03125,False,1,2.978548765182495,3.0103917121887207,0.031842947006225586,0.0006130547262728214
L0.H1,6,What is the capital of Jamaica? Answer:,-0.001220703125,-0.015625,False,1,5.01780366897583,5.0197038650512695,0.0019001960754394531,0.0004499385831877589
L0.H1,7,What is the capital of Costa Rica? Answer:,0.01416015625,0.0703125,False,1,2.3897781372070312,2.3128983974456787,-0.07687973976135254,0.0009925998747348785
L0.H1,8,What is the capital of Haiti? Answer:,0.005615234375,0.0078125,False,1,4.2439703941345215,4.223318099975586,-0.020652294158935547,0.000346362532582134
L0.H1,9,What is the capital of Dominican Republic? Answer:,-0.005126953125,-0.0234375,False,1,3.8996691703796387,3.91018009185791,0.010510921478271484,0.00029014729079790413
L0.H1,10,What is the capital of Honduras? Answer:,-0.001953125,0.0078125,False,1,3.598097085952759,3.571399211883545,-0.026697874069213867,0.0005322839133441448
L0.H1,11,What is the capital of El Salvador? Answer:,0.0048828125,0.0,False,1,3.2070064544677734,3.1966359615325928,-0.010370492935180664,0.0002642751205712557
L0.H1,12,What is the capital of Nicaragua? Answer:,-0.009765625,-0.0390625,False,1,2.970503807067871,3.0144546031951904,0.043950796127319336,0.00015604670625180006
L0.H1,13,What is the capital of Belize? Answer:,-0.0078125,-0.03125,False,1,1.9660775661468506,2.008810520172119,0.042732954025268555,0.00020328903337940574
L0.H1,14,What is the capital of Barbados? Answer:,0.002197265625,0.0,False,1,4.974063396453857,4.987377643585205,0.013314247131347656,0.00040592890582047403
L0.H1,15,What is the capital of Trinidad and Tobago? Answer:,0.000732421875,0.0078125,False,1,4.459336280822754,4.458282470703125,-0.0010538101196289062,0.00034738279646262527
L0.H2,0,What is the capital of the United States? Answer:,-0.002685546875,0.03125,False,1,5.226317405700684,5.231194496154785,0.0048770904541015625,0.004102413076907396
L0.H2,1,What is the capital of Canada? Answer:,-0.0128173828125,-0.078125,False,1,4.360671043395996,4.458102226257324,0.09743118286132812,0.004136813338845968
L0.H2,2,What is the capital of Mexico? Answer:,-0.0013427734375,0.0390625,False,1,4.692483425140381,4.698925018310547,0.006441593170166016,0.00578664056956768
L0.H2,3,What is the capital of Cuba? Answer:,-0.037109375,-0.109375,False,1,3.540142297744751,3.733567953109741,0.19342565536499023,0.008151359856128693
L0.H2,4,What is the capital of Guatemala? Answer:,-0.0133056640625,-0.03125,False,1,4.54641580581665,4.579644203186035,0.033228397369384766,0.009165385738015175
L0.H2,5,What is the capital of Panama? Answer:,-0.0029296875,0.03125,False,1,2.978548765182495,2.9821183681488037,0.0035696029663085938,0.0035511015448719263
L0.H2,6,What is the capital of Jamaica? Answer:,-0.010986328125,-0.0234375,False,1,5.01780366897583,5.0396857261657715,0.021882057189941406,0.006520483642816544
L0.H2,7,What is the capital of Costa Rica? Answer:,-0.05126953125,-0.1875,False,1,2.3897781372070312,2.6332268714904785,0.24344873428344727,0.008541365154087543
L0.H2,8,What is the capital of Haiti? Answer:,-0.033203125,-0.0859375,False,1,4.2439703941345215,4.388309478759766,0.14433908462524414,0.00683635612949729
L0.H2,9,What is the capital of Dominican Republic? Answer:,-0.034423828125,-0.1875,False,1,3.8996691703796387,4.10077428817749,0.20110511779785156,0.010544338263571262
L0.H2,10,What is the capital of Honduras? Answer:,-0.0419921875,-0.21875,False,1,3.598097085952759,3.8610336780548096,0.2629365921020508,0.012581725604832172
L0.H2,11,What is the capital of El Salvador? Answer:,-0.0751953125,-0.2578125,False,1,3.2070064544677734,3.57116436958313,0.36415791511535645,0.01618480309844017
L0.H2,12,What is the capital of Nicaragua? Answer:,-0.04248046875,-0.1640625,False,1,2.970503807067871,3.2057347297668457,0.2352309226989746,0.008944522589445114
L0.H2,13,What is the capital of Belize? Answer:,-0.001953125,0.046875,False,1,1.9660775661468506,1.9582438468933105,-0.007833719253540039,0.0019353112438693643
L0.H2,14,What is the capital of Barbados? Answer:,-0.0087890625,-0.046875,False,1,4.974063396453857,4.957664489746094,-0.016398906707763672,0.006621377542614937
L0.H2,15,What is the capital of Trinidad and Tobago? Answer:,-0.04248046875,-0.25,False,1,4.459336280822754,4.67454719543457,0.2152109146118164,0.01587483286857605
L0.H3,0,What is the capital of the United States? Answer:,0.001708984375,0.0078125,False,1,5.226317405700684,5.216180801391602,-0.010136604309082031,0.0005092777428217232
L0.H3,1,What is the capital of Canada? Answer:,-0.003173828125,-0.015625,False,1,4.360671043395996,4.351016998291016,-0.009654045104980469,0.00048640300519764423
L0.H3,2,What is the capital of Mexico? Answer:,0.0064697265625,0.0546875,False,1,4.692483425140381,4.647224426269531,-0.04525899887084961,0.0007360066520050168
L0.H3,3,What is the capital of Cuba? Answer:,-0.003173828125,-0.0078125,False,1,3.540142297744751,3.5461535453796387,0.006011247634887695,0.0005276193842291832
L0.H3,4,What is the capital of Guatemala? Answer:,0.0120849609375,0.0859375,False,1,4.54641580581665,4.456116676330566,-0.09029912948608398,0.0014968026662245393
L0.H3,5,What is the capital of Panama? Answer:,0.00537109375,0.03125,False,1,2.978548765182495,2.9306700229644775,-0.04787874221801758,0.0007267012260854244
L0.H3,6,What is the capital of Jamaica? Answer:,0.004150390625,0.046875,False,1,5.01780366897583,4.960082054138184,-0.057721614837646484,0.0010184634011238813
L0.H3,7,What is the capital of Costa Rica? Answer:,0.009765625,0.078125,False,1,2.3897781372070312,2.307992458343506,-0.08178567886352539,0.0010216826340183616
L0.H3,8,What is the capital of Haiti? Answer:,0.014404296875,0.0625,False,1,4.2439703941345215,4.152153968811035,-0.09181642532348633,0.0010147540597245097
L0.H3,9,What is the capital of Dominican Republic? Answer:,0.01123046875,0.0625,False,1,3.8996691703796387,3.834350347518921,-0.06531882286071777,0.0012324623530730605
L0.H3,10,What is the capital of Honduras? Answer:,0.017578125,0.0859375,False,1,3.598097085952759,3.502695322036743,-0.09540176391601562,0.0014701641630381346
L0.H3,11,What is the capital of El Salvador? Answer:,0.00439453125,0.0390625,False,1,3.2070064544677734,3.1587107181549072,-0.04829573631286621,0.00058413902297616
L0.H3,12,What is the capital of Nicaragua? Answer:,0.0029296875,0.015625,False,1,2.970503807067871,2.947812080383301,-0.022691726684570312,7.30843166820705e-05
L0.H3,13,What is the capital of Belize? Answer:,-0.00537109375,0.0,False,1,1.9660775661468506,1.9776850938796997,0.011607527732849121,0.00047517172060906887
L0.H3,14,What is the capital of Barbados? Answer:,0.0050048828125,0.0390625,False,1,4.974063396453857,4.927563667297363,-0.04649972915649414,0.0008184841135516763
L0.H3,15,What is the capital of Trinidad and Tobago? Answer:,0.01708984375,0.0859375,False,1,4.459336280822754,4.357788562774658,-0.1015477180480957,0.0016693200450390577
L0.H4,0,What is the capital of the United States? Answer:,-0.010498046875,-0.1328125,False,1,5.226317405700684,5.3167643547058105,0.09044694900512695,0.0027786772698163986
L0.H4,1,What is the capital of Canada? Answer:,-0.001953125,-0.0703125,False,1,4.360671043395996,4.4094557762146,0.048784732818603516,0.0014469185844063759
L0.H4,2,What is the capital of Mexico? Answer:,0.0035400390625,-0.0078125,False,1,4.692483425140381,4.68882417678833,-0.0036592483520507812,0.0020378832705318928
L0.H4,3,What is the capital of Cuba? Answer:,-0.01611328125,-0.1015625,False,1,3.540142297744751,3.6428589820861816,0.10271668434143066,0.001969720935449004
L0.H4,4,What is the capital of Guatemala? Answer:,-0.0069580078125,-0.0546875,False,1,4.54641580581665,4.564792633056641,0.018376827239990234,0.002757670823484659
L0.H4,5,What is the capital of Panama? Answer:,-0.00830078125,-0.0703125,False,1,2.978548765182495,3.0360729694366455,0.05752420425415039,0.0018536755815148354
L0.H4,6,What is the capital of Jamaica? Answer:,-0.0079345703125,-0.1015625,False,1,5.01780366897583,5.072639465332031,0.05483579635620117,0.003734363242983818
L0.H4,7,What is the capital of Costa Rica? Answer:,0.013671875,0.03125,False,1,2.3897781372070312,2.308612823486328,-0.08116531372070312,0.0015188006218522787
L0.H4,8,What is the capital of Haiti? Answer:,0.025146484375,0.0703125,False,1,4.2439703941345215,4.117332935333252,-0.12663745880126953,0.0036314749158918858
L0.H4,9,What is the capital of Dominican Republic? Answer:,-0.003662109375,-0.0625,False,1,3.8996691703796387,3.920135736465454,0.02046656608581543,0.0021804606076329947
L0.H4,10,What is the capital of Honduras? Answer:,0.0126953125,0.0546875,False,1,3.598097085952759,3.5021514892578125,-0.09594559669494629,0.0028328211046755314
L0.H4,11,What is the capital of El Salvador? Answer:,0.01123046875,0.0,False,1,3.2070064544677734,3.1664633750915527,-0.0405430793762207,0.0025186529383063316
L0.H4,12,What is the capital of Nicaragua? Answer:,0.00390625,0.0,False,1,2.970503807067871,2.9388022422790527,-0.03170156478881836,0.0015766811557114124
L0.H4,13,What is the capital of Belize? Answer:,-0.02490234375,-0.1328125,False,1,1.9660775661468506,2.1046338081359863,0.13855624198913574,0.0023049411829560995
L0.H4,14,What is the capital of Barbados? Answer:,0.010986328125,0.03125,False,1,4.974063396453857,5.013716697692871,0.03965330123901367,0.005744182970374823
L0.H4,15,What is the capital of Trinidad and Tobago? Answer:,0.023681640625,0.09375,False,1,4.459336280822754,4.361374378204346,-0.0979619026184082,0.0047059012576937675
L0.H5,0,What is the capital of the United States? Answer:,-0.00244140625,-0.0078125,False,1,5.226317405700684,5.24700403213501,0.020686626434326172,0.0007109430734999478
L0.H5,1,What is the capital of Canada? Answer:,-0.0048828125,-0.0234375,False,1,4.360671043395996,4.3957366943359375,0.035065650939941406,0.0007720175781287253
L0.H5,2,What is the capital of Mexico? Answer:,-0.00537109375,-0.0234375,False,1,4.692483425140381,4.723726749420166,0.031243324279785156,0.0009030671208165586
L0.H5,3,What is the capital of Cuba? Answer:,-0.00341796875,0.0078125,False,1,3.540142297744751,3.5569567680358887,0.016814470291137695,0.0007554293260909617
L0.H5,4,What is the capital of Guatemala? Answer:,-0.009765625,-0.046875,False,1,4.54641580581665,4.603411674499512,0.05699586868286133,0.0013065979583188891
L0.H5,5,What is the capital of Panama? Answer:,-0.00439453125,0.0,False,1,2.978548765182495,3.00004506111145,0.021496295928955078,0.0009604147635400295
L0.H5,6,What is the capital of Jamaica? Answer:,-0.0057373046875,-0.0234375,False,1,5.01780366897583,5.0432844161987305,0.02548074722290039,0.0011700093746185303
L0.H5,7,What is the capital of Costa Rica? Answer:,-0.015625,-0.046875,False,1,2.3897781372070312,2.4608545303344727,0.0710763931274414,0.0007759062573313713
