head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,Answer with a Spanish word. English: 'King' / Spanish: ',0.01513671875,0.0625,False,1,2.338013172149658,2.2724931240081787,-0.06552004814147949,0.0013069272972643375
L0.H0,1,Answer with a Spanish word. English: 'Day' / Spanish: ',0.0107421875,0.0625,False,1,1.7851992845535278,1.721900463104248,-0.06329882144927979,0.0007802315521985292
L0.H0,2,Answer with a Spanish word. English: 'War' / Spanish: ',0.009765625,0.015625,False,1,1.7432955503463745,1.7322123050689697,-0.011083245277404785,0.0004347124486230314
L0.H0,3,Answer with a Spanish word. English: 'Year' / Spanish: ',0.01123046875,0.15625,False,1,0.8630104064941406,0.7918124794960022,-0.07119792699813843,0.0012657004408538342
L0.H0,4,Answer with a Spanish word. English: 'Road' / Spanish: ',0.001953125,0.0078125,False,1,3.1905508041381836,3.1669490337371826,-0.023601770401000977,0.0007702297298237681
L0.H0,5,Answer with a Spanish word. English: 'Today' / Spanish: ',-0.000244140625,0.09375,False,1,1.5373988151550293,1.4715553522109985,-0.06584346294403076,0.001146953902207315
L0.H0,6,Answer with a Spanish word. English: 'Bread' / Spanish: ',0.00830078125,0.015625,False,1,2.8726119995117188,2.833780288696289,-0.03883171081542969,0.00046923052286729217
L0.H0,7,Answer with a Spanish word. English: 'Dog' / Spanish: ',0.010986328125,0.078125,False,1,2.728630304336548,2.6250505447387695,-0.10357975959777832,0.002135528950020671
L0.H0,8,Answer with a Spanish word. English: 'Green' / Spanish: ',0.01025390625,0.046875,False,1,1.84401535987854,1.7942917346954346,-0.04972362518310547,0.0007392264669761062
L0.H0,9,Answer with a Spanish word. English: 'Love' / Spanish: ',-0.008544921875,-0.015625,False,1,3.011336088180542,2.961266279220581,-0.05006980895996094,0.0016743408050388098
L0.H0,10,Answer with a Spanish word. English: 'Big' / Spanish: ',-0.0006103515625,-0.015625,False,1,4.406447410583496,4.3991851806640625,-0.007262229919433594,0.0009643104858696461
L0.H0,11,Answer with a Spanish word. English: 'Mother' / Spanish: ',0.01171875,0.046875,False,1,2.556183099746704,2.506401300430298,-0.04978179931640625,0.0008662983309477568
L0.H0,12,Answer with a Spanish word. English: 'Sky' / Spanish: ',-0.0086669921875,-0.03125,True,2,3.42799711227417,3.4039061069488525,-0.024091005325317383,0.0008277788292616606
L0.H0,13,Answer with a Spanish word. English: 'Rice' / Spanish: ',0.007080078125,0.0390625,False,1,3.9462389945983887,3.8827013969421387,-0.06353759765625,0.0011853878386318684
L0.H0,14,Answer with a Spanish word. English: 'Red' / Spanish: ',0.030029296875,0.15625,False,1,3.1858439445495605,3.039731025695801,-0.14611291885375977,0.002913546981289983
L0.H0,15,Answer with a Spanish word. English: 'One' / Spanish: ',0.01513671875,0.078125,False,1,2.995490074157715,2.9602675437927246,-0.035222530364990234,0.0019321553409099579
L0.H0,16,Answer with a Spanish word. English: 'Woman' / Spanish: ',0.013671875,0.046875,False,1,3.1955504417419434,3.147583484649658,-0.047966957092285156,0.0009971153922379017
L0.H0,17,Answer with a Spanish word. English: 'Wine' / Spanish: ',0.0087890625,0.046875,False,1,1.1322593688964844,1.082797646522522,-0.0494617223739624,0.0009425864554941654
L0.H0,18,Answer with a Spanish word. English: 'Work' / Spanish: ',0.01611328125,0.171875,False,1,1.6330113410949707,1.540155291557312,-0.09285604953765869,0.0014542520511895418
L0.H0,19,Answer with a Spanish word. English: 'Wind' / Spanish: ',0.0146484375,0.078125,False,1,2.3986127376556396,2.3058717250823975,-0.09274101257324219,0.001263442449271679
L0.H0,20,Answer with a Spanish word. English: 'City' / Spanish: ',-0.009765625,0.015625,False,1,0.8285195231437683,0.84075927734375,0.01223975419998169,0.0004608785384334624
L0.H0,21,Answer with a Spanish word. English: 'Earth' / Spanish: ',0.0166015625,0.078125,False,1,2.009286642074585,1.9147100448608398,-0.09457659721374512,0.0010983326938003302
L0.H0,22,Answer with a Spanish word. English: 'World' / Spanish: ',0.01123046875,0.09375,False,1,1.6143779754638672,1.5430771112442017,-0.07130086421966553,0.0011304746149107814
L0.H0,23,Answer with a Spanish word. English: 'Bridge' / Spanish: ',0.00439453125,0.046875,False,1,1.5393882989883423,1.5080804824829102,-0.03130781650543213,0.00022176140919327736
L0.H0,24,Answer with a Spanish word. English: 'Moon' / Spanish: ',-0.000732421875,0.0078125,True,2,4.116482257843018,4.084697723388672,-0.0317845344543457,0.00074254150968045
L0.H0,25,Answer with a Spanish word. English: 'Black' / Spanish: ',0.005859375,0.0234375,False,1,3.39144229888916,3.3473477363586426,-0.04409456253051758,0.0011219559237360954
L0.H0,26,Answer with a Spanish word. English: 'Eye' / Spanish: ',0.013671875,0.0625,False,1,2.138676643371582,2.0617246627807617,-0.07695198059082031,0.0003121321788057685
L0.H0,27,Answer with a Spanish word. English: 'Fish' / Spanish: ',0.0137939453125,0.0390625,False,1,3.8365445137023926,3.783170223236084,-0.053374290466308594,0.0025595896877348423
L0.H0,28,Answer with a Spanish word. English: 'Light' / Spanish: ',0.019775390625,0.109375,False,1,3.638068675994873,3.5168747901916504,-0.12119388580322266,0.0017770568374544382
L0.H0,29,Answer with a Spanish word. English: 'Daughter' / Spanish: ',0.0185546875,0.09375,False,1,3.5327112674713135,3.446046829223633,-0.08666443824768066,0.0016911460552364588
L0.H0,30,Answer with a Spanish word. English: 'Heart' / Spanish: ',0.00927734375,0.015625,False,1,2.597163677215576,2.5395264625549316,-0.05763721466064453,0.0005379921058192849
L0.H0,31,Answer with a Spanish word. English: 'Man' / Spanish: ',0.013916015625,0.078125,False,1,2.621582508087158,2.540299892425537,-0.0812826156616211,0.0012161112390458584
L0.H0,32,Answer with a Spanish word. English: 'Door' / Spanish: ',-0.00390625,-0.03125,False,1,2.3437576293945312,2.351682662963867,0.007925033569335938,0.0009243960957974195
L0.H0,33,Answer with a Spanish word. English: 'Flower' / Spanish: ',0.00244140625,0.0,False,1,3.3004612922668457,3.3208611011505127,0.020399808883666992,0.0008480874821543694
L0.H0,34,Answer with a Spanish word. English: 'Meat' / Spanish: ',0.0010986328125,0.0078125,False,1,3.3127474784851074,3.270829677581787,-0.04191780090332031,0.0008751344284974039
L0.H0,35,Answer with a Spanish word. English: 'Small' / Spanish: ',0.01220703125,0.09375,False,1,3.096444606781006,3.0026018619537354,-0.09384274482727051,0.0015395422233268619
L0.H0,36,Answer with a Spanish word. English: 'House' / Spanish: ',0.00146484375,0.0,False,1,1.7174674272537231,1.705721378326416,-0.011746048927307129,0.00029810552950948477
L0.H0,37,Answer with a Spanish word. English: 'Life' / Spanish: ',0.01806640625,0.109375,False,1,2.560749053955078,2.4561588764190674,-0.10459017753601074,0.0013318713754415512
