head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,"In a medical context, the term for 'loss of smell' is '",-0.00634765625,-0.03125,False,1,2.845332622528076,2.8804404735565186,0.03510785102844238,0.00030737603083252907,1.0132789611816406e-06,0.0258751902587519,0.00390625,591,589,True
L0.H0,1,"In a medical context, the term for 'muscle pain' is '",0.0009765625,0.0078125,False,1,4.157482147216797,4.153172969818115,-0.004309177398681641,2.830880112014711e-05,-3.0517578125e-05,-0.0035026269702276708,0.0,16,16,False
L0.H0,2,"In a medical context, the term for 'shortness of breath' is '",0.00390625,0.015625,False,1,3.001142978668213,2.9793081283569336,-0.021834850311279297,0.0003148983232676983,0.000335693359375,0.007890961262553802,0.015625,2,2,False
L0.H0,3,"In a medical context, the term for 'ringing in the ears' is '",0.00048828125,0.0078125,False,1,4.703211307525635,4.69658088684082,-0.006630420684814453,2.7253292500972748e-05,-3.2186508178710938e-06,-0.022167487684729065,-0.015625,471,479,False
L0.H0,4,"In a medical context, the term for 'double vision' is '",-0.002197265625,0.0,False,1,5.004546165466309,5.020026206970215,0.01548004150390625,0.00014575565000995994,-9.5367431640625e-07,-0.001184834123222749,0.0078125,153,154,False
L0.H0,5,"In a medical context, the term for 'low blood sugar' is '",0.00341796875,0.0,False,1,0.985553503036499,0.9747399687767029,-0.010813534259796143,-0.00028256356017664075,-5.7220458984375e-06,-0.027257240204429302,-0.03125,44,44,False
L0.H0,6,"In a medical context, the term for 'difficulty swallowing' is '",-0.002685546875,-0.015625,False,1,3.8033342361450195,3.818634033203125,0.015299797058105469,0.00025554734747856855,-4.76837158203125e-07,-0.0024906600249066002,-0.01171875,279,284,False
L0.H0,7,"In a medical context, the term for 'difficulty sleeping' is '",0.002197265625,0.015625,False,1,2.703627109527588,2.6829886436462402,-0.020638465881347656,-1.0431802365928888e-05,0.0,0.0,-0.0390625,6691,6626,True
L0.H0,8,"In a medical context, the term for 'blood in urine' is '",0.00390625,0.0078125,False,1,3.167022705078125,3.1427063941955566,-0.02431631088256836,0.0001293439418077469,-2.9087066650390625e-05,-0.030745967741935484,-0.03125,71,71,False
L0.H0,9,"In a medical context, the term for 'swelling' is '",0.00439453125,0.03125,False,1,4.558200836181641,4.5388994216918945,-0.019301414489746094,0.00011563493171706796,2.288818359375e-05,0.004140786749482402,0.015625,31,31,False
