head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,I was furious about unfair treatment. The word for this feeling is ',-0.00360107421875,-0.1328125,False,1,5.372028827667236,5.391018867492676,0.018990039825439453,0.000600939616560936
L0.H0,1,I made a serious mistake that hurt someone. The word for this feeling is ',-0.002197265625,-0.125,False,1,4.871054172515869,4.907280921936035,0.036226749420166016,0.0007810562965460122
L0.H0,2,I remembered an embarrassing moment. The word for this feeling is ',-0.0022125244140625,-0.2109375,False,1,6.454776763916016,6.483826160430908,0.029049396514892578,0.0006870592478662729
L0.H0,3,I lost a competition I worked hard for. The word for this feeling is ',-0.000213623046875,-0.09375,False,1,6.145199298858643,6.177139759063721,0.031940460205078125,0.0005488824099302292
L0.H0,4,I waited for news that never arrived. The word for this feeling is ',-0.000823974609375,-0.1171875,False,1,5.720355033874512,5.71820068359375,-0.0021543502807617188,0.0006298394873738289
L0.H0,5,I felt bitter about the outcome. The word for this feeling is ',-0.0010986328125,-0.15625,True,2,5.936177730560303,5.961749076843262,0.025571346282958984,0.0005720745539292693
L0.H0,6,I felt intense stress before a deadline. The word for this feeling is ',-0.0010986328125,-0.0625,False,1,6.064335823059082,6.088704586029053,0.024368762969970703,0.0004206731100566685
L0.H0,7,I felt alone in a crowded room. The word for this feeling is ',-0.00830078125,-0.1796875,False,1,5.3675642013549805,5.417372703552246,0.049808502197265625,0.0010582944378256798
L0.H0,8,I felt ashamed of my behavior. The word for this feeling is ',-0.00250244140625,-0.0234375,False,1,5.230989933013916,5.254302978515625,0.023313045501708984,0.0014679072191938758
L0.H0,9,I was blamed for something I didn't do. The word for this feeling is ',-0.00732421875,-0.15625,False,1,5.267694473266602,5.304037570953369,0.03634309768676758,0.0008193817920982838
L0.H0,10,I was shocked by unexpected bad news. The word for this feeling is ',-0.00244140625,-0.1328125,False,1,4.885983943939209,4.912953853607178,0.02696990966796875,0.0005108489422127604
L0.H0,11,I felt overwhelmed by too many problems. The word for this feeling is ',-0.00732421875,-0.1484375,False,1,5.552928924560547,5.614506721496582,0.061577796936035156,0.0006306375726126134
L0.H0,12,I felt deeply disappointed. The word for this feeling is ',-0.0013427734375,-0.09375,False,1,5.861448764801025,5.8877105712890625,0.02626180648803711,0.0004297991981729865
L0.H0,13,I felt completely alone. The word for this feeling is ',-0.00323486328125,-0.125,False,1,5.802552223205566,5.8267598152160645,0.024207592010498047,0.0005449760938063264
L0.H0,14,I realized I had wasted a lot of time. The word for this feeling is ',-0.000335693359375,-0.046875,False,1,6.430815696716309,6.4432268142700195,0.012411117553710938,0.0004149915766902268
L0.H0,15,I felt humiliated in public. The word for this feeling is ',-0.010986328125,-0.1484375,False,1,4.704814910888672,4.785839080810547,0.081024169921875,0.0007692899089306593
L0.H0,16,I regretted a decision I made. The word for this feeling is ',-0.0028076171875,-0.15625,False,1,5.890195846557617,5.929046630859375,0.03885078430175781,0.0007011924171820283
L0.H0,17,I felt uneasy in a strange place. The word for this feeling is ',-0.000274658203125,-0.09375,False,1,6.185186386108398,6.204873085021973,0.01968669891357422,0.0005642961477860808
L0.H0,18,I envied someone else's success. The word for this feeling is ',-0.002288818359375,-0.140625,False,1,5.838981628417969,5.855467796325684,0.016486167907714844,0.0007205044385045767
L0.H0,19,I worried about the future. The word for this feeling is ',0.0003662109375,-0.078125,False,1,5.7689208984375,5.776175022125244,0.007254123687744141,0.00036146119236946106
L0.H0,20,I lost something very important to me. The word for this feeling is ',-0.001708984375,-0.1171875,False,1,5.937875747680664,5.9638800621032715,0.026004314422607422,0.0007493679295293987
L0.H0,21,I realized I misunderstood something important. The word for this feeling is ',-0.0008087158203125,-0.1171875,False,1,6.73479700088501,6.764863014221191,0.03006601333618164,0.0005910408217459917
L0.H0,22,I felt extremely tired of everything. The word for this feeling is ',-0.001495361328125,-0.125,True,2,6.162181854248047,6.185722351074219,0.023540496826171875,0.0004597107763402164
L0.H0,23,I realized something was morally wrong. The word for this feeling is ',-0.00335693359375,-0.0859375,True,1,5.64961576461792,5.673922538757324,0.024306774139404297,0.00041334418347105384
L0.H0,24,I doubted my own ability. The word for this feeling is ',-0.000152587890625,-0.0625,False,1,6.3016252517700195,6.319298267364502,0.017673015594482422,0.0005468332674354315
L0.H0,25,I saw someone else receive the credit for my work. The word for this feeling is ',-0.000244140625,-0.078125,False,1,6.528750896453857,6.5307745933532715,0.0020236968994140625,0.0004434461588971317
L0.H0,26,I remembered a painful failure. The word for this feeling is ',0.0,-0.109375,False,1,5.953754425048828,5.980916500091553,0.02716207504272461,0.0006628971314057708
L0.H0,27,I couldn't stop worrying about a problem. The word for this feeling is ',-0.00421142578125,-0.1171875,False,1,5.455377578735352,5.48509407043457,0.02971649169921875,0.0004951490554958582
L0.H0,28,I felt nervous before an important moment. The word for this feeling is ',-0.000732421875,-0.1171875,False,1,5.906918525695801,5.955852508544922,0.048933982849121094,0.0008913702331483364
L0.H0,29,I felt strong frustration. The word for this feeling is ',-0.0026397705078125,-0.1796875,False,1,6.120273590087891,6.155162334442139,0.03488874435424805,0.0006160861812531948
L0.H0,30,I saw something disgusting. The word for this feeling is ',-0.000335693359375,-0.09375,False,1,6.105897903442383,6.124773979187012,0.018876075744628906,0.0004796141292899847
L0.H0,31,I feared something bad might happen. The word for this feeling is ',-0.0003662109375,-0.1015625,False,1,5.5407514572143555,5.563164710998535,0.022413253784179688,0.0004941426450386643
L0.H0,32,I felt despair about the situation. The word for this feeling is ',-0.00115966796875,-0.0859375,False,1,5.712733745574951,5.738821983337402,0.026088237762451172,0.00046311074402183294
L0.H0,33,I saw an opportunity slip away. The word for this feeling is ',-3.0517578125e-05,-0.1171875,False,1,6.527149200439453,6.5532450675964355,0.026095867156982422,0.0007151005556806922
L0.H0,34,I saw someone I care about suffering. The word for this feeling is ',-0.0018310546875,-0.1328125,False,1,4.430388927459717,4.45004940032959,0.019660472869873047,0.0003484714252408594
L0.H0,35,I blamed myself for a mistake. The word for this feeling is ',-0.01220703125,-0.1796875,False,1,4.8505682945251465,4.93012809753418,0.0795598030090332,0.0011142678558826447
L0.H0,36,I felt trapped in a difficult situation. The word for this feeling is ',-0.001708984375,-0.1171875,False,1,6.219892501831055,6.253381729125977,0.033489227294921875,0.00042632565600797534
L0.H0,37,I realized I trusted someone who betrayed me. The word for this feeling is ',-0.0025634765625,-0.09375,True,2,5.514212608337402,5.524724960327148,0.010512351989746094,0.0005132854566909373
L0.H0,38,I distrusted someone's intentions. The word for this feeling is ',-0.000732421875,-0.1015625,False,1,5.977503299713135,5.994266986846924,0.016763687133789062,0.000485217256937176
L0.H0,39,I kept thinking about a past mistake. The word for this feeling is ',-0.00250244140625,-0.1484375,False,1,5.907158851623535,5.927949905395508,0.020791053771972656,0.0005381668452173471
L0.H0,40,I realized I had disappointed someone I respect. The word for this feeling is ',0.0020751953125,-0.015625,False,1,5.393628120422363,5.403299808502197,0.009671688079833984,0.00039582920726388693
L0.H0,41,I said something I deeply regret. The word for this feeling is ',-0.001129150390625,-0.1328125,False,1,5.906886100769043,5.939304351806641,0.032418251037597656,0.0006966195069253445
L0.H0,42,I felt jealous of someone close to me. The word for this feeling is ',-0.0025634765625,-0.1328125,False,1,5.754945278167725,5.785316467285156,0.03037118911743164,0.0005636083078570664
L0.H0,43,I realized I made a terrible decision. The word for this feeling is ',-0.0019989013671875,-0.1328125,False,1,6.268085479736328,6.290943145751953,0.022857666015625,0.0005982251605018973
L0.H0,44,I felt deep resentment toward someone. The word for this feeling is ',-6.103515625e-05,-0.0546875,False,1,5.252220153808594,5.262413024902344,0.01019287109375,0.0009865770116448402
L0.H0,45,I experienced unfair treatment. The word for this feeling is ',-0.0006103515625,-0.078125,False,1,5.9351677894592285,5.949189186096191,0.01402139663696289,0.00030593760311603546
L0.H0,46,I lost confidence in myself. The word for this feeling is ',-0.001861572265625,-0.15625,False,1,5.54533576965332,5.568550109863281,0.023214340209960938,0.0008537856047041714
L0.H0,47,I experienced deep sadness. The word for this feeling is ',-0.0013427734375,-0.0390625,False,1,5.4635491371154785,5.476319789886475,0.012770652770996094,0.00034130143467336893
L0.H0,48,"I prepared everything for the party, but nobody showed up. The word for this feeling is '",0.000701904296875,-0.03125,False,1,5.930263042449951,5.924124240875244,-0.006138801574707031,0.0005441007670015097
L0.H0,49,I felt deep grief after loss. The word for this feeling is ',-0.0010986328125,-0.0625,False,1,4.624190330505371,4.628204345703125,0.004014015197753906,0.0002998539130203426
L0.H1,0,I was furious about unfair treatment. The word for this feeling is ',-0.00250244140625,-0.0546875,False,1,5.372028827667236,5.378329277038574,0.006300449371337891,0.00016695400699973106
L0.H1,1,I made a serious mistake that hurt someone. The word for this feeling is ',-0.0023193359375,-0.046875,False,1,4.871054172515869,4.889680862426758,0.018626689910888672,0.00015405978774651885
L0.H1,2,I remembered an embarrassing moment. The word for this feeling is ',-0.0001068115234375,-0.0390625,False,1,6.454776763916016,6.460995674133301,0.006218910217285156,0.00010081098298542202
L0.H1,3,I lost a competition I worked hard for. The word for this feeling is ',0.000152587890625,-0.0234375,False,1,6.145199298858643,6.154592514038086,0.00939321517944336,7.565171108581126e-05
L0.H1,4,I waited for news that never arrived. The word for this feeling is ',-3.0517578125e-05,-0.03125,False,1,5.720355033874512,5.72542142868042,0.005066394805908203,0.00016713346121832728
L0.H1,5,I felt bitter about the outcome. The word for this feeling is ',-0.000640869140625,-0.046875,False,1,5.936177730560303,5.942303657531738,0.006125926971435547,9.583891369402409e-05
L0.H1,6,I felt intense stress before a deadline. The word for this feeling is ',-0.000579833984375,-0.046875,False,1,6.064335823059082,6.079258441925049,0.014922618865966797,9.116647561313584e-05
L0.H1,7,I felt alone in a crowded room. The word for this feeling is ',-0.0035400390625,-0.0625,False,1,5.3675642013549805,5.394079208374023,0.02651500701904297,0.00023282552137970924
L0.H1,8,I felt ashamed of my behavior. The word for this feeling is ',-0.000244140625,-0.03125,False,1,5.230989933013916,5.242097854614258,0.011107921600341797,0.00012542653712444007
L0.H1,9,I was blamed for something I didn't do. The word for this feeling is ',-0.0008544921875,-0.0234375,False,1,5.267694473266602,5.280093669891357,0.01239919662475586,7.425551302731037e-05
L0.H1,10,I was shocked by unexpected bad news. The word for this feeling is ',-0.001220703125,-0.0390625,False,1,4.885983943939209,4.894017219543457,0.008033275604248047,7.976737106218934e-05
L0.H1,11,I felt overwhelmed by too many problems. The word for this feeling is ',-0.00244140625,-0.0546875,False,1,5.552928924560547,5.5752716064453125,0.022342681884765625,0.00011373149754945189
L0.H1,12,I felt deeply disappointed. The word for this feeling is ',-0.0013427734375,-0.0390625,False,1,5.861448764801025,5.867413520812988,0.005964756011962891,3.295019268989563e-06
L0.H1,13,I felt completely alone. The word for this feeling is ',-0.0008544921875,-0.0546875,False,1,5.802552223205566,5.8191447257995605,0.01659250259399414,8.758828334975988e-05
L0.H1,14,I realized I had wasted a lot of time. The word for this feeling is ',-0.0001983642578125,-0.03125,False,1,6.430815696716309,6.430769443511963,-4.6253204345703125e-05,8.278230234282091e-05
L0.H1,15,I felt humiliated in public. The word for this feeling is ',-0.003662109375,-0.046875,False,1,4.704814910888672,4.730247497558594,0.025432586669921875,-2.0602659787982702e-05
L0.H1,16,I regretted a decision I made. The word for this feeling is ',0.001129150390625,0.0,False,1,5.890195846557617,5.890632152557373,0.0004363059997558594,6.518140435218811e-05
L0.H1,17,I felt uneasy in a strange place. The word for this feeling is ',-0.00042724609375,-0.03125,False,1,6.185186386108398,6.196661472320557,0.011475086212158203,2.51512392424047e-05
L0.H1,18,I envied someone else's success. The word for this feeling is ',-0.00054931640625,-0.03125,False,1,5.838981628417969,5.8472700119018555,0.008288383483886719,0.00014073593774810433
L0.H1,19,I worried about the future. The word for this feeling is ',0.0006103515625,-0.015625,False,1,5.7689208984375,5.7732391357421875,0.0043182373046875,6.398973346222192e-05
L0.H1,20,I lost something very important to me. The word for this feeling is ',-0.0006103515625,-0.03125,False,1,5.937875747680664,5.939813137054443,0.0019373893737792969,4.159164382144809e-05
L0.H1,21,I realized I misunderstood something important. The word for this feeling is ',-0.0002288818359375,-0.0390625,False,1,6.73479700088501,6.742681503295898,0.007884502410888672,8.21340800030157e-05
L0.H1,22,I felt extremely tired of everything. The word for this feeling is ',-0.000701904296875,-0.046875,False,1,6.162181854248047,6.174842834472656,0.012660980224609375,8.112500654533505e-05
L0.H1,23,I realized something was morally wrong. The word for this feeling is ',-0.000732421875,-0.03125,False,1,5.64961576461792,5.6512885093688965,0.0016727447509765625,4.061809158883989e-05
L0.H1,24,I doubted my own ability. The word for this feeling is ',0.000213623046875,-0.015625,False,1,6.3016252517700195,6.3085126876831055,0.0068874359130859375,8.12014623079449e-05
L0.H1,25,I saw someone else receive the credit for my work. The word for this feeling is ',-0.000335693359375,-0.0234375,False,1,6.528750896453857,6.5333428382873535,0.004591941833496094,0.00010422783088870347
L0.H1,26,I remembered a painful failure. The word for this feeling is ',-0.0006103515625,-0.046875,False,1,5.953754425048828,5.962525844573975,0.008771419525146484,6.595472223125398e-05
L0.H1,27,I couldn't stop worrying about a problem. The word for this feeling is ',-0.00238037109375,-0.0390625,False,1,5.455377578735352,5.4697585105896,0.014380931854248047,3.890579682774842e-05
L0.H1,28,I felt nervous before an important moment. The word for this feeling is ',-0.0008544921875,-0.046875,False,1,5.906918525695801,5.913792610168457,0.00687408447265625,0.00010958292114082724
L0.H1,29,I felt strong frustration. The word for this feeling is ',-0.000274658203125,-0.0390625,False,1,6.120273590087891,6.127184867858887,0.006911277770996094,7.141090463846922e-05
L0.H1,30,I saw something disgusting. The word for this feeling is ',-0.0003662109375,-0.0234375,False,1,6.105897903442383,6.113409042358398,0.007511138916015625,9.45894280448556e-05
L0.H1,31,I feared something bad might happen. The word for this feeling is ',-0.00201416015625,-0.046875,False,1,5.5407514572143555,5.5589823722839355,0.018230915069580078,0.0001127587747760117
L0.H1,32,I felt despair about the situation. The word for this feeling is ',-0.00115966796875,-0.0390625,False,1,5.712733745574951,5.720982551574707,0.00824880599975586,0.00016131234588101506
L0.H1,33,I saw an opportunity slip away. The word for this feeling is ',-0.0003662109375,-0.0546875,False,1,6.527149200439453,6.538969993591309,0.011820793151855469,0.00016131381562445313
L0.H1,34,I saw someone I care about suffering. The word for this feeling is ',-0.0015869140625,-0.03125,False,1,4.430388927459717,4.444391250610352,0.014002323150634766,-4.5746099203825e-05
L0.H1,35,I blamed myself for a mistake. The word for this feeling is ',-0.0023193359375,-0.0390625,False,1,4.8505682945251465,4.8692169189453125,0.018648624420166016,0.00015160601469688118
L0.H1,36,I felt trapped in a difficult situation. The word for this feeling is ',-0.0009765625,-0.0703125,False,1,6.219892501831055,6.239279747009277,0.019387245178222656,0.00011412205640226603
L0.H1,37,I realized I trusted someone who betrayed me. The word for this feeling is ',-0.00115966796875,-0.0390625,True,2,5.514212608337402,5.5218610763549805,0.007648468017578125,8.830765727907419e-05
