head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,The past tense of 'go' is ',0.003173828125,0.015625,False,1,4.714484214782715,4.714341163635254,-0.0001430511474609375,0.0003055131819564849,4.1961669921875e-05,0.019247594050743656,0.015625,55,54,True
L0.H0,1,The past tense of 'take' is ',0.01953125,0.1328125,False,1,3.200563430786133,3.115222454071045,-0.08534097671508789,0.0017930977046489716,3.5762786865234375e-07,0.003401360544217687,0.0703125,317,298,True
L0.H0,2,The past tense of 'write' is ',0.006591796875,0.0234375,False,1,3.764324903488159,3.741190195083618,-0.023134708404541016,0.0005734862061217427,5.9604644775390625e-06,0.016170763260025874,0.0234375,161,159,True
L0.H0,3,The past tense of 'run' is ',0.006103515625,0.0546875,False,1,3.721816062927246,3.699333667755127,-0.02248239517211914,0.0003600834170356393,2.384185791015625e-07,0.004214963119072708,0.03515625,596,591,True
L0.H0,4,The past tense of 'build' is ',-0.012939453125,-0.09375,False,1,2.7288172245025635,2.7887134552001953,0.059896230697631836,0.0007128955330699682,2.384185791015625e-06,0.028188865398167725,-0.0390625,328,330,False
L0.H0,5,The past tense of 'leave' is ',-0.00030517578125,0.0078125,False,1,5.423493385314941,5.414082050323486,-0.009411334991455078,0.00010354403639212251,2.86102294921875e-06,0.005253940455341506,0.015625,200,200,False
L0.H0,6,The past tense of 'pay' is ',-0.002197265625,-0.015625,False,1,2.891585350036621,2.9068572521209717,0.015271902084350586,2.287179813720286e-05,7.748603820800781e-07,0.010734929810074319,0.0,446,448,False
L0.H0,7,The past tense of 'tell' is ',0.0023193359375,0.0234375,False,1,3.9470250606536865,3.902366876602173,-0.04465818405151367,0.0005332083674147725,-8.7738037109375e-05,-0.0224390243902439,-0.0078125,23,23,False
L0.H0,8,The past tense of 'are' is ',0.008056640625,0.03125,False,1,3.350398302078247,3.355142593383789,0.004744291305541992,0.0005560150602832437,6.318092346191406e-06,0.036301369863013695,0.0390625,196,192,True
L0.H0,9,The past tense of 'make' is ',-0.0078125,-0.03125,False,1,3.419703483581543,3.425997495651245,0.0062940120697021484,0.0006385428132489324,0.0004425048828125,0.034709754637941355,0.0234375,9,9,False
L0.H0,10,The past tense of 'am' is ',-0.0001220703125,0.015625,False,1,4.288043022155762,4.257050514221191,-0.030992507934570312,0.0008658739970996976,4.172325134277344e-07,0.06666666666666667,0.0859375,2503,2404,True
L0.H0,11,The past tense of 'draw' is ',0.004638671875,0.03125,False,1,3.9826574325561523,3.952967882156372,-0.029689550399780273,0.00047895198804326355,-7.2479248046875e-05,-0.02872260015117158,-0.015625,28,29,False
L0.H0,12,The past tense of 'lead' is ',0.004638671875,0.03125,False,1,3.077911376953125,3.0563995838165283,-0.02151179313659668,9.27713408600539e-05,-5.960464477539063e-08,-0.022727272727272728,0.00390625,3076,3083,False
L0.H0,13,The past tense of 'answer' is ',-0.00042724609375,0.0234375,True,2,5.164395332336426,5.123847961425781,-0.04054737091064453,0.0010638030944392085,0.0,0.0,0.02734375,1324,1295,True
L0.H0,14,The past tense of 'plan' is ',-0.0006103515625,0.0078125,False,1,4.909015655517578,4.92292594909668,0.013910293579101562,0.0008246660581789911,-8.392333984375e-05,-0.03392444101773323,-0.0234375,49,49,False
L0.H0,15,The past tense of 'use' is ',0.001220703125,-0.0078125,False,1,4.290112018585205,4.2958598136901855,0.005747795104980469,0.00033736799377948046,4.291534423828125e-06,0.021492537313432834,0.0078125,297,293,True
L0.H0,16,The past tense of 'work' is ',0.00048828125,0.03125,False,1,4.177088737487793,4.1656174659729,-0.011471271514892578,0.0005827611894346774,3.5762786865234375e-07,0.0026223776223776225,0.03125,372,367,True
L0.H0,17,The past tense of 'change' is ',-0.00537109375,-0.0546875,False,1,3.8361659049987793,3.8672070503234863,0.03104114532470703,0.00045445715659298003,-9.5367431640625e-07,-0.007568590350047304,-0.046875,389,403,False
L0.H0,18,The past tense of 'play' is ',0.001953125,0.0078125,False,1,4.230790615081787,4.2299957275390625,-0.0007948875427246094,4.815630381926894e-05,1.239776611328125e-05,0.02113821138211382,0.0234375,137,134,True
L0.H0,19,The past tense of 'call' is ',-0.00390625,-0.015625,False,1,3.1363539695739746,3.155757188796997,0.01940321922302246,0.00030784637783654034,1.5497207641601562e-06,0.008655126498002663,0.0,263,265,False
L0.H0,20,The past tense of 'enter' is ',0.006103515625,0.109375,False,1,4.373180866241455,4.3355631828308105,-0.03761768341064453,0.0038200076669454575,5.9604644775390625e-06,0.024108003857280617,0.1015625,258,250,True
L0.H0,21,The past tense of 'create' is ',-0.009033203125,-0.140625,False,1,4.141000747680664,4.193141460418701,0.05214071273803711,0.0018502016318961978,-3.814697265625e-06,-0.05055292259083728,-0.16015625,572,604,False
L0.H0,22,The past tense of 'approve' is ',0.003173828125,0.03125,False,1,4.158878326416016,4.142409324645996,-0.01646900177001953,0.00046512321569025517,-2.6702880859375e-05,-0.037914691943127965,-0.015625,101,106,False
L0.H1,0,The past tense of 'go' is ',0.0032958984375,0.03125,False,1,4.714484214782715,4.720839977264404,0.006355762481689453,0.0010218460811302066,-0.000186920166015625,-0.0857392825896763,-0.078125,55,58,False
L0.H1,1,The past tense of 'take' is ',0.009765625,0.0703125,False,1,3.200563430786133,3.1179733276367188,-0.08259010314941406,0.0024578366428613663,-6.9141387939453125e-06,-0.06575963718820861,-0.03125,317,319,False
L0.H1,2,The past tense of 'write' is ',0.001220703125,0.0078125,False,1,3.764324903488159,3.761486530303955,-0.0028383731842041016,2.0381849026307464e-05,1.1920928955078125e-06,0.003234152652005175,0.0078125,161,162,False
L0.H1,3,The past tense of 'run' is ',-0.0040283203125,-0.0390625,False,1,3.721816062927246,3.739546537399292,0.0177304744720459,0.00019834467093460262,0.0,0.0,-0.0234375,596,601,False
L0.H1,4,The past tense of 'build' is ',0.001953125,0.0,False,1,2.7288172245025635,2.7375612258911133,0.008744001388549805,0.00012961775064468384,1.0132789611816406e-06,0.011980267794221282,0.0078125,328,327,True
L0.H1,5,The past tense of 'leave' is ',0.0013427734375,0.03125,False,1,5.423493385314941,5.411994934082031,-0.011498451232910156,0.00027178245363757014,0.0,0.0,0.015625,200,202,False
L0.H1,6,The past tense of 'pay' is ',0.004150390625,0.015625,False,1,2.891585350036621,2.881906747817993,-0.00967860221862793,0.000184609045390971,-1.7881393432617188e-06,-0.02477291494632535,-0.01953125,446,456,False
L0.H1,7,The past tense of 'tell' is ',-0.0006103515625,-0.0078125,False,1,3.9470250606536865,3.963305950164795,0.0162808895111084,5.3866126108914614e-05,1.9073486328125e-05,0.004878048780487805,0.0,23,23,False
L0.H1,8,The past tense of 'are' is ',0.00146484375,0.015625,False,1,3.350398302078247,3.331157922744751,-0.019240379333496094,0.0002607655478641391,-3.2186508178710938e-06,-0.018493150684931507,-0.0078125,196,195,True
L0.H1,9,The past tense of 'make' is ',-0.002685546875,-0.0078125,False,1,3.419703483581543,3.431159257888794,0.011455774307250977,3.469717921689153e-05,7.62939453125e-06,0.0005984440454817474,0.0,9,9,False
L0.H1,10,The past tense of 'am' is ',-0.00048828125,0.0,False,1,4.288043022155762,4.287107467651367,-0.0009355545043945312,0.00020425376715138555,2.980232238769531e-07,0.047619047619047616,0.05078125,2503,2448,True
L0.H1,11,The past tense of 'draw' is ',0.0068359375,0.046875,False,1,3.9826574325561523,3.9724042415618896,-0.010253190994262695,0.0006184799131006002,4.76837158203125e-05,0.01889644746787604,0.0390625,28,28,False
L0.H1,12,The past tense of 'lead' is ',0.00244140625,0.046875,False,1,3.077911376953125,3.0516555309295654,-0.02625584602355957,0.00023600825807079673,-5.960464477539063e-08,-0.022727272727272728,0.015625,3076,3080,False
L0.H1,13,The past tense of 'answer' is ',-0.00140380859375,-0.015625,True,2,5.164395332336426,5.1610331535339355,-0.0033621788024902344,0.00013669779582414776,2.384185791015625e-07,0.007079646017699115,0.00390625,1324,1314,True
L0.H1,14,The past tense of 'plan' is ',-0.00146484375,-0.0234375,False,1,4.909015655517578,4.916159152984619,0.007143497467041016,0.0001787650107871741,-5.53131103515625e-05,-0.02235929067077872,-0.0390625,49,50,False
L0.H1,15,The past tense of 'use' is ',-0.001220703125,0.0,False,1,4.290112018585205,4.292513370513916,0.0024013519287109375,0.00032623446895740926,2.384185791015625e-06,0.011940298507462687,0.015625,297,296,True
L0.H1,16,The past tense of 'work' is ',-0.0025634765625,-0.03125,False,1,4.177088737487793,4.177515506744385,0.0004267692565917969,0.0001260653225472197,5.960464477539062e-07,0.004370629370629371,-0.015625,372,373,False
L0.H1,17,The past tense of 'change' is ',-0.002685546875,-0.015625,False,1,3.8361659049987793,3.85479474067688,0.018628835678100586,0.00012578773021232337,4.76837158203125e-07,0.003784295175023652,-0.00390625,389,394,False
L0.H1,18,The past tense of 'play' is ',0.001220703125,0.0078125,False,1,4.230790615081787,4.225870132446289,-0.004920482635498047,0.00020161032443866134,-1.1444091796875e-05,-0.01951219512195122,-0.015625,137,138,False
L0.H1,19,The past tense of 'call' is ',0.001953125,0.015625,False,1,3.1363539695739746,3.127824068069458,-0.008529901504516602,0.0003464513283688575,7.152557373046875e-07,0.0039946737683089215,0.015625,263,263,False
L0.H1,20,The past tense of 'enter' is ',-0.001220703125,-0.0234375,False,1,4.373180866241455,4.378330230712891,0.005149364471435547,3.3822099794633687e-05,4.76837158203125e-07,0.0019286403085824494,-0.015625,258,257,True
L0.H1,21,The past tense of 'create' is ',-0.0009765625,-0.0078125,False,1,4.141000747680664,4.144834995269775,0.003834247589111328,0.00020881995442323387,-2.384185791015625e-07,-0.00315955766192733,-0.0078125,572,573,False
L0.H1,22,The past tense of 'approve' is ',0.002685546875,0.03125,False,1,4.158878326416016,4.139733791351318,-0.019144535064697266,9.473762474954128e-05,-9.5367431640625e-07,-0.0013540961408259986,0.0234375,101,101,False
L0.H2,0,The past tense of 'go' is ',-0.0023193359375,-0.0078125,False,1,4.714484214782715,4.708745956420898,-0.005738258361816406,0.0002562487788964063,-6.29425048828125e-05,-0.028871391076115485,-0.0234375,55,56,False
L0.H2,1,The past tense of 'take' is ',-0.003662109375,-0.046875,False,1,3.200563430786133,3.2152013778686523,0.014637947082519531,0.0001717119012027979,-1.3113021850585938e-06,-0.012471655328798186,-0.046875,317,318,False
L0.H2,2,The past tense of 'write' is ',-0.00439453125,-0.03125,False,1,3.764324903488159,3.7973570823669434,0.03303217887878418,0.0001466359244659543,2.1457672119140625e-06,0.005821474773609315,-0.015625,161,163,False
L0.H2,3,The past tense of 'run' is ',0.008544921875,0.0625,False,1,3.721816062927246,3.6811749935150146,-0.040641069412231445,0.0005607194034382701,-2.0265579223632812e-06,-0.03582718651211802,-0.0078125,596,600,False
L0.H2,4,The past tense of 'build' is ',0.001708984375,0.015625,False,1,2.7288172245025635,2.728715181350708,-0.00010204315185546875,6.828740879427642e-05,2.980232238769531e-07,0.0035236081747709656,0.015625,328,327,True
L0.H2,5,The past tense of 'leave' is ',-0.00201416015625,-0.03125,False,1,5.423493385314941,5.433438301086426,0.009944915771484375,7.65470031183213e-05,-7.62939453125e-06,-0.014010507880910683,-0.0234375,200,204,False
L0.H2,6,The past tense of 'pay' is ',0.00439453125,0.03125,False,1,2.891585350036621,2.867562770843506,-0.024022579193115234,0.00039212917909026146,-2.0265579223632812e-06,-0.028075970272502065,-0.0078125,446,453,False
L0.H2,7,The past tense of 'tell' is ',-0.00244140625,-0.015625,False,1,3.9470250606536865,3.985255718231201,0.03823065757751465,0.0002662088954821229,0.00011444091796875,0.02926829268292683,0.0234375,23,23,False
L0.H2,8,The past tense of 'are' is ',0.002685546875,0.015625,False,1,3.350398302078247,3.3436501026153564,-0.006748199462890625,-2.1794301574118435e-05,-3.933906555175781e-06,-0.022602739726027398,-0.015625,196,196,False
L0.H2,9,The past tense of 'make' is ',-0.002685546875,0.0,False,1,3.419703483581543,3.4161174297332764,-0.0035860538482666016,0.0002783258678391576,0.00020599365234375,0.01615798922800718,0.0234375,9,9,False
L0.H2,10,The past tense of 'am' is ',-0.0020751953125,-0.0546875,False,1,4.288043022155762,4.33780574798584,0.049762725830078125,0.0005951164057478309,-5.960464477539063e-08,-0.009523809523809525,-0.04296875,2503,2564,False
L0.H2,11,The past tense of 'draw' is ',0.01123046875,0.0625,False,1,3.9826574325561523,3.9552552700042725,-0.027402162551879883,0.0005356399342417717,0.0001068115234375,0.042328042328042326,0.0625,28,27,True
L0.H2,12,The past tense of 'lead' is ',-0.004150390625,0.015625,True,2,3.077911376953125,3.0695056915283203,-0.008405685424804688,0.00025818205904215574,-1.1920928955078125e-07,-0.045454545454545456,-0.0078125,3076,3112,False
L0.H2,13,The past tense of 'answer' is ',0.00152587890625,0.0078125,False,1,5.164395332336426,5.162240505218506,-0.002154827117919922,0.0001935315813170746,9.5367431640625e-07,0.02831858407079646,0.0234375,1324,1305,True
L0.H2,14,The past tense of 'plan' is ',-0.0018310546875,-0.03125,False,1,4.909015655517578,4.916876316070557,0.007860660552978516,0.00030059070559218526,-4.1961669921875e-05,-0.016962220508866616,-0.0390625,49,50,False
L0.H2,15,The past tense of 'use' is ',-0.0035400390625,-0.015625,False,1,4.290112018585205,4.301819324493408,0.011707305908203125,0.00045250693801790476,2.0265579223632812e-06,0.010149253731343283,0.0078125,297,295,True
L0.H2,16,The past tense of 'work' is ',0.0003662109375,0.0,False,1,4.177088737487793,4.173471927642822,-0.003616809844970703,3.3589909435249865e-05,-3.5762786865234375e-07,-0.0026223776223776225,-0.00390625,372,372,False
L0.H2,17,The past tense of 'change' is ',-0.004638671875,-0.03125,False,1,3.8361659049987793,3.849210739135742,0.01304483413696289,0.00035744698834605515,-1.1920928955078125e-06,-0.00946073793755913,-0.02734375,389,394,False
L0.H2,18,The past tense of 'play' is ',0.0068359375,0.0625,False,1,4.230790615081787,4.193857192993164,-0.03693342208862305,0.00041497964411973953,7.152557373046875e-06,0.012195121951219513,0.0546875,137,133,True
L0.H2,19,The past tense of 'call' is ',-0.0068359375,-0.046875,False,1,3.1363539695739746,3.175851821899414,0.03949785232543945,0.000468597310828045,-8.344650268554688e-07,-0.004660452729693742,-0.0390625,263,266,False
L0.H2,20,The past tense of 'enter' is ',0.004150390625,0.0390625,False,1,4.373180866241455,4.365087509155273,-0.00809335708618164,0.00037743098801001906,3.337860107421875e-06,0.013500482160077145,0.03125,258,257,True
L0.H2,21,The past tense of 'create' is ',-0.0048828125,-0.0625,False,1,4.141000747680664,4.179315090179443,0.0383143424987793,0.0006064455956220627,-6.556510925292969e-07,-0.008688783570300158,-0.0546875,572,583,False
L0.H2,22,The past tense of 'approve' is ',0.004150390625,0.015625,False,1,4.158878326416016,4.1461310386657715,-0.01274728775024414,6.002979353070259e-05,7.62939453125e-06,0.010832769126607989,0.015625,101,101,False
L0.H3,0,The past tense of 'go' is ',0.0,0.0,False,1,4.714484214782715,4.712488651275635,-0.001995563507080078,-5.932641215622425e-06,0.0,0.0,0.0,55,55,False
L0.H3,1,The past tense of 'take' is ',-0.002197265625,-0.0234375,False,1,3.200563430786133,3.2175235748291016,0.01696014404296875,-0.00017626024782657623,4.172325134277344e-07,0.003968253968253968,-0.01171875,317,317,False
L0.H3,2,The past tense of 'write' is ',0.005859375,0.03125,False,1,3.764324903488159,3.737389087677002,-0.026935815811157227,0.0001354767009615898,5.245208740234375e-06,0.014230271668822769,0.03125,161,158,True
L0.H3,3,The past tense of 'run' is ',-0.0023193359375,-0.015625,False,1,3.721816062927246,3.7313663959503174,0.009550333023071289,0.0001707479532342404,3.5762786865234375e-07,0.006322444678609062,0.0,596,596,False
L0.H3,4,The past tense of 'build' is ',-0.002197265625,0.0,False,1,2.7288172245025635,2.740950584411621,0.012133359909057617,0.00012164065265096724,2.980232238769531e-07,0.0035236081747709656,0.0078125,328,329,False
L0.H3,5,The past tense of 'leave' is ',-0.00030517578125,-0.0078125,False,1,5.423493385314941,5.423603057861328,0.00010967254638671875,-4.279723725630902e-05,-1.9073486328125e-06,-0.0035026269702276708,-0.0078125,200,201,False
