head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,What is the capital of France? Answer:,0.00244140625,0.015625,False,1,4.298466682434082,4.284797668457031,-0.013669013977050781,0.000156842841533944,-9.5367431640625e-07,-0.0006293266205160479,0.0078125,65,64,True
L0.H0,1,What is the capital of Germany? Answer:,0.00048828125,0.0,False,1,4.094885349273682,4.0945892333984375,-0.0002961158752441406,0.0001579199160914868,9.5367431640625e-07,0.001520912547528517,0.0,111,111,False
L0.H0,2,What is the capital of Italy? Answer:,-0.001708984375,-0.0078125,False,1,3.587888479232788,3.596066951751709,0.008178472518920898,-0.0001326157507719472,2.288818359375e-05,0.011152416356877323,0.0078125,40,39,True
L0.H0,3,What is the capital of Spain? Answer:,0.00341796875,0.015625,False,1,3.0264382362365723,3.00819730758667,-0.018240928649902344,0.00015486311167478561,8.58306884765625e-06,0.006228373702422145,0.015625,45,45,False
L0.H0,4,What is the capital of Portugal? Answer:,-0.005859375,-0.03125,False,1,3.293160915374756,3.3307571411132812,0.03759622573852539,-0.00019224712741561234,0.0,0.0,-0.01953125,1232,1242,False
L0.H0,5,What is the capital of Greece? Answer:,0.0032958984375,0.0234375,False,1,4.243674278259277,4.224104881286621,-0.01956939697265625,0.00021095777628943324,6.556510925292969e-07,0.006470588235294118,0.015625,513,503,True
L0.H0,6,What is the capital of Poland? Answer:,-0.00341796875,-0.0234375,False,1,4.122097969055176,4.139846324920654,0.017748355865478516,0.00011358805932104588,-5.960464477539063e-08,-0.0014705882352941176,-0.01171875,870,874,False
L0.H0,7,What is the capital of Norway? Answer:,0.00146484375,0.0078125,False,1,3.5114564895629883,3.5046677589416504,-0.006788730621337891,1.7479818779975176e-05,1.9073486328125e-05,0.0025012506253126563,0.0078125,12,12,False
L0.H0,8,What is the capital of Sweden? Answer:,0.00048828125,0.0,False,1,2.4571471214294434,2.4558615684509277,-0.001285552978515625,-0.00017051168833859265,-5.960464477539062e-07,-0.003238341968911917,-0.00390625,156,158,False
L0.H0,9,What is the capital of Switzerland? Answer:,0.001708984375,0.0,False,1,3.8409197330474854,3.8454391956329346,0.004519462585449219,0.0002725390950217843,3.5762786865234375e-07,0.013824884792626729,0.00390625,948,948,False
L0.H0,10,What is the capital of Hungary? Answer:,0.00634765625,0.046875,False,1,3.256287097930908,3.205833911895752,-0.05045318603515625,0.0003423973103053868,-5.7220458984375e-06,-0.0024958402662229617,0.03125,32,32,False
L0.H0,11,What is the capital of Czech Republic? Answer:,-0.00244140625,-0.0234375,False,1,2.9013004302978516,2.916374921798706,0.015074491500854492,0.0003412287915125489,0.0008544921875,0.01174496644295302,-0.0078125,2,2,False
L0.H0,12,What is the capital of Slovakia? Answer:,-0.002197265625,-0.0078125,False,1,3.2836413383483887,3.2885472774505615,0.0049059391021728516,9.334761125501245e-05,2.09808349609375e-05,0.019315188762071993,0.015625,55,54,True
L0.H0,13,What is the capital of Romania? Answer:,-0.0078125,-0.03125,False,1,2.973750352859497,3.0188589096069336,0.04510855674743652,0.0006091450341045856,1.9073486328125e-06,0.0008410428931875525,-0.015625,25,26,False
L0.H0,14,What is the capital of Bulgaria? Answer:,-0.00146484375,-0.015625,False,1,1.4859671592712402,1.489184021949768,0.003216862678527832,0.00021570349053945392,7.748603820800781e-07,0.009730538922155689,-0.00390625,224,222,True
L0.H0,15,What is the capital of Croatia? Answer:,-0.000244140625,0.0078125,False,1,2.884982109069824,2.8856329917907715,0.0006508827209472656,0.00011561404971871525,0.00019073486328125,0.023832221163012392,0.03125,10,9,True
L0.H0,16,What is the capital of Serbia? Answer:,-0.00634765625,-0.046875,False,1,1.8287878036499023,1.8680976629257202,0.03930985927581787,0.00010934093734249473,8.0108642578125e-05,0.02254428341384863,-0.015625,12,12,False
L0.H0,17,What is the capital of Ukraine? Answer:,-0.000732421875,-0.0078125,False,1,4.459478855133057,4.477147579193115,0.017668724060058594,0.0003195030731149018,5.7220458984375e-06,0.005037783375314861,0.0,77,78,False
L0.H0,18,What is the capital of Lithuania? Answer:,-0.00146484375,-0.015625,False,1,1.0094780921936035,1.0189619064331055,0.009483814239501953,9.414796659257263e-05,7.152557373046875e-06,0.014450867052023121,0.0,29,29,False
L0.H0,19,What is the capital of Latvia? Answer:,0.005615234375,0.03125,False,1,3.5535764694213867,3.534287929534912,-0.01928853988647461,0.0005230223760008812,1.0967254638671875e-05,0.018548387096774192,0.03125,96,93,True
L0.H1,0,What is the capital of France? Answer:,0.00244140625,0.0078125,False,1,4.298466682434082,4.290231227874756,-0.008235454559326172,0.00015542202163487673,1.1444091796875e-05,0.007551919446192574,0.0078125,65,63,True
L0.H1,1,What is the capital of Germany? Answer:,0.00439453125,0.0234375,False,1,4.094885349273682,4.075028419494629,-0.019856929779052734,0.0002431862521916628,9.5367431640625e-07,0.001520912547528517,0.01171875,111,110,True
L0.H1,2,What is the capital of Italy? Answer:,-0.001708984375,-0.0078125,False,1,3.587888479232788,3.593920946121216,0.006032466888427734,5.184998735785484e-05,2.288818359375e-05,0.011152416356877323,0.0078125,40,39,True
L0.H1,3,What is the capital of Spain? Answer:,-0.0009765625,0.0,False,1,3.0264382362365723,3.029874563217163,0.0034363269805908203,0.00034713244531303644,-1.239776611328125e-05,-0.008996539792387544,-0.0078125,45,46,False
L0.H1,4,What is the capital of Portugal? Answer:,-0.0029296875,-0.0234375,False,1,3.293160915374756,3.3152685165405273,0.022107601165771484,-0.000102554215118289,3.5762786865234375e-07,0.02054794520547945,0.0,1232,1226,True
L0.H1,5,What is the capital of Greece? Answer:,0.0003662109375,0.0,False,1,4.243674278259277,4.24525260925293,0.0015783309936523438,-4.442857243702747e-05,1.7881393432617188e-07,0.0017647058823529412,0.0,513,510,True
L0.H1,6,What is the capital of Poland? Answer:,-0.002197265625,-0.015625,False,1,4.122097969055176,4.132501125335693,0.010403156280517578,0.0002657731529325247,-1.7881393432617188e-07,-0.004411764705882353,-0.01171875,870,875,False
L0.H1,7,What is the capital of Norway? Answer:,0.00244140625,0.0078125,False,1,3.5114564895629883,3.499133586883545,-0.01232290267944336,0.00010755691619124264,3.814697265625e-05,0.0050025012506253125,0.0078125,12,12,False
L0.H1,8,What is the capital of Sweden? Answer:,-0.0009765625,-0.0078125,False,1,2.4571471214294434,2.4643325805664062,0.007185459136962891,-0.0003170776180922985,-1.7881393432617188e-06,-0.009715025906735751,-0.015625,156,158,False
L0.H1,9,What is the capital of Switzerland? Answer:,0.0008544921875,0.0,False,1,3.8409197330474854,3.8448543548583984,0.003934621810913086,6.733153713867068e-05,-1.7881393432617188e-07,-0.0069124423963133645,-0.01171875,948,959,False
L0.H1,10,What is the capital of Hungary? Answer:,0.00146484375,0.015625,False,1,3.256287097930908,3.2382495403289795,-0.01803755760192871,0.0001079757057595998,-3.0517578125e-05,-0.013311148086522463,0.0,32,32,False
L0.H1,11,What is the capital of Czech Republic? Answer:,-0.0048828125,-0.03125,False,1,2.9013004302978516,2.934103012084961,0.032802581787109375,-5.4726842790842056e-05,-0.0006103515625,-0.008389261744966443,-0.03125,2,2,False
L0.H1,12,What is the capital of Slovakia? Answer:,0.003173828125,0.0078125,False,1,3.2836413383483887,3.2717580795288086,-0.011883258819580078,5.487633461598307e-05,7.62939453125e-06,0.007023705004389816,0.0078125,55,55,False
