head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,Identify the affected organ. Disease: Hepatitis / Organ: ',0.0015869140625,0.0,False,1,5.151079177856445,5.150814056396484,-0.0002651214599609375,0.0005068645114079118
L0.H0,1,Identify the affected organ. Disease: Pneumonia / Organ: ',0.0037841796875,0.0625,False,1,5.048159122467041,5.012187957763672,-0.03597116470336914,0.0008612683159299195
L0.H0,2,Identify the affected organ. Disease: Nephritis / Organ: ',0.0045166015625,0.0703125,False,1,5.361900329589844,5.338819980621338,-0.02308034896850586,0.0009773442288860679
L0.H0,3,Identify the affected organ. Disease: Encephalitis / Organ: ',-0.0028076171875,-0.078125,True,2,5.652807235717773,5.668365955352783,0.015558719635009766,0.0004656073870137334
L0.H0,4,Identify the affected organ. Disease: Myocarditis / Organ: ',-0.005126953125,-0.046875,False,1,4.129818916320801,4.168821811676025,0.03900289535522461,0.0005075623048469424
L0.H0,5,Identify the affected organ. Disease: Dermatitis / Organ: ',0.00140380859375,0.0078125,False,1,5.717792510986328,5.71992826461792,0.002135753631591797,0.0005950029008090496
L0.H0,6,Identify the affected organ. Disease: Otitis / Organ: ',-0.00213623046875,-0.0390625,False,1,5.761282444000244,5.7903618812561035,0.029079437255859375,0.0008951915078796446
L0.H0,7,Identify the affected organ. Disease: Pancreatitis / Organ: ',0.004150390625,0.0234375,False,1,4.908066272735596,4.897870063781738,-0.010196208953857422,0.000607948808465153
L0.H0,8,Identify the affected organ. Disease: Meningitis / Organ: ',-0.002685546875,-0.0390625,False,1,5.252572059631348,5.270044803619385,0.01747274398803711,0.0008659366285428405
L0.H0,9,Identify the affected organ. Disease: Keratitis / Organ: ',0.0018310546875,0.0078125,False,1,5.431461334228516,5.436585903167725,0.005124568939208984,0.0006577110616490245
L0.H0,10,Identify the affected organ. Disease: Rhinitis / Organ: ',-0.0013427734375,-0.03125,False,1,5.508962154388428,5.5204315185546875,0.011469364166259766,0.0006451096851378679
L0.H0,11,Identify the affected organ. Disease: Thyroiditis / Organ: ',0.000244140625,-0.0078125,False,1,5.159329414367676,5.170917987823486,0.011588573455810547,0.0005116466199979186
L0.H0,12,Identify the affected organ. Disease: Splenomegaly / Organ: ',0.0006103515625,0.015625,False,1,5.871445655822754,5.8572306632995605,-0.01421499252319336,0.0006327911978587508
