head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,The chef prepared the meal. The meal was,0.0072021484375,0.0390625,False,1,5.089188575744629,5.085551738739014,-0.0036368370056152344,0.0009780209511518478
L0.H0,1,Wind blew the leaves. The leaves were,-6.103515625e-05,-0.0078125,False,1,5.992740631103516,6.004464626312256,0.011723995208740234,0.00047710840590298176
L0.H0,2,The doctor treated the patient. The patient was,-0.005859375,-0.109375,False,1,5.1679487228393555,5.208896636962891,0.040947914123535156,0.001482705119997263
L0.H0,3,The singer performed the song. The song was,0.0010986328125,0.0,False,1,4.354610443115234,4.359894275665283,0.005283832550048828,0.00030547112692147493
L0.H0,4,The architect designed the villa. The villa was,0.00244140625,0.015625,False,1,3.706223487854004,3.6845951080322266,-0.021628379821777344,0.00018246390391141176
L0.H0,5,The editor checked the manuscript. The manuscript was,-0.0145263671875,-0.1875,True,3,3.7053065299987793,3.7581911087036133,0.052884578704833984,0.002827335149049759
L0.H0,6,Police caught the thief. The thief was,-0.00140380859375,-0.015625,False,1,5.4312825202941895,5.440760612487793,0.009478092193603516,0.00033261929638683796
L0.H0,7,The author wrote the novel. The novel was,-0.002197265625,-0.015625,False,1,4.241884231567383,4.2479634284973145,0.006079196929931641,0.0002898189704865217
L0.H0,8,The storm damaged the roof. The roof was,0.005615234375,0.0703125,False,1,5.085537433624268,5.05648136138916,-0.029056072235107422,0.0008368329145014286
L0.H0,9,The photographer took the picture. The picture was,0.00830078125,0.0234375,False,1,4.716752052307129,4.686463356018066,-0.0302886962890625,0.0004370296373963356
L0.H0,10,The mechanic fixed the car. The car was,-0.00482177734375,-0.0625,False,1,5.315192222595215,5.33818244934082,0.02299022674560547,0.0005193841643631458
L0.H0,11,The manager signed the document. The document was,0.0020751953125,0.015625,False,1,4.764102935791016,4.7525153160095215,-0.01158761978149414,0.0002695217845030129
L0.H0,12,The nurse administered the drug. The drug was,-0.00054931640625,-0.046875,False,1,5.074294567108154,5.083160877227783,0.008866310119628906,0.000504557800013572
L0.H0,13,The child broke the vase. The vase was,-0.0045166015625,-0.03125,False,1,5.05279541015625,5.080946922302246,0.028151512145996094,0.0002912549243774265
L0.H0,14,The witness identified the suspect. The suspect was,-0.00341796875,-0.0625,False,1,4.663270473480225,4.706748008728027,0.043477535247802734,0.0011046894360333681
L0.H0,15,The player kicked the ball. The ball was,-0.0001220703125,0.0234375,False,1,5.324660301208496,5.318860054016113,-0.0058002471923828125,0.000255247694440186
L0.H0,16,The scientist discovered the element. The element was,0.0008544921875,0.0234375,False,1,5.3343353271484375,5.317169189453125,-0.0171661376953125,0.00043865200132131577
L0.H0,17,The lion hunted the zebra. The zebra was,0.000732421875,0.0078125,False,1,4.98734188079834,4.985287666320801,-0.0020542144775390625,0.00022348921629600227
L0.H0,18,The farmer harvested the corn. The corn was,0.00164794921875,0.0390625,False,1,5.854975700378418,5.83622932434082,-0.018746376037597656,0.0017933929339051247
L0.H0,19,The kid built the tower. The tower was,0.0047607421875,0.03125,False,1,5.091726303100586,5.095197677612305,0.00347137451171875,0.001143001252785325
L0.H0,20,The team won the trophy. The trophy was,-0.0010986328125,0.0078125,False,1,4.7920989990234375,4.783841609954834,-0.008257389068603516,0.000411542016081512
L0.H0,21,The flood ruined the crops. The crops were,-0.010498046875,-0.046875,False,1,4.112896919250488,4.158234119415283,0.04533720016479492,0.0006197020411491394
L0.H0,22,The builder laid the bricks. The bricks were,0.009765625,0.0625,False,1,5.023245811462402,4.945228099822998,-0.0780177116394043,0.0019125603139400482
L0.H0,23,The actor learned the lines. The lines were,0.00048828125,0.015625,False,1,5.783645153045654,5.7665581703186035,-0.01708698272705078,0.0005074930377304554
L0.H0,24,The host welcomed the guests. The guests were,-0.00091552734375,0.0,False,1,5.393259048461914,5.375359058380127,-0.01789999008178711,0.00045792432501912117
L0.H0,25,The librarian sorted the books. The books were,0.00238037109375,0.046875,False,1,5.524744987487793,5.499075412750244,-0.025669574737548828,0.0019585415720939636
L0.H0,26,The programmer wrote the code. The code was,0.0068359375,0.046875,False,1,4.873219013214111,4.838231563568115,-0.034987449645996094,0.0007335594855248928
L0.H0,27,The chemist mixed the acids. The acids were,-0.00390625,-0.0859375,False,1,5.582394599914551,5.665284633636475,0.08289003372192383,0.0022294288501143456
L0.H0,28,The snake bit the hiker. The hiker was,0.0018310546875,0.0625,False,1,5.079415321350098,5.045130252838135,-0.03428506851196289,0.0009383949218317866
L0.H0,29,The lightning struck the tree. The tree was,-0.0035400390625,-0.0546875,False,1,5.2567830085754395,5.280452728271484,0.023669719696044922,0.0007133097387850285
L0.H0,30,The spy leaked the secret. The secret was,-0.001129150390625,-0.0390625,False,1,5.361534595489502,5.377942085266113,0.016407489776611328,0.0006341662956401706
L0.H0,31,The detective solved the mystery. The mystery was,-0.0234375,-0.1171875,False,1,3.373596429824829,3.48661732673645,0.1130208969116211,0.001436455175280571
L0.H0,32,The lawyer argued the case. The case was,-0.004150390625,-0.0390625,False,1,4.652997970581055,4.668008327484131,0.015010356903076172,0.001944415271282196
L0.H0,33,The father washed the dishes. The dishes were,0.00421142578125,0.046875,False,1,5.20265007019043,5.181773662567139,-0.020876407623291016,0.0009237290360033512
L0.H0,34,The boss approved the leave. The leave was,-0.001708984375,-0.015625,False,1,5.193499565124512,5.1830973625183105,-0.010402202606201172,0.00032470421865582466
L0.H0,35,The assistant booked the flight. The flight was,-0.0013427734375,-0.0078125,False,1,4.983904838562012,4.97710657119751,-0.006798267364501953,0.000457253772765398
L0.H0,36,The customer paid the bill. The bill was,0.0025634765625,0.0,False,1,4.643590927124023,4.639109134674072,-0.004481792449951172,0.0005335593596100807
L0.H1,0,The chef prepared the meal. The meal was,-0.002197265625,-0.0234375,False,1,5.089188575744629,5.095983028411865,0.006794452667236328,9.027309715747833e-05
L0.H1,1,Wind blew the leaves. The leaves were,-0.001434326171875,-0.0234375,False,1,5.992740631103516,6.001285076141357,0.008544445037841797,0.00017797434702515602
