head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,What is the capital of Italy? Answer:,0.000244140625,0.0078125,False,1,3.6017448902130127,3.5975825786590576,-0.004162311553955078,7.052833097986877e-05,-3.0517578125e-05,-0.014939309056956116,-0.0078125,39,40,False
L0.H0,1,What is the capital of Spain? Answer:,-0.0048828125,-0.0234375,False,1,3.0265979766845703,3.0492684841156006,0.022670507431030273,0.00013791141100227833,-1.5735626220703125e-05,-0.01740506329113924,-0.03125,74,74,False
L0.H0,2,What is the capital of Mexico? Answer:,0.0029296875,0.0234375,False,1,4.698690891265869,4.678884506225586,-0.019806385040283203,0.0005028495797887444,-2.384185791015625e-07,-0.05128205128205128,-0.033203125,3574,3659,False
L0.H0,3,What is the capital of South Korea? Answer:,-0.003173828125,-0.015625,False,1,3.68148136138916,3.6958558559417725,0.014374494552612305,0.0003193243173882365,1.33514404296875e-05,0.015350877192982455,0.0078125,75,75,False
L0.H0,4,What is the capital of China? Answer:,0.00048828125,-0.0078125,False,1,4.079807758331299,4.078939437866211,-0.0008683204650878906,8.356283069588244e-05,-9.5367431640625e-07,-0.0019065776930409914,-0.01171875,130,131,False
L0.H0,5,What is the capital of India? Answer:,0.0013427734375,0.015625,False,1,4.6582932472229,4.651125431060791,-0.007167816162109375,4.047749825986102e-05,-9.5367431640625e-07,-0.004863221884498481,0.0,293,293,False
L0.H0,6,What is the capital of Russia? Answer:,-0.000732421875,0.0,False,1,3.6555466651916504,3.648167371749878,-0.007379293441772461,0.0006076258723624051,2.47955322265625e-05,0.006435643564356435,0.0078125,22,22,False
L0.H0,7,What is the capital of the United Kingdom? Answer:,-0.000244140625,0.0,False,1,3.537386178970337,3.5441536903381348,0.0067675113677978516,0.0005004703998565674,1.1920928955078125e-07,0.0106951871657754,0.01171875,1937,1927,True
L0.H0,8,What is the capital of Argentina? Answer:,-0.0048828125,-0.03125,False,1,2.824985980987549,2.866057872772217,0.04107189178466797,0.0005342536605894566,-1.1920928955078125e-07,-0.015151515151515152,-0.033203125,1835,1872,False
L0.H0,9,What is the capital of Egypt? Answer:,-0.00244140625,-0.015625,False,1,3.6795191764831543,3.688854217529297,0.009335041046142578,9.748840238898993e-05,-1.1920928955078125e-06,-0.0031565656565656565,-0.01171875,151,152,False
L0.H0,10,What is the capital of South Africa? Answer:,0.00146484375,0.015625,False,1,2.780916452407837,2.769946575164795,-0.010969877243041992,-1.7704885976854712e-05,-5.960464477539063e-08,-0.01818181818181818,-0.009765625,2770,2772,False
L0.H0,11,What is the capital of Turkey? Answer:,0.000732421875,0.0078125,False,1,3.736124038696289,3.728692054748535,-0.007431983947753906,-5.0153874326497316e-05,-3.5762786865234375e-07,-0.005952380952380952,0.0,582,583,False
L0.H0,12,What is the capital of Indonesia? Answer:,-0.0009765625,-0.0078125,False,1,1.880940318107605,1.887474775314331,0.006534457206726074,0.00014907598961144686,-9.5367431640625e-07,-0.0011001100110011,-0.0078125,41,41,False
L0.H0,13,What is the capital of Saudi Arabia? Answer:,0.00390625,0.0078125,False,1,4.262697219848633,4.252037525177002,-0.01065969467163086,0.0001799730525817722,-1.6689300537109375e-06,-0.009234828496042216,-0.015625,297,297,False
L0.H0,14,What is the capital of Thailand? Answer:,0.001708984375,0.015625,False,1,3.3456602096557617,3.3436999320983887,-0.001960277557373047,0.00029799799085594714,-1.811981201171875e-05,-0.034141958670260555,-0.0234375,109,111,False
L0.H0,15,What is the capital of Vietnam? Answer:,-0.00146484375,-0.0234375,False,1,3.2681307792663574,3.2735421657562256,0.005411386489868164,0.00014766614185646176,5.960464477539063e-08,0.016129032258064516,-0.009765625,2479,2472,True
