head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,The medical field that treats the heart is called,-0.001220703125,0.0,False,1,2.2081334590911865,2.2097835540771484,0.001650094985961914,-1.0911036952165887e-05,-1.7881393432617188e-07,-0.0027598896044158236,0.0,135,135,False
L0.H0,1,The medical field that treats the brain is called,-0.00537109375,-0.015625,False,1,1.7158137559890747,1.731990098953247,0.016176342964172363,0.00017929449677467346,0.0,0.0,0.00390625,1244,1249,False
L0.H0,2,The medical field that treats the skin is called,-0.001953125,0.0,False,1,1.4327905178070068,1.4372265338897705,0.004436016082763672,9.025563485920429e-05,-1.2516975402832031e-06,-0.021671826625386997,-0.01953125,120,120,False
L0.H0,3,The medical field that treats the bones is called,0.002685546875,0.015625,False,1,3.053340435028076,3.044950246810913,-0.008390188217163086,-4.2664032662287354e-05,0.0,0.0,0.00390625,2125,2121,True
L0.H0,4,The medical field that treats the eyes is called,-0.0029296875,-0.015625,False,1,2.26009202003479,2.2731170654296875,0.013025045394897461,6.623048102483153e-05,1.1444091796875e-05,0.017391304347826087,0.0078125,47,47,False
L0.H0,5,The medical field that treats the ears is called,-0.0009765625,0.0,False,1,2.3048906326293945,2.3057620525360107,0.0008714199066162109,-1.2347882147878408e-06,5.960464477539063e-08,0.011764705882352941,0.0078125,672,670,True
L0.H0,6,The medical field that treats the lungs is called,-0.00244140625,-0.015625,False,1,3.001950263977051,3.0124640464782715,0.010513782501220703,8.167128544300795e-05,5.960464477539062e-07,0.023310023310023312,0.015625,343,341,True
L0.H0,7,The medical field that treats the kidneys is called,-0.0029296875,-0.015625,False,1,1.1556395292282104,1.1676084995269775,0.01196897029876709,0.0002514375373721123,-7.152557373046875e-07,-0.025052192066805846,-0.0390625,160,163,False
L0.H0,8,The medical field that treats the stomach is called,0.0048828125,0.0390625,False,1,3.3674633502960205,3.3605146408081055,-0.006948709487915039,0.0001818663440644741,2.86102294921875e-06,0.004070556309362279,0.015625,64,63,True
L0.H0,9,The medical field that treats the liver is called,0.001953125,0.0390625,False,1,2.4970922470092773,2.4759507179260254,-0.021141529083251953,0.00046309828758239746,0.0,0.0,0.0390625,736,721,True
L0.H0,10,The medical field that treats the immune system is called,0.00634765625,0.03125,False,1,2.1556668281555176,2.1276235580444336,-0.028043270111083984,0.0004626836162060499,-2.6226043701171875e-06,-0.01794453507340946,0.0,99,100,False
L0.H0,11,The medical field that treats the hormones is called,0.006103515625,0.0390625,False,1,3.0779223442077637,3.0580203533172607,-0.01990199089050293,0.0003578696632757783,7.748603820800781e-07,0.024714828897338403,0.046875,534,516,True
L0.H0,12,The medical field that treats the teeth is called,0.0010986328125,0.0,False,1,2.7437338829040527,2.743865966796875,0.00013208389282226562,0.00014272081898525357,0.0003662109375,0.004819277108433735,0.0,4,4,False
L0.H0,13,The medical field that treats the gums is called,0.0029296875,0.03125,False,1,2.826000690460205,2.8071320056915283,-0.018868684768676758,0.00029673153767362237,1.5497207641601562e-06,0.014697569248162803,0.03515625,152,151,True
L0.H0,14,The medical field that treats the joints is called,0.002197265625,0.03125,False,1,3.13553524017334,3.1206977367401123,-0.014837503433227539,0.00023547769524157047,-1.430511474609375e-06,-0.006802721088435374,0.015625,114,114,False
L0.H0,15,The medical field that treats the nervous system is called,0.00537109375,0.015625,False,1,1.6745084524154663,1.668602466583252,-0.0059059858322143555,0.00036386866122484207,-6.556510925292969e-07,-0.005804749340369393,0.0,73,73,False
L0.H0,16,The medical field that treats the reproductive system is called,-0.0009765625,-0.03125,False,1,2.8127076625823975,2.8186402320861816,0.00593256950378418,-1.5523401089012623e-05,0.001708984375,0.012511170688114389,-0.015625,2,2,False
L0.H0,17,The medical field that treats pregnancy is called,-0.005859375,-0.015625,False,1,2.3343842029571533,2.3534274101257324,0.0190432071685791,0.00023088580928742886,3.814697265625e-06,0.003902439024390244,0.0,43,43,False
L0.H0,18,The medical field that treats children is called,0.00732421875,0.0625,False,1,1.5888071060180664,1.5525811910629272,-0.03622591495513916,0.0005971718928776681,-2.2411346435546875e-05,-0.02816057519472738,0.0234375,32,31,True
L0.H0,19,The medical field that treats mental disorders is called,-0.00146484375,-0.015625,False,1,2.4688968658447266,2.4829905033111572,0.014093637466430664,0.0002923819702118635,1.7881393432617188e-07,0.045454545454545456,0.03515625,929,907,True
L0.H0,20,The medical field that treats tumors is called,-0.0068359375,-0.046875,False,1,2.240467071533203,2.2638919353485107,0.023424863815307617,0.0006463134195655584,5.960464477539062e-07,0.0641025641025641,0.02734375,549,534,True
L0.H0,21,The medical field that treats allergies is called,0.00146484375,-0.015625,False,1,2.3414125442504883,2.357083797454834,0.015671253204345703,0.0003158566541969776,2.2649765014648438e-06,0.011987381703470032,-0.0078125,81,81,False
L0.H0,22,The medical field that treats the digestive system is called,0.00048828125,0.015625,False,1,2.323657989501953,2.322192668914795,-0.0014653205871582031,0.0005569177446886897,3.2186508178710938e-06,0.029427792915531336,0.04296875,145,141,True
L0.H0,23,The medical field that treats the urinary system is called,-0.00244140625,-0.015625,False,1,1.587078332901001,1.5973361730575562,0.010257840156555176,0.0002986013423651457,9.72747802734375e-05,0.04533333333333334,0.03125,19,19,False
L0.H0,24,The medical field that treats the thyroid is called,-0.008544921875,-0.03125,False,1,2.9579482078552246,2.975205183029175,0.017256975173950195,0.0004965015687048435,1.0728836059570312e-06,0.012517385257301807,0.0078125,203,202,True
L0.H0,25,The medical field that treats the prostate is called,0.000732421875,0.03125,False,1,3.2278811931610107,3.214168071746826,-0.01371312141418457,0.000245960196480155,-0.00017547607421875,-0.04410354745925216,-0.015625,23,23,False
L0.H0,26,The medical field that treats the female reproductive organs is called,0.0,0.0,False,1,2.3122260570526123,2.309924364089966,-0.0023016929626464844,3.5278673749417067e-05,0.0001373291015625,0.007992895204262877,0.0078125,10,10,False
L0.H0,27,The medical field that treats the male reproductive organs is called,-0.00244140625,-0.046875,False,1,2.444213390350342,2.4609925746917725,0.016779184341430664,9.029707871377468e-05,2.384185791015625e-07,0.002911208151382824,-0.0390625,171,174,False
L0.H0,28,The medical field that treats the feet is called,-0.0009765625,0.015625,False,1,0.48630616068840027,0.4907052516937256,0.004399091005325317,0.00019024498760700226,0.0,0.0,0.029296875,1715,1713,True
L0.H0,29,The medical field that treats sleep disorders is called,-0.00439453125,-0.0546875,False,1,2.3684029579162598,2.39829158782959,0.029888629913330078,0.000203934105229564,7.152557373046875e-07,0.010380622837370242,-0.03515625,258,261,False
L0.H0,30,The medical field that treats the elderly is called,-0.0078125,-0.046875,False,1,1.4334642887115479,1.4750604629516602,0.041596174240112305,0.0005050897016189992,8.58306884765625e-06,0.005454545454545455,-0.03125,19,19,False
L0.H0,31,The medical field that treats cancer is called,0.02001953125,0.09375,False,1,1.7625312805175781,1.6901824474334717,-0.07234883308410645,0.001105024479329586,-6.794929504394531e-06,-0.060126582278481014,0.0,82,84,False
L0.H1,0,The medical field that treats the heart is called,-0.002197265625,0.0,False,1,2.2081334590911865,2.205916404724121,-0.0022170543670654297,-0.00011875666677951813,-3.5762786865234375e-07,-0.005519779208831647,0.0,135,136,False
L0.H1,1,The medical field that treats the brain is called,-0.00341796875,0.0,False,1,1.7158137559890747,1.722560167312622,0.006746411323547363,0.00037313206121325493,0.0,0.0,0.00390625,1244,1240,True
L0.H1,2,The medical field that treats the skin is called,-0.0029296875,-0.015625,False,1,1.4327905178070068,1.443945050239563,0.011154532432556152,8.802092634141445e-05,7.152557373046875e-07,0.01238390092879257,0.0,120,120,False
L0.H1,3,The medical field that treats the bones is called,0.000732421875,0.015625,False,1,3.053340435028076,3.0458436012268066,-0.007496833801269531,0.0001309786457568407,0.0,0.0,0.009765625,2125,2115,True
L0.H1,4,The medical field that treats the eyes is called,0.00146484375,0.0,False,1,2.26009202003479,2.256836175918579,-0.0032558441162109375,0.00027592305559664965,-1.2874603271484375e-05,-0.01956521739130435,-0.0234375,47,48,False
L0.H1,5,The medical field that treats the ears is called,-0.00048828125,0.0,False,1,2.3048906326293945,2.3058724403381348,0.0009818077087402344,-0.00011432787869125605,5.960464477539063e-08,0.011764705882352941,0.00390625,672,669,True
L0.H1,6,The medical field that treats the lungs is called,-0.00146484375,-0.015625,False,1,3.001950263977051,3.0065863132476807,0.004636049270629883,-2.4548397050239146e-05,-1.1920928955078125e-07,-0.004662004662004662,-0.015625,343,344,False
L0.H1,7,The medical field that treats the kidneys is called,-0.00048828125,0.0,False,1,1.1556395292282104,1.1566433906555176,0.001003861427307129,0.0003198141639586538,-9.5367431640625e-07,-0.033402922755741124,-0.03515625,160,163,False
L0.H1,8,The medical field that treats the stomach is called,-0.0003662109375,0.0078125,False,1,3.3674633502960205,3.3603270053863525,-0.007136344909667969,0.00017954898066818714,-1.430511474609375e-06,-0.0020352781546811396,0.0078125,64,64,False
L0.H1,9,The medical field that treats the liver is called,0.00146484375,0.015625,False,1,2.4970922470092773,2.487779140472412,-0.009313106536865234,5.2614836022257805e-05,-5.960464477539063e-08,-0.009345794392523364,0.00390625,736,729,True
L0.H1,10,The medical field that treats the immune system is called,0.0029296875,0.015625,False,1,2.1556668281555176,2.1489901542663574,-0.006676673889160156,0.0002481616975273937,-1.3113021850585938e-06,-0.00897226753670473,0.0,99,100,False
L0.H1,11,The medical field that treats the hormones is called,0.004150390625,0.0,False,1,3.0779223442077637,3.075530529022217,-0.002391815185546875,0.00018642836948856711,1.8477439880371094e-06,0.058935361216730035,0.046875,534,512,True
L0.H1,12,The medical field that treats the teeth is called,-0.0028076171875,-0.0234375,False,1,2.7437338829040527,2.7528018951416016,0.009068012237548828,8.729037290322594e-06,0.00030517578125,0.004016064257028112,-0.0078125,4,4,False
L0.H1,13,The medical field that treats the gums is called,0.001220703125,0.015625,False,1,2.826000690460205,2.8166849613189697,-0.009315729141235352,5.316527676768601e-05,8.344650268554688e-07,0.00791407574901074,0.01953125,152,151,True
L0.H1,14,The medical field that treats the joints is called,-0.00146484375,-0.0078125,False,1,3.13553524017334,3.1379857063293457,0.0024504661560058594,-2.220823080278933e-05,3.5762786865234375e-07,0.0017006802721088435,0.0,114,114,False
L0.H1,15,The medical field that treats the nervous system is called,0.00244140625,0.0,False,1,1.6745084524154663,1.675382375717163,0.0008739233016967773,-0.00022047827951610088,-4.172325134277344e-07,-0.0036939313984168864,-0.0078125,73,73,False
L0.H1,16,The medical field that treats the reproductive system is called,-0.001708984375,-0.03125,False,1,2.8127076625823975,2.824596881866455,0.011889219284057617,5.857774522155523e-05,-0.000732421875,-0.005361930294906166,-0.03125,2,2,False
L0.H1,17,The medical field that treats pregnancy is called,-0.00048828125,0.0,False,1,2.3343842029571533,2.334243059158325,-0.000141143798828125,0.0002582258894108236,-9.5367431640625e-07,-0.000975609756097561,0.0,43,43,False
L0.H1,18,The medical field that treats children is called,0.0029296875,0.03125,False,1,1.5888071060180664,1.5735909938812256,-0.01521611213684082,0.00027837729430757463,-3.910064697265625e-05,-0.04913121629718394,-0.0234375,32,32,False
L0.H1,19,The medical field that treats mental disorders is called,-0.00048828125,-0.015625,False,1,2.4688968658447266,2.4725213050842285,0.003624439239501953,4.744625766761601e-05,0.0,0.0,-0.01953125,929,935,False
L0.H1,20,The medical field that treats tumors is called,-0.003173828125,-0.015625,False,1,2.240467071533203,2.2490317821502686,0.00856471061706543,0.00011056463699787855,0.0,0.0,-0.0078125,549,552,False
L0.H1,21,The medical field that treats allergies is called,0.003173828125,0.015625,False,1,2.3414125442504883,2.3357625007629395,-0.005650043487548828,0.00021297403145581484,-1.1920928955078125e-06,-0.006309148264984227,0.0,81,82,False
L0.H1,22,The medical field that treats the digestive system is called,-0.0029296875,0.0,False,1,2.323657989501953,2.3310043811798096,0.007346391677856445,0.000494089093990624,7.748603820800781e-07,0.007084468664850136,0.01171875,145,144,True
L0.H1,23,The medical field that treats the urinary system is called,-0.00439453125,-0.015625,False,1,1.587078332901001,1.6065618991851807,0.019483566284179688,-4.1403138311579823e-05,5.53131103515625e-05,0.025777777777777778,0.015625,19,19,False
L0.H1,24,The medical field that treats the thyroid is called,0.00146484375,0.0078125,False,1,2.9579482078552246,2.9535794258117676,-0.004368782043457031,8.469933527521789e-05,5.960464477539063e-08,0.0006954102920723226,0.00390625,203,203,False
L0.H1,25,The medical field that treats the prostate is called,0.002197265625,0.015625,False,1,3.2278811931610107,3.2195892333984375,-0.008291959762573242,5.748268449679017e-06,-6.866455078125e-05,-0.01725790987535954,-0.0078125,23,23,False
L0.H1,26,The medical field that treats the female reproductive organs is called,0.001953125,0.015625,False,1,2.3122260570526123,2.301443099975586,-0.010782957077026367,0.00021368885063566267,7.62939453125e-05,0.004440497335701598,0.015625,10,10,False
L0.H1,27,The medical field that treats the male reproductive organs is called,-0.00390625,-0.03125,False,1,2.444213390350342,2.4626197814941406,0.018406391143798828,-0.00029667391208931804,1.9073486328125e-06,0.023289665211062592,0.0,171,170,True
L0.H1,28,The medical field that treats the feet is called,-0.0009765625,-0.015625,False,1,0.48630616068840027,0.49202561378479004,0.0057194530963897705,0.00017816334730014205,0.0,0.0,-0.005859375,1715,1728,False
L0.H1,29,The medical field that treats sleep disorders is called,0.001953125,0.015625,False,1,2.3684029579162598,2.362022638320923,-0.006380319595336914,0.0005575870163738728,1.0728836059570312e-06,0.015570934256055362,0.02734375,258,252,True
L0.H1,30,The medical field that treats the elderly is called,-0.00146484375,-0.015625,False,1,1.4334642887115479,1.440302848815918,0.006838560104370117,0.00016539488569833338,2.09808349609375e-05,0.013333333333333334,0.0,19,19,False
L0.H1,31,The medical field that treats cancer is called,0.013671875,0.0625,False,1,1.7625312805175781,1.71358060836792,-0.0489506721496582,0.0008762390352785587,-1.0728836059570312e-06,-0.00949367088607595,0.03125,82,81,True
L0.H2,0,The medical field that treats the heart is called,0.001708984375,0.0,False,1,2.2081334590911865,2.2070047855377197,-0.0011286735534667969,-0.00011267579975537956,7.748603820800781e-07,0.011959521619135235,0.0078125,135,135,False
L0.H2,1,The medical field that treats the brain is called,-0.00341796875,0.0,False,1,1.7158137559890747,1.7233827114105225,0.007568955421447754,0.00037286593578755856,0.0,0.0,0.0078125,1244,1240,True
L0.H2,2,The medical field that treats the skin is called,-0.00244140625,-0.015625,False,1,1.4327905178070068,1.441197156906128,0.008406639099121094,0.0002881769905798137,1.1920928955078125e-06,0.02063983488132095,0.0078125,120,120,False
L0.H2,3,The medical field that treats the bones is called,-0.000244140625,0.0,False,1,3.053340435028076,3.0558090209960938,0.002468585968017578,-8.514197543263435e-05,5.960464477539063e-08,0.02564102564102564,0.0078125,2125,2107,True
L0.H2,4,The medical field that treats the eyes is called,0.0,0.0,False,1,2.26009202003479,2.259061336517334,-0.0010306835174560547,0.00012572509876918048,-1.0013580322265625e-05,-0.015217391304347827,-0.015625,47,47,False
L0.H2,5,The medical field that treats the ears is called,0.000244140625,0.0078125,False,1,2.3048906326293945,2.301706314086914,-0.0031843185424804688,9.368089376948774e-05,0.0,0.0,0.0078125,672,674,False
L0.H2,6,The medical field that treats the lungs is called,-0.000732421875,0.0,False,1,3.001950263977051,3.0018155574798584,-0.0001347064971923828,3.2021765946410596e-05,2.980232238769531e-07,0.011655011655011656,0.015625,343,339,True
L0.H2,7,The medical field that treats the kidneys is called,-0.00048828125,0.0,False,1,1.1556395292282104,1.1568759679794312,0.0012364387512207031,-3.2770192774478346e-05,-1.0132789611816406e-06,-0.03549060542797495,-0.03515625,160,163,False
L0.H2,8,The medical field that treats the stomach is called,-0.001953125,-0.0078125,False,1,3.3674633502960205,3.3667943477630615,-0.0006690025329589844,9.534333366900682e-05,-8.106231689453125e-06,-0.011533242876526458,-0.0078125,64,65,False
L0.H2,9,The medical field that treats the liver is called,-0.001953125,-0.0078125,False,1,2.4970922470092773,2.5024235248565674,0.005331277847290039,-5.077826790511608e-05,0.0,0.0,-0.00390625,736,736,False
L0.H2,10,The medical field that treats the immune system is called,0.001953125,0.015625,False,1,2.1556668281555176,2.1488091945648193,-0.006857633590698242,0.0004094011092092842,-4.76837158203125e-07,-0.0032626427406199023,0.0078125,99,98,True
L0.H2,11,The medical field that treats the hormones is called,0.00390625,0.0,False,1,3.0779223442077637,3.075773239135742,-0.0021491050720214844,0.00018699446809478104,1.7285346984863281e-06,0.055133079847908745,0.04296875,534,514,True
