head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,I received a thoughtful gift from someone. The word for this feeling is ',-0.000244140625,-0.0703125,False,1,6.049956321716309,6.059259414672852,0.009303092956542969,0.00046494166599586606
L0.H0,1,I finished a difficult task successfully. The word for this feeling is ',-0.0008544921875,-0.078125,False,1,5.731848239898682,5.737597465515137,0.005749225616455078,0.000638935889583081
L0.H0,2,I spent a peaceful day with people I love. The word for this feeling is ',0.0047607421875,-0.0703125,False,1,5.456441402435303,5.453794002532959,-0.00264739990234375,0.0007822058396413922
L0.H0,3,I completed an important project successfully. The word for this feeling is ',-0.002197265625,-0.046875,False,1,5.6994452476501465,5.714951515197754,0.015506267547607422,0.0003942359471693635
L0.H0,4,I trusted that everything would work out. The word for this feeling is ',0.00335693359375,-0.0390625,False,1,5.965527534484863,5.946253299713135,-0.019274234771728516,0.0009822699939832091
L0.H0,5,I solved a problem that seemed impossible before. The word for this feeling is ',0.000213623046875,-0.0859375,False,1,6.8082780838012695,6.835359573364258,0.02708148956298828,0.0006835899548605084
L0.H0,6,I finally achieved a goal I worked toward for years. The word for this feeling is ',0.00091552734375,-0.03125,False,1,5.943280220031738,5.938249111175537,-0.005031108856201172,0.0008902798290364444
L0.H0,7,I experienced something beautiful that took my breath away. The word for this feeling is ',0.000213623046875,-0.0859375,False,1,6.265007972717285,6.287168979644775,0.022161006927490234,0.0005997745902277529
L0.H0,8,I achieved something I once doubted I could do. The word for this feeling is ',0.002105712890625,-0.078125,False,1,6.315858364105225,6.318873405456543,0.0030150413513183594,0.0011897688964381814
L0.H0,9,I realized everything was going well. The word for this feeling is ',-0.000518798828125,-0.0546875,False,1,6.424594879150391,6.433284759521484,0.00868988037109375,0.0004954414907842875
L0.H0,10,I experienced complete calm and quiet. The word for this feeling is ',-0.003662109375,-0.109375,False,1,5.793210506439209,5.8088836669921875,0.015673160552978516,0.00046508031664416194
L0.H0,11,I received sincere praise for my work. The word for this feeling is ',0.0003662109375,-0.046875,False,1,5.997929573059082,5.99888277053833,0.0009531974792480469,0.0008242946350947022
L0.H0,12,I appreciated the beauty of a sunset. The word for this feeling is ',-0.00347900390625,-0.109375,False,1,5.795451641082764,5.838227272033691,0.042775630950927734,0.0007153675542213023
L0.H0,13,I discovered something new and exciting. The word for this feeling is ',7.62939453125e-05,-0.09375,False,1,6.812087535858154,6.835392475128174,0.02330493927001953,0.0008413945324718952
L0.H0,14,I realized my hard work paid off. The word for this feeling is ',-0.00018310546875,-0.0546875,False,1,6.233534336090088,6.244105815887451,0.010571479797363281,0.0005627673817798495
L0.H0,15,I felt proud of something I created. The word for this feeling is ',9.1552734375e-05,-0.078125,False,1,6.313411712646484,6.328891754150391,0.01548004150390625,0.0005052443593740463
L0.H0,16,I felt peaceful after meditation. The word for this feeling is ',-0.00103759765625,-0.0859375,False,1,5.709367275238037,5.707294464111328,-0.0020728111267089844,0.0006965594366192818
L0.H0,17,I overcame a fear that held me back for years. The word for this feeling is ',-0.002349853515625,-0.125,False,1,6.149905681610107,6.186422348022461,0.036516666412353516,0.0012778877280652523
L0.H0,18,I helped someone and saw them smile. The word for this feeling is ',-0.00054931640625,-0.09375,False,1,5.817574977874756,5.824206829071045,0.0066318511962890625,0.0007395900902338326
L0.H0,19,I experienced deep contentment. The word for this feeling is ',-0.0001220703125,-0.0546875,False,1,5.875058174133301,5.879228591918945,0.004170417785644531,0.0003813713847193867
L0.H0,20,I felt inspired by a powerful story. The word for this feeling is ',-0.00286865234375,-0.09375,False,1,6.334240913391113,6.353116035461426,0.0188751220703125,0.0005052969790995121
L0.H0,21,I admired someone greatly. The word for this feeling is ',-0.0101318359375,-0.15625,False,1,4.588910102844238,4.631584167480469,0.04267406463623047,0.0006450352957472205
L0.H0,22,I saw someone I love succeed. The word for this feeling is ',0.00079345703125,-0.0703125,False,1,5.694978713989258,5.6901936531066895,-0.004785060882568359,0.0006770574836991727
L0.H0,23,I made someone laugh when they were sad. The word for this feeling is ',-0.00054931640625,-0.140625,False,1,5.724687576293945,5.748185157775879,0.023497581481933594,0.0006663849344477057
L0.H0,24,I experienced a moment of pure beauty in nature. The word for this feeling is ',-0.00177001953125,-0.078125,False,1,5.924173355102539,5.933787822723389,0.00961446762084961,0.0003541716723702848
L0.H0,25,I received recognition for my achievements. The word for this feeling is ',0.00091552734375,-0.0625,False,1,5.863525390625,5.867203712463379,0.0036783218383789062,0.000577350496314466
L0.H0,26,I was warmly welcomed somewhere. The word for this feeling is ',-0.000518798828125,-0.125,False,1,6.226823806762695,6.234027862548828,0.0072040557861328125,0.0007318708230741322
L0.H0,27,I learned a skill I once thought I couldn't master. The word for this feeling is ',0.000335693359375,-0.0390625,False,1,6.293609619140625,6.290841102600098,-0.0027685165405273438,0.001437159487977624
L0.H0,28,I felt strong enthusiasm for a new idea. The word for this feeling is ',-0.0101318359375,-0.1640625,False,1,5.644242286682129,5.702083110809326,0.057840824127197266,0.0009080881718546152
L0.H0,29,I felt grateful for everything in my life. The word for this feeling is ',-0.00537109375,-0.15625,False,1,4.328512191772461,4.381398677825928,0.0528864860534668,0.0007414605934172869
L0.H0,30,I reunited with a close friend after many years. The word for this feeling is ',-0.00030517578125,-0.09375,False,1,6.164839744567871,6.179346561431885,0.014506816864013672,0.0004004178335890174
L0.H0,31,I enjoyed a perfect quiet moment. The word for this feeling is ',0.001068115234375,-0.046875,False,1,6.172025680541992,6.177699089050293,0.005673408508300781,0.0004945291439071298
L0.H0,32,I was chosen for an opportunity among many candidates. The word for this feeling is ',-0.000732421875,-0.0546875,False,1,6.458197593688965,6.464483261108398,0.006285667419433594,0.0002561176079325378
L0.H0,33,I saw someone succeed because of my help. The word for this feeling is ',0.0001220703125,-0.078125,False,1,6.121220588684082,6.133901596069336,0.012681007385253906,0.0006980812177062035
L0.H0,34,I watched the sunrise after a long night. The word for this feeling is ',0.000335693359375,-0.0859375,False,1,6.357938766479492,6.3716044425964355,0.01366567611694336,0.0005882393452338874
L0.H0,35,I celebrated a meaningful achievement. The word for this feeling is ',0.0,-0.1015625,False,1,5.678614139556885,5.691126346588135,0.01251220703125,0.0007402920164167881
L0.H0,36,I felt strong affection for someone dear to me. The word for this feeling is ',0.0054931640625,-0.0625,False,1,5.014204025268555,5.031510829925537,0.017306804656982422,0.000899074540939182
L0.H0,37,I felt deep appreciation for everything around me. The word for this feeling is ',-0.0021820068359375,-0.1484375,True,3,5.908238410949707,5.915475368499756,0.007236957550048828,0.0006203314987942576
L0.H0,38,I felt motivated to pursue a new dream. The word for this feeling is ',-0.000823974609375,-0.0546875,False,1,5.969027996063232,5.978517532348633,0.00948953628540039,0.0002686302177608013
L0.H0,39,I opened a message containing wonderful news. The word for this feeling is ',0.00323486328125,-0.03125,False,1,5.931968688964844,5.937243461608887,0.005274772644042969,0.0008457149378955364
L0.H0,40,I shared laughter with friends. The word for this feeling is ',-0.000335693359375,-0.1171875,False,1,6.214015960693359,6.232654094696045,0.018638134002685547,0.0007420280599035323
L0.H0,41,I heard my favorite song unexpectedly. The word for this feeling is ',-0.004669189453125,-0.1171875,False,1,6.60070276260376,6.645533084869385,0.044830322265625,0.0014544450677931309
L0.H0,42,I saw kindness from a stranger. The word for this feeling is ',0.0009765625,-0.1015625,False,1,4.873284816741943,4.9103684425354,0.03708362579345703,0.0014529784675687551
L0.H0,43,I trusted someone completely. The word for this feeling is ',0.0037841796875,-0.0546875,False,1,5.4426984786987305,5.42034912109375,-0.02234935760498047,0.0007188750896602869
L0.H0,44,I felt hopeful about what comes next. The word for this feeling is ',-0.000732421875,-0.03125,False,1,4.217276573181152,4.229868412017822,0.012591838836669922,0.00021048705093562603
L0.H0,45,I heard that a loved one was safe after danger. The word for this feeling is ',6.103515625e-05,-0.0859375,False,1,5.621736526489258,5.618081092834473,-0.0036554336547851562,0.0005151437362655997
L0.H0,46,I was filled with excitement about the future. The word for this feeling is ',0.002685546875,-0.03125,False,1,5.762755870819092,5.77045202255249,0.0076961517333984375,0.0006107138469815254
L0.H0,47,I received wonderful news that changed my whole day. The word for this feeling is ',0.001312255859375,-0.0703125,False,1,6.031338214874268,6.046115875244141,0.014777660369873047,0.0014492083573713899
L0.H0,48,I enjoyed a moment of playful fun. The word for this feeling is ',-0.00042724609375,-0.0625,False,1,6.367822170257568,6.381564140319824,0.01374197006225586,0.0002762839721981436
