head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,Answer with a French word. English: 'Sun' / French: ',-0.0029296875,-0.015625,False,1,1.6634986400604248,1.6774152517318726,0.013916611671447754,-1.4575591194443405e-05,-6.67572021484375e-06,-0.004122497055359246,-0.015625,28,28,False
L0.H0,1,Answer with a French word. English: 'Moon' / French: ',0.0030517578125,0.015625,False,1,3.936178684234619,3.9275333881378174,-0.008645296096801758,0.0001294529065489769,-5.7220458984375e-05,-0.010423905489923557,-0.0078125,22,22,False
L0.H0,2,Answer with a French word. English: 'Father' / French: ',-0.00146484375,0.015625,False,1,2.1165740489959717,2.107363700866699,-0.009210348129272461,0.00016580219380557537,-2.980232238769531e-07,-0.003213367609254499,0.015625,144,142,True
L0.H0,3,Answer with a French word. English: 'Time' / French: ',-0.00048828125,0.0,False,1,0.6818049550056458,0.687670886516571,0.005865931510925293,-0.00032213516533374786,6.4849853515625e-05,0.014769765421372719,0.015625,4,4,False
L0.H0,4,Answer with a French word. English: 'Water' / French: ',-0.004150390625,-0.015625,False,1,3.225471019744873,3.2402329444885254,0.014761924743652344,0.00012126087676733732,1.52587890625e-05,0.00138217000691085,0.0,14,14,False
L0.H0,5,Answer with a French word. English: 'Mother' / French: ',0.0,0.0,False,1,2.105421543121338,2.1041979789733887,-0.0012235641479492188,-0.0002715987793635577,-1.1920928955078125e-07,-0.01680672268907563,-0.015625,652,652,False
L0.H0,6,Answer with a French word. English: 'Bread' / French: ',0.004638671875,0.015625,False,1,1.8446714878082275,1.829233169555664,-0.015438318252563477,0.0003034305409528315,-4.76837158203125e-05,-0.022202486678507993,-0.015625,17,16,True
L0.H0,7,Answer with a French word. English: 'Sky' / French: ',-0.00341796875,-0.015625,False,1,3.8966565132141113,3.918398380279541,0.021741867065429688,0.00013520632637664676,2.980232238769531e-07,0.020161290322580645,0.015625,1089,1090,False
L0.H0,8,Answer with a French word. English: 'Door' / French: ',0.0009765625,0.0,False,1,3.7130560874938965,3.715803861618042,0.002747774124145508,0.00019253615755587816,1.5497207641601562e-06,0.027513227513227514,0.0234375,441,437,True
L0.H0,9,Answer with a French word. English: 'Year' / French: ',0.003173828125,0.015625,False,1,2.865412473678589,2.8542416095733643,-0.01117086410522461,0.00011324432853143662,-2.4318695068359375e-05,-0.04961089494163424,-0.046875,78,79,False
L0.H0,10,Answer with a French word. English: 'Big' / French: ',-0.001220703125,-0.0078125,False,1,3.762178659439087,3.7645699977874756,0.002391338348388672,6.874727841932327e-05,2.288818359375e-05,0.008664259927797834,0.0078125,38,38,False
L0.H0,11,Answer with a French word. English: 'Dog' / French: ',0.0050048828125,0.0390625,False,1,3.6253676414489746,3.5882487297058105,-0.03711891174316406,0.00036568520590662956,-1.621246337890625e-05,-0.030168589174800354,-0.015625,102,101,True
L0.H0,12,Answer with a French word. English: 'Today' / French: ',0.00439453125,0.015625,False,1,2.4388275146484375,2.428814172744751,-0.010013341903686523,0.00013796391431242228,-1.7881393432617188e-07,-0.017341040462427744,-0.01171875,583,588,False
L0.H0,13,Answer with a French word. English: 'City' / French: ',0.00341796875,-0.015625,False,1,2.407865047454834,2.4318699836730957,0.02400493621826172,5.763210356235504e-05,1.4543533325195312e-05,0.03311617806731813,0.0078125,85,84,True
L0.H0,14,Answer with a French word. English: 'Love' / French: ',0.001220703125,0.015625,False,1,3.2069263458251953,3.1987099647521973,-0.008216381072998047,0.00020290049724280834,-1.1920928955078125e-07,-0.02247191011235955,-0.01171875,931,936,False
L0.H0,15,Answer with a French word. English: 'Book' / French: ',-0.0035400390625,-0.0078125,False,1,3.8467471599578857,3.852876663208008,0.00612950325012207,9.12635587155819e-05,-5.960464477539063e-08,-0.01639344262295082,-0.00390625,1866,1883,False
L0.H0,16,Answer with a French word. English: 'Road' / French: ',-0.003662109375,-0.015625,False,1,3.1732215881347656,3.1840603351593018,0.010838747024536133,7.545296102762222e-05,-7.152557373046875e-06,-0.01050420168067227,-0.015625,72,74,False
L0.H0,17,Answer with a French word. English: 'Woman' / French: ',-0.000732421875,-0.0078125,False,1,3.784435749053955,3.7890636920928955,0.00462794303894043,0.00018015451496466994,-7.62939453125e-05,-0.003799392097264438,-0.0078125,9,9,False
L0.H0,18,Answer with a French word. English: 'Milk' / French: ',-0.0015869140625,-0.0078125,False,1,3.952495813369751,3.944885730743408,-0.0076100826263427734,0.0001021414645947516,-1.6689300537109375e-05,-0.034280117531831536,-0.03125,121,122,False
L0.H0,19,Answer with a French word. English: 'Green' / French: ',0.0,-0.015625,False,1,3.0623679161071777,3.0748047828674316,0.012436866760253906,-0.00014209942310117185,4.38690185546875e-05,0.02286282306163022,0.0078125,37,37,False
L0.H0,20,Answer with a French word. English: 'Heart' / French: ',-0.00244140625,-0.015625,False,1,3.2366106510162354,3.2491488456726074,0.01253819465637207,1.8660306523088366e-05,5.7220458984375e-06,0.0017761989342806395,-0.0078125,29,29,False
L0.H0,21,Answer with a French word. English: 'Death' / French: ',0.00390625,0.0234375,False,1,4.110372543334961,4.096883296966553,-0.013489246368408203,6.81899837218225e-05,-3.4570693969726562e-06,-0.02707749766573296,-0.0234375,305,308,False
L0.H0,22,Answer with a French word. English: 'One' / French: ',-0.0018310546875,-0.015625,False,1,3.6544132232666016,3.665065288543701,0.01065206527709961,7.779221050441265e-06,0.0001068115234375,0.015317286652078774,0.0078125,17,17,False
L0.H0,23,Answer with a French word. English: 'Life' / French: ',0.001953125,0.015625,False,1,2.588224411010742,2.5775814056396484,-0.01064300537109375,-2.468924503773451e-05,1.52587890625e-05,0.0035746201966041107,0.015625,17,17,False
L0.H0,24,Answer with a French word. English: 'Daughter' / French: ',0.00140380859375,0.015625,False,1,4.2693681716918945,4.272777557373047,0.0034093856811523438,0.0001386926742270589,0.000244140625,0.0032310177705977385,0.0078125,3,3,False
L0.H0,25,Answer with a French word. English: 'Sugar' / French: ',0.00390625,0.0,False,1,2.4239072799682617,2.4360530376434326,0.012145757675170898,-7.869086402934045e-06,2.288818359375e-05,0.011246485473289597,0.0,27,27,False
