head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,dax wug mib dax wug,0.010009765625,-0.0234375,False,1,3.9531660079956055,3.9129841327667236,-0.040181875228881836,0.0019906973466277122
L0.H0,1,sax vemi loru sax vemi,-0.0087890625,-0.0234375,False,1,3.6433143615722656,3.6995954513549805,0.056281089782714844,0.0005601971643045545
L0.H0,2,zup kes noro zup kes,-0.02197265625,-0.0703125,False,1,4.077000141143799,4.175256729125977,0.09825658798217773,0.002717960625886917
L0.H0,3,pax renu cadi pax renu,-0.00439453125,-0.0234375,False,1,5.408154487609863,5.41611385345459,0.007959365844726562,0.00048795499606058
L0.H0,4,bex rami dulo bex rami,0.0023193359375,0.03125,False,1,5.545853137969971,5.534828186035156,-0.011024951934814453,0.0010031166020780802
L0.H0,5,gaf ner sipo gaf ner,-0.0162353515625,-0.1015625,False,1,5.119606018066406,5.236259937286377,0.1166539192199707,0.002717760857194662
L0.H0,6,rax pilo dend rax pilo,0.0130615234375,0.0625,False,1,5.881133079528809,5.801713943481445,-0.07941913604736328,0.000827905023470521
L0.H0,7,lup ter bano lup ter,-0.00439453125,-0.0390625,False,1,3.524237632751465,3.5559356212615967,0.031697988510131836,0.0006940762978047132
L0.H0,8,tob lera kimwe tob lera,0.01123046875,0.0625,False,1,4.199409008026123,4.105823993682861,-0.09358501434326172,0.0012512104585766792
L0.H0,9,kig mot sula kig mot,-0.00390625,-0.03125,False,1,5.202771186828613,5.240724086761475,0.03795289993286133,0.0011244354536756873
L0.H0,10,wex panu rof wex panu,0.01025390625,0.0625,False,1,4.3740997314453125,4.293330669403076,-0.08076906204223633,0.0010696221143007278
L0.H0,11,gim tora benu gim tora,-0.018798828125,-0.1015625,False,1,4.478531837463379,4.566673755645752,0.08814191818237305,0.001728457398712635
L0.H0,12,fep lon tas fep lon,-0.013916015625,-0.0703125,False,1,4.883144378662109,4.99621057510376,0.11306619644165039,0.0014828802086412907
L0.H0,13,yul fera sorn yul fera,0.0146484375,0.015625,False,1,4.172898292541504,4.080486297607422,-0.09241199493408203,0.002377638593316078
L0.H0,14,qer bota lisk qer bota,-0.00634765625,-0.0234375,False,1,4.67076301574707,4.696163177490234,0.025400161743164062,0.0005313500878401101
L0.H0,15,vot nera kiph vot nera,0.016845703125,0.046875,False,1,4.718808650970459,4.649109363555908,-0.06969928741455078,0.001259739976376295
L0.H0,16,wul kesa nori wul kesa,-0.001953125,-0.0234375,False,1,5.398901462554932,5.41316556930542,0.014264106750488281,0.0008058780222199857
L0.H0,17,taz lomu bire taz lomu,-0.004150390625,-0.03125,False,1,4.709577560424805,4.737146854400635,0.027569293975830078,0.000570994452573359
L0.H0,18,dov kena mip dov kena,0.00439453125,-0.0078125,False,1,3.9183688163757324,3.8884401321411133,-0.02992868423461914,0.001081201364286244
L0.H0,19,siv kor nali siv kor,0.0162353515625,0.046875,False,1,5.673257350921631,5.600308895111084,-0.07294845581054688,0.004193659871816635
L0.H0,20,nax piro meli nax piro,0.00518798828125,0.0546875,False,1,6.0103912353515625,5.969801902770996,-0.040589332580566406,0.0014941373374313116
L0.H0,21,qim vera sotu qim vera,0.0115966796875,0.0546875,False,1,5.2209553718566895,5.168871879577637,-0.052083492279052734,0.001111807068809867
L0.H0,22,zem turi lak zem turi,-0.009033203125,-0.0546875,False,1,3.7024831771850586,3.7630910873413086,0.06060791015625,0.0012678417842835188
L0.H0,23,jaf meru pilo jaf meru,0.00830078125,0.0234375,False,1,2.3980767726898193,2.343196153640747,-0.054880619049072266,0.00035397737519815564
L0.H0,24,bim ral toq bim ral,0.012451171875,0.0859375,False,1,5.242330551147461,5.175537109375,-0.06679344177246094,0.0019164172699674964
L0.H0,25,roq tena bisk roq tena,0.007568359375,0.03125,False,1,5.333388328552246,5.289920330047607,-0.04346799850463867,0.0007236844394356012
L0.H0,26,hiv mola tesh hiv mola,0.00537109375,0.0234375,False,1,5.1389384269714355,5.118734836578369,-0.020203590393066406,0.00045948883052915335
L0.H1,0,dax wug mib dax wug,0.0029296875,0.0078125,False,1,3.9531660079956055,3.93760085105896,-0.015565156936645508,0.00023766374215483665
L0.H1,1,sax vemi loru sax vemi,0.0087890625,0.046875,False,1,3.6433143615722656,3.58178973197937,-0.06152462959289551,0.0005819092039018869
L0.H1,2,zup kes noro zup kes,0.0068359375,0.015625,False,1,4.077000141143799,4.059735298156738,-0.017264842987060547,0.000437968410551548
