head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,Identify the affected organ. Disease: Hepatitis / Organ: ',-0.00048828125,-0.03125,False,1,5.151079177856445,5.188549041748047,0.03746986389160156,0.00032680516596883535,-0.0025634765625,-0.041811846689895474,-0.0703125,2,2,False
L0.H0,1,Identify the affected organ. Disease: Pneumonia / Organ: ',0.003173828125,0.03125,False,1,5.048159122467041,5.02672004699707,-0.021439075469970703,0.0003438081475906074,-9.5367431640625e-05,-0.0143184421534937,-0.015625,29,29,False
L0.H0,2,Identify the affected organ. Disease: Nephritis / Organ: ',0.0009765625,0.0390625,False,1,5.361900329589844,5.342103004455566,-0.019797325134277344,0.0002829561126418412,3.0517578125e-05,0.0015785319652722968,0.03125,9,9,False
L0.H0,3,Identify the affected organ. Disease: Encephalitis / Organ: ',-0.000946044921875,-0.03125,True,1,5.652807235717773,5.656170845031738,0.0033636093139648438,6.033643148839474e-05,-0.0006103515625,-0.020953378732320588,-0.03125,5,5,False
L0.H0,4,Identify the affected organ. Disease: Myocarditis / Organ: ',-0.001953125,0.0078125,False,1,4.129818916320801,4.128183364868164,-0.0016355514526367188,0.00013234923244453967,1.1920928955078125e-06,0.012368583797155226,0.02734375,445,442,True
L0.H0,5,Identify the affected organ. Disease: Dermatitis / Organ: ',-0.00299072265625,-0.0546875,False,1,5.717792510986328,5.731391429901123,0.013598918914794922,9.99037001747638e-05,6.103515625e-05,0.001567398119122257,-0.015625,3,3,False
L0.H0,6,Identify the affected organ. Disease: Otitis / Organ: ',0.0006103515625,0.0078125,False,1,5.761282444000244,5.7566423416137695,-0.004640102386474609,0.00011997236288152635,-2.86102294921875e-06,-0.004629629629629629,-0.00390625,187,188,False
L0.H0,7,Identify the affected organ. Disease: Pancreatitis / Organ: ',0.0020751953125,0.0234375,False,1,4.908066272735596,4.902742862701416,-0.0053234100341796875,0.00020877581846434623,-7.2479248046875e-05,-0.012086513994910942,0.0,23,23,False
L0.H0,8,Identify the affected organ. Disease: Meningitis / Organ: ',0.00164794921875,0.0234375,False,1,5.252572059631348,5.236874103546143,-0.015697956085205078,0.00016744135064072907,7.62939453125e-06,0.000846740050804403,0.0078125,22,22,False
L0.H0,9,Identify the affected organ. Disease: Keratitis / Organ: ',-0.001708984375,-0.03125,False,1,5.431461334228516,5.454502105712891,0.023040771484375,8.937486563809216e-05,-5.340576171875e-05,-0.005672609400324149,-0.0234375,15,15,False
L0.H0,10,Identify the affected organ. Disease: Rhinitis / Organ: ',-0.00128173828125,-0.046875,False,1,5.508962154388428,5.528065204620361,0.019103050231933594,0.00014214054681360722,-0.00042724609375,-0.028513238289205704,-0.0546875,16,17,False
L0.H0,11,Identify the affected organ. Disease: Thyroiditis / Organ: ',0.002685546875,0.0234375,False,1,5.159329414367676,5.15289306640625,-0.006436347961425781,0.00016700825653970242,-1.52587890625e-05,-0.0009009009009009009,0.0078125,9,9,False
L0.H0,12,Identify the affected organ. Disease: Splenomegaly / Organ: ',-0.000152587890625,0.0078125,False,1,5.871445655822754,5.863224029541016,-0.008221626281738281,0.00023165528546087444,-7.62939453125e-06,-0.0028776978417266188,0.0078125,54,54,False
L0.H0,13,Identify the affected organ. Disease: Peritonitis / Organ: ',0.0013427734375,0.0078125,False,1,5.127991199493408,5.123777389526367,-0.004213809967041016,4.338793223723769e-05,7.152557373046875e-06,0.014164305949008499,0.015625,182,181,True
L0.H0,14,Identify the affected organ. Disease: Pharyngitis / Organ: ',0.0006103515625,-0.0078125,False,1,4.866703033447266,4.863064765930176,-0.0036382675170898438,0.0002551256329752505,-1.52587890625e-05,-0.003686635944700461,-0.015625,31,30,True
L0.H0,15,Identify the affected organ. Disease: Urethritis / Organ: ',0.0040283203125,0.0546875,False,1,5.450440883636475,5.43187141418457,-0.018569469451904297,0.0002877645893022418,-2.86102294921875e-06,-0.0031965903036760787,0.02734375,133,133,False
L0.H0,16,Identify the affected organ. Disease: Esophagitis / Organ: ',-0.00341796875,-0.0234375,False,1,4.724912643432617,4.741306304931641,0.016393661499023438,-1.2029398931190372e-05,9.1552734375e-05,0.0017103762827822121,-0.0078125,2,2,False
L0.H0,17,Identify the affected organ. Disease: Laryngitis / Organ: ',0.00146484375,-0.0078125,False,1,4.319766044616699,4.321263313293457,0.0014972686767578125,3.665410622488707e-05,-0.0001220703125,-0.008681497558328812,-0.0234375,10,10,False
L0.H0,18,Identify the affected organ. Disease: Sinusitis / Organ: ',0.002685546875,0.015625,False,1,4.955447196960449,4.94630765914917,-0.009139537811279297,0.00018292249296791852,-4.76837158203125e-07,-0.0005903187721369539,0.0,115,115,False
L0.H0,19,Identify the affected organ. Disease: Prostatitis / Organ: ',-0.00048828125,0.0,False,1,3.817025899887085,3.8207502365112305,0.003724336624145508,3.0425391742028296e-05,1.52587890625e-05,0.0061162079510703364,0.0078125,37,37,False
L0.H0,20,Identify the affected organ. Disease: Pericarditis / Organ: ',-0.003662109375,-0.03125,False,1,4.259950637817383,4.27356481552124,0.013614177703857422,9.931833483278751e-05,-0.00045013427734375,-0.02923686818632309,-0.046875,10,10,False
