head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,The verb in the sentence 'The dog ticks' is ',0.004150390625,0.046875,False,1,3.007209539413452,2.9367446899414062,-0.0704648494720459,0.0019926363602280617
L0.H0,1,The verb in the sentence 'The dog buzzes' is ',0.0234375,0.125,False,1,2.950727939605713,2.790106773376465,-0.16062116622924805,0.002131067216396332
L0.H0,2,The verb in the sentence 'The dog plays' is ',0.0341796875,0.1796875,False,1,3.4586398601531982,3.2460970878601074,-0.21254277229309082,0.004369596019387245
L0.H0,3,The verb in the sentence 'The dog runs' is ',0.0009765625,0.046875,True,2,4.364076614379883,4.231962203979492,-0.13211441040039062,0.0028470291290432215
L0.H0,4,The verb in the sentence 'The dog practices' is ',0.02978515625,0.125,False,1,3.330986976623535,3.1544790267944336,-0.17650794982910156,0.003823770210146904
L0.H0,5,The verb in the sentence 'The dog flies' is ',0.0166015625,0.1171875,False,1,3.75400972366333,3.6257054805755615,-0.12830424308776855,0.003108615055680275
L0.H0,6,The verb in the sentence 'The dog jumps' is ',0.0111083984375,0.09375,False,1,4.3074631690979,4.198177814483643,-0.10928535461425781,0.002278005937114358
L0.H0,7,The verb in the sentence 'The dog shines' is ',0.0205078125,0.140625,False,1,1.801432490348816,1.6987916231155396,-0.10264086723327637,0.0017696209251880646
L0.H0,8,The verb in the sentence 'The dog works' is ',0.03955078125,0.2734375,False,1,4.2662458419799805,4.068203926086426,-0.1980419158935547,0.006675370037555695
L0.H0,9,The verb in the sentence 'The dog blows' is ',0.03955078125,0.21875,False,1,2.641265869140625,2.420109510421753,-0.22115635871887207,0.004944292828440666
L0.H0,10,The verb in the sentence 'The dog gallops' is ',0.03076171875,0.15625,False,1,2.9960739612579346,2.7981855869293213,-0.19788837432861328,0.0030341846868395805
L0.H0,11,The verb in the sentence 'The dog laughs' is ',0.00341796875,0.015625,False,1,3.238436698913574,3.1969878673553467,-0.04144883155822754,0.001294894958846271
L0.H0,12,The verb in the sentence 'The dog paints' is ',0.02099609375,0.078125,False,1,3.313657283782959,3.1632585525512695,-0.15039873123168945,0.0023215794935822487
L0.H0,13,The verb in the sentence 'The dog flies' is ',0.0166015625,0.1171875,False,1,3.75400972366333,3.6257054805755615,-0.12830424308776855,0.003108615055680275
L0.H0,14,The verb in the sentence 'The dog sleeps' is ',0.01220703125,0.0859375,False,1,4.13155460357666,4.040678024291992,-0.09087657928466797,0.0014130192575976253
L0.H0,15,The verb in the sentence 'The dog reads' is ',0.01708984375,0.0859375,False,1,4.7000603675842285,4.603825569152832,-0.09623479843139648,0.001639832742512226
L0.H0,16,The verb in the sentence 'The dog chirps' is ',0.02392578125,0.078125,False,1,3.982708215713501,3.8349199295043945,-0.14778828620910645,0.0017840354703366756
L0.H0,17,The verb in the sentence 'The dog commands' is ',0.02294921875,0.140625,False,1,3.847308874130249,3.6878623962402344,-0.15944647789001465,0.0027571963146328926
L0.H0,18,The verb in the sentence 'The dog swims' is ',0.03369140625,0.15625,False,1,2.7809369564056396,2.5803005695343018,-0.2006363868713379,0.0031007055658847094
L0.H0,19,The verb in the sentence 'The dog drinks' is ',0.014404296875,0.046875,False,1,3.59549617767334,3.4968903064727783,-0.09860587120056152,0.0019291728967800736
L0.H0,20,The verb in the sentence 'The dog hoots' is ',0.025390625,0.125,False,1,2.3145956993103027,2.1409687995910645,-0.17362689971923828,0.0021110966335982084
